date,city,state,interviews,positive,infected_rate
2020-05-21,AC,Cruzeiro do Sul,250,1,0.005
2020-05-21,AC,Rio Branco,250,12,0.054
2020-05-21,AL,Arapiraca,223,0,0.05
2020-05-21,AL,Maceió,234,,0.013
2020-05-21,AM,Lábrea,250,0,0.0
2020-05-21,AM,Manaus,250,27,0.125
2020-05-21,AM,Parintins,250,11,0.050
2020-05-21,AM,Tefé,250,42,0.196
2020-05-21,AP,Macapá,250,21,0.097
2020-05-21,AP,Oiapoque,250,8,0.035
2020-05-21,BA,Barreiras,250,0,0.0
2020-05-21,BA,Guanambi,245,0,0.0
2020-05-21,BA,Juazeiro,250,0,0.0
2020-05-21,BA,Salvador,250,0,0.0
2020-05-21,CE,Crateús,247,0,0.009
2020-05-21,CE,Fortaleza,225,17,0.087
2020-05-21,CE,Quixadá,245,0,0.0
2020-05-21,CE,Sobral,232,4,0.018
2020-05-21,DF,Brasília,240,0,0.0
2020-05-21,ES,Cachoeiro do Itapemirim,250,0,0.0
2020-05-21,ES,Colatina,222,0,0.0
2020-05-21,ES,Vitória,250,3,0.012
2020-05-21,GO,Goiânia,235,0,0.0
2020-05-21,GO,Iporá,250,0,0.0
2020-05-21,GO,Itumbiara,241,0,0.0
2020-05-21,GO,Porangatu,200,0,0.0
2020-05-21,GO,Rio Verde,202,0,0.0
2020-05-21,MA,Bacabal,250,0,0.009
2020-05-21,MA,Caxias,250,0,0.0
2020-05-21,MA,Presidente Dutra,250,0,0.005
2020-05-21,MG,Juiz de Fora,250,0,0.005
2020-05-21,MG,Montes Claros,250,0,0.0
2020-05-21,MG,Patos de Minas,250,0,0.005
2020-05-21,MG,Pouso Alegre,250,0,0.0
2020-05-21,MG,Teófilo Otoni,242,0,0.005
2020-05-21,MG,Uberaba,250,0,0.0
2020-05-21,MG,Uberlândia,235,0,0.0
2020-05-21,MG,Varginha,245,0,0.0
2020-05-21,MS,Corumbá,250,0,0.0
2020-05-21,MS,Dourados,243,0,0.0
2020-05-21,MT,Cáceres,208,0,0.0
2020-05-21,PA,Altamira,232,0,0.005
2020-05-21,PA,Belém,247,32,0.151
2020-05-21,PA,Breves,250,53,0.248
2020-05-21,PA,Castanhal,250,33,0.154
2020-05-21,PA,Marabá,250,18,0.083
2020-05-21,PA,Redenção,250,0,0.0
2020-05-21,PE,Recife,240,7,0.032
2020-05-21,PI,Corrente,250,0,0.0
2020-05-21,PI,Floriano,239,0,0.0
