Date,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,μ closed,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
2020-03-25,7765820252,11436,2253890,units unclear,471639,200259,21747,471639,222006,249633,0.098,51172.86,51172.86,18126.14,2689.14,20815.29,30357.57,4314.97,2214.77,282.83,2497.6,1817.37,-52.7486,-105.9166,-7.7545,60.73,2.8,25.79,28.59,32.15,4.78,290.23
2020-03-26,7765820252,11436,2366299,units unclear,533742,219951,24745,533742,244696,289046,0.101,54836.43,54836.43,20631.57,2942.43,23574.0,31262.43,4329.0,2360.71,301.71,2662.43,1666.57,-195.3143,-77.4469,0.716,68.73,3.19,28.32,31.51,37.22,4.43,304.71
2020-03-27,7765820252,11436,2834794,units unclear,597502,242730,28247,597502,270977,326525,0.104,57975.43,57975.43,23155.57,3261.43,26417.0,31558.43,4058.49,2491.23,323.03,2814.26,1244.23,-243.1429,-91.4834,10.38,76.94,3.64,31.26,34.89,42.05,4.74,365.03
2020-03-28,7765820252,11436,3106164,units unclear,664263,268750,31919,664263,300669,363594,0.106,62949.43,62949.43,25658.14,3626.29,29284.43,33665.0,3566.86,2566.89,360.29,2927.17,639.69,-242.2857,-74.7691,13.02,85.54,4.11,34.61,38.72,46.82,4.68,399.98
2020-03-29,7765820252,11436,4218975,units unclear,723131,298330,35388,723131,333718,389413,0.106,66495.86,66495.86,28324.14,4022.43,32346.57,34149.29,3355.31,2605.94,379.43,2985.37,369.94,-386.5486,-46.3634,7.55,93.12,4.56,38.42,42.97,50.14,5.83,543.27
2020-03-30,7765820252,11436,3279873,units unclear,786652,329586,39535,786652,369121,417531,0.107,69007.14,69007.14,30960.57,4490.57,35451.14,33556.0,3103.54,2642.2,376.49,3018.69,84.86,-426.5943,-40.8091,20.44,101.3,5.09,42.44,47.53,53.77,4.17,422.35
2020-03-31,7765820252,11436,4305723,units unclear,861933,362716,44358,861933,407074,454859,0.109,71613.0,71613.0,33661.29,4839.57,38500.86,33112.14,2396.26,2680.09,346.69,3026.77,-630.5143,-427.1314,-39.6994,19.59,110.99,5.71,46.71,52.42,58.57,5.0,554.45
2020-04-01,7765820252,11436,4627585,units unclear,937110,398528,49904,937110,448432,488678,0.111,73493.14,73493.14,36366.57,5143.86,41510.43,31982.71,1925.51,2655.77,313.31,2969.09,-1043.5714,-447.1886,10.73,23.97,120.67,6.43,51.32,57.74,62.93,4.94,595.89
2020-04-02,7765820252,11436,5025496,units unclear,1016792,436675,56179,1016792,492854,523938,0.114,74930.71,74930.71,39058.57,5359.71,44418.29,30512.43,1431.2,2567.49,306.6,2874.09,-1442.8857,-440.7829,23.19,23.66,130.93,7.23,56.23,63.46,67.47,4.94,647.13
2020-04-03,7765820252,11436,5547629,units unclear,1098793,478359,62124,1098793,540483,558310,0.115,76123.43,76123.43,41603.0,5589.0,47192.0,28931.43,1119.37,2473.31,269.89,2743.2,-1623.8286,-332.9143,73.49,22.07,141.49,8.0,61.6,69.6,71.89,5.05,714.36
2020-04-04,7765820252,11436,5641471,units unclear,1178715,523316,67926,1178715,591242,587473,0.115,76163.14,76163.14,43798.0,6023.57,49821.57,26341.57,899.63,2350.69,245.0,2595.69,-1696.0571,-310.6457,77.51,7.41,151.78,8.75,67.39,76.13,75.65,4.79,726.45
2020-04-05,7765820252,11436,8388815,units unclear,1247646,571740,72906,1247646,644646,603000,0.113,77209.86,77209.86,46027.86,6189.0,52216.86,24993.0,731.69,2203.46,238.17,2441.63,-1709.9429,-59.6571,70.67,9.91,160.66,9.39,73.62,83.01,77.65,6.72,1080.22
2020-04-06,7765820252,11436,7255575,units unclear,1319516,620807,78658,1319516,699465,620051,0.112,77991.29,77991.29,48120.0,6368.86,54488.86,23502.43,372.29,2088.8,197.17,2285.97,-1913.6857,-59.6171,47.78,-22.5358,169.91,10.13,79.94,90.07,79.84,5.5,934.3
2020-04-07,7765820252,11436,8154680,units unclear,1395075,669302,86523,1395075,755825,639250,0.114,78589.14,78589.14,50075.86,6550.57,56626.43,21962.71,1132.91,1982.26,130.0,2112.26,-979.3429,-87.4343,72.73,-20.779,179.64,11.14,86.19,97.33,82.32,5.85,1050.07
2020-04-08,7765820252,11436,8532441,units unclear,1477579,720723,93227,1477579,813950,663629,0.115,77984.86,77984.86,52047.0,6574.86,58621.86,19363.0,821.29,1928.11,94.86,2022.97,-1201.6857,-94.0229,-39.184,-17.603,190.27,12.0,92.81,104.81,85.46,5.77,1098.72
