Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
afghanistan,All,2.919461658e7,0.0419,0.196,0.0909,0.0373,0.0064,0.7,1.0,0.0001,1955.95,0.461,5.07,0.186,0.186
albania,All,1.43876422e6,0.118,0.196,0.0909,0.0377,0.0018,0.7,1.0,0.0005,1727.06,1.3,14.25,0.113,0.113
algeria,All,2.374606912e7,0.0842,0.196,0.0909,0.0419,0.001,0.7,1.0,0.0009,10952.81,0.926,10.19,0.833,0.833
andorra,All,22952.27,0.14,0.196,0.0909,0.0561,0.0123,0.7,1.0,0.0006,44.22,1.54,16.97,0.505,0.505
angola,All,2.098162023e7,0.115,0.196,0.0909,0.0607,0.0069,0.7,1.0,0.0018,629.44,1.26,13.87,0.465,0.465
argentina,All,679571.02,0.185,0.196,0.0909,0.0255,0.0017,0.7,1.0,0.0003,89003.62,2.03,22.35,0.121,0.121
armenia,All,2.49505247e6,0.0499,0.196,0.0909,0.021,0.0032,0.7,1.0,0.0001,6793.81,0.549,6.04,0.126,0.126
australia,All,1.418339174e7,0.0914,0.196,0.0909,0.0211,0.0029,0.7,1.0,0.001,6525.91,1.01,11.06,0.638,0.638
austria,All,4.51085159e6,0.122,0.196,0.0909,0.0336,0.0057,0.7,1.0,0.0005,2015.77,1.34,14.72,0.733,0.733
azerbaijan,All,5.02928194e6,0.0373,0.196,0.0909,0.0157,0.0077,0.7,1.0,0.0001,6960.28,0.41,4.51,0.172,0.172
bahamas,All,69338.47,0.157,0.196,0.0909,0.0228,0.0121,0.7,1.0,0.0006,486.39,1.72,18.96,0.213,0.213
bahrain,All,1.31488355e6,0.087,0.196,0.0909,0.004,0.0015,0.7,1.0,0.0,7763.98,0.957,10.53,0.38,0.38
bangladesh,All,1.2921397551e8,0.086,0.196,0.0909,0.0148,0.0007,0.7,1.0,0.0,50201.9,0.946,10.41,0.529,0.529
barbados,All,149210.29,0.182,0.196,0.0909,0.0532,0.0051,0.7,1.0,0.0016,10.4,2.0,21.99,0.907,0.907
belarus,All,7.15566934e6,0.0585,0.196,0.0909,0.0089,0.0068,0.7,1.0,0.0001,2767.46,0.644,7.08,0.143,0.143
belgium,All,6.99682566e6,0.136,0.196,0.0909,0.138,0.005,0.7,1.0,0.0022,4421.7,1.5,16.49,0.757,0.757
belize,All,213236.98,0.387,0.196,0.0909,0.0198,0.0407,0.7,1.0,0.0026,20.81,4.26,46.83,0.247,0.247
benin,All,9.40949564e6,0.0603,0.196,0.0909,0.0207,0.0143,0.7,1.0,0.0003,239.29,0.663,7.29,0.605,0.605
bolivia,All,224077.22,0.153,0.196,0.0909,0.0481,0.0009,0.7,1.0,0.0003,26930.75,1.69,18.56,0.344,0.344
bosnia_and_herzegovina,All,1.64017296e6,0.0951,0.196,0.0909,0.0369,0.0063,0.7,1.0,0.0006,4835.26,1.05,11.51,0.541,0.541
botswana,All,1.53075608e6,0.133,0.196,0.0909,0.0032,0.0385,0.7,1.0,0.0004,426.56,1.46,16.1,0.841,0.841
brazil,All,1.68155305e7,0.111,0.196,0.0909,0.0378,0.003,0.7,1.0,0.0006,772595.84,1.22,13.45,0.693,0.693
brunei,All,190651.7,0.0645,0.196,0.0909,0.0212,0.179,0.7,1.0,0.0001,0.0,0.709,8.05,1.27,1.27
bulgaria,All,4.24883258e6,0.0729,0.196,0.0909,0.0404,0.0084,0.7,1.0,0.0003,4372.28,0.801,8.82,0.446,0.446
burkina_faso,All,1.756891357e7,0.135,0.196,0.0909,0.0469,0.0128,0.7,1.0,0.0005,78.03,1.48,16.31,0.587,0.587
burundi,All,3.93427256e6,0.0204,0.196,0.0909,0.0026,0.019,0.7,1.0,0.0,91.03,0.225,2.48,0.153,0.153
cabo_verde,All,496700.11,0.102,0.196,0.0909,0.0129,0.0069,0.7,1.0,0.0002,730.88,1.12,12.31,0.648,0.648
cameroon,All,1.343555363e7,0.0642,0.196,0.0909,0.0229,0.0157,0.7,1.0,0.0002,1433.15,0.706,7.77,0.43,0.43
central_african_republic,All,4.09187485e6,0.0129,0.196,0.0909,0.0133,0.045,0.7,1.0,0.0,530.6,0.142,1.64,0.0823,0.0823
chad,All,6.89990332e6,0.0474,0.196,0.0909,0.0813,0.0428,0.7,1.0,0.0004,72.83,0.521,5.75,0.966,0.966
chile,All,1.540426438e7,0.0766,0.196,0.0909,0.0287,0.0019,0.7,1.0,0.0001,38663.86,0.842,9.27,0.123,0.123
china,All,9.0855675533e8,0.0756,0.196,0.0909,0.054,0.0013,0.7,1.0,0.0001,2080.8,0.832,9.15,0.675,0.675
colombia,All,1.15875743e6,0.185,0.196,0.0909,0.0426,0.0013,0.7,1.0,0.0009,133694.0,2.03,22.36,0.0963,0.0963
comoros,All,393248.33,0.0542,0.196,0.0909,0.0183,0.0452,0.7,1.0,0.0002,31.21,0.596,6.57,0.807,0.807
congo-brazzaville,All,3.47220324e6,0.0554,0.196,0.0909,0.0199,0.0191,0.7,1.0,0.0021,1053.4,0.609,6.71,0.486,0.486
congo-kinshasa,All,4.522573122e7,0.0601,0.196,0.0909,0.026,0.0045,0.7,1.0,0.0005,1347.32,0.661,7.28,0.246,0.246
costa_rica,All,3.72973359e6,0.112,0.196,0.0909,0.014,0.0043,0.7,1.0,0.0001,9623.7,1.24,13.59,0.265,0.265
cote_d'ivoire,All,1.730268865e7,0.0308,0.196,0.0909,0.0068,0.0083,0.7,1.0,0.0,4049.76,0.339,3.73,0.115,0.115
croatia,All,2.47218042e6,0.122,0.196,0.0909,0.0303,0.013,0.7,1.0,0.0008,1503.38,1.35,14.81,0.796,0.796
cuba,All,376845.63,0.268,0.196,0.0909,0.0308,0.0039,0.7,1.0,0.0011,65.02,2.95,32.42,0.431,0.431
cyprus,All,790305.71,0.161,0.196,0.0909,0.0167,0.0074,0.7,1.0,0.0004,36.41,1.77,19.47,0.405,0.405
czech_republic,All,5.4036302e6,0.11,0.196,0.0909,0.0226,0.004,0.7,1.0,0.0004,3482.74,1.21,13.32,0.379,0.379
denmark,All,2.54051287e6,0.187,0.196,0.0909,0.0423,0.0102,0.7,1.0,0.0008,697.07,2.06,22.63,0.341,0.341
djibouti,All,732974.18,0.095,0.196,0.0909,0.0113,0.0056,0.7,1.0,0.0001,93.64,1.05,11.5,1.02,1.02
dominican_republic,All,110209.95,0.264,0.196,0.0909,0.0195,0.0043,0.7,1.0,0.0001,23315.36,2.91,31.96,0.319,0.319
ecuador,All,9.35840723e6,0.102,0.196,0.0909,0.0676,0.0044,0.7,1.0,0.0013,17179.6,1.12,12.37,1.09,1.09
egypt,All,7.826864e7,0.0211,0.196,0.0909,0.055,0.0009,0.7,1.0,0.0,11959.4,0.232,2.55,0.0512,0.0512
el_salvador,All,33634.03,0.242,0.196,0.0909,0.0326,0.0034,0.7,1.0,0.0006,6723.58,2.66,29.25,0.236,0.236
equatorial_guinea,All,19520.25,0.0911,0.196,0.0909,0.0189,0.0145,0.7,1.0,0.0004,0.0,1.0,11.02,0.907,0.907
estonia,All,1.23163956e6,0.146,0.196,0.0909,0.0298,0.0115,0.7,1.0,0.0002,20.81,1.61,17.68,0.676,0.676
eswatini,All,584339.7,0.107,0.196,0.0909,0.0238,0.0052,0.7,1.0,0.0004,1180.85,1.17,12.92,0.409,0.409
ethiopia,All,8.053254079e7,0.142,0.196,0.0909,0.0252,0.0007,0.7,1.0,0.0002,10117.89,1.56,17.19,0.26,0.26
finland,All,5.11619688e6,0.161,0.196,0.0909,0.0442,0.0093,0.7,1.0,0.0002,205.48,1.78,19.53,0.285,0.285
france,All,5.509523698e7,0.165,0.196,0.0909,0.131,0.0224,0.7,1.0,0.0023,15226.25,1.82,19.98,0.715,0.715
gabon,All,1.65101506e6,0.0555,0.196,0.0909,0.0068,0.0082,0.7,1.0,0.0001,1740.07,0.611,6.72,0.455,0.455
gambia,All,1.28407672e6,0.21,0.196,0.0909,0.0569,0.0204,0.7,1.0,0.0055,358.94,2.31,25.39,0.255,0.255
georgia,All,1.96744292e6,0.104,0.196,0.0909,0.0141,0.0165,0.7,1.0,0.0003,244.49,1.14,12.57,0.945,0.945
germany,All,4.21871931e7,0.144,0.196,0.0909,0.043,0.0029,0.7,1.0,0.0004,9306.38,1.59,17.46,0.296,0.296
ghana,All,9.60931531e6,0.06,0.196,0.0909,0.0062,0.0087,0.7,1.0,0.0002,11665.48,0.66,7.27,0.498,0.498
greece,All,7.10673019e6,0.226,0.196,0.0909,0.0424,0.0077,0.7,1.0,0.0016,444.77,2.49,27.38,0.18,0.18
guatemala,All,1.383001926e7,0.079,0.196,0.0909,0.0449,0.0058,0.7,1.0,0.0006,24641.87,0.869,9.56,0.47,0.47
guinea,All,6.58545553e6,0.111,0.196,0.0909,0.0067,0.0099,0.7,1.0,0.0001,1136.64,1.22,13.46,0.631,0.631
guinea-bissau,All,1.6421364e6,0.0805,0.196,0.0909,0.0156,0.0188,0.7,1.0,0.0009,70.23,0.886,9.74,0.888,0.888
guyana,All,396643.9,0.164,0.196,0.0909,0.0446,0.0096,0.7,1.0,0.0017,83.23,1.8,19.84,0.326,0.326
haiti,All,5.7733239e6,0.0611,0.196,0.0909,0.0258,0.0089,0.7,1.0,0.0003,741.28,0.672,7.4,0.412,0.412
honduras,All,7.2493684e6,0.0705,0.196,0.0909,0.0355,0.0103,0.7,1.0,0.0005,15122.21,0.775,8.53,0.223,0.223
hungary,All,9.51341081e6,0.153,0.196,0.0909,0.131,0.0067,0.7,1.0,0.0014,273.1,1.68,18.5,0.593,0.593
iceland,All,189789.18,0.281,0.196,0.0909,0.0052,0.0224,0.7,1.0,0.0,18.21,3.09,34.01,0.755,0.755
india,All,6.94526507e6,0.177,0.196,0.0909,0.0253,0.0008,0.7,1.0,0.0006,774941.94,1.95,21.43,0.0833,0.0833
indonesia,All,1.7386106936e8,0.102,0.196,0.0909,0.0523,0.0006,0.7,1.0,0.0008,31961.09,1.12,12.31,0.357,0.357
iran,All,552519.31,0.217,0.196,0.0909,0.062,0.0001,0.7,1.0,0.0001,44432.88,2.39,26.28,0.341,0.341
iraq,All,4.018623355e7,0.117,0.196,0.0909,0.042,0.0012,0.7,1.0,0.001,43020.54,1.29,14.2,0.276,0.276
ireland,All,4.11482035e6,0.197,0.196,0.0909,0.067,0.0109,0.7,1.0,0.0004,299.11,2.17,23.89,0.325,0.325
israel,All,4.86725391e6,0.0872,0.196,0.0909,0.0089,0.0018,0.7,1.0,0.0002,31253.62,0.96,10.56,0.704,0.704
italy,All,3.539432233e7,0.137,0.196,0.0909,0.142,0.003,0.7,1.0,0.0003,4221.42,1.51,16.58,0.661,0.661
jamaica,All,2.27031628e6,0.159,0.196,0.0909,0.0145,0.0313,0.7,1.0,0.0005,163.86,1.75,19.3,0.337,0.337
japan,All,6.055932848e7,0.124,0.196,0.0909,0.0255,0.0013,0.7,1.0,0.0009,12430.18,1.36,15.0,0.462,0.462
jordan,All,5.28534785e6,0.29,0.196,0.0909,0.0088,0.0119,0.7,1.0,0.0002,-163.863,3.19,35.11,0.295,0.295
kazakhstan,All,1.262176837e7,0.0481,0.196,0.0909,0.0141,0.002,0.7,1.0,0.0005,29971.32,0.529,5.82,0.245,0.245
kenya,All,40472.37,0.272,0.196,0.0909,0.0201,0.0076,0.7,1.0,0.0006,10939.81,2.99,32.92,0.241,0.241
kosovo,All,163387.57,0.0927,0.196,0.0909,0.0414,0.0149,0.7,1.0,0.0012,3142.01,1.02,11.22,0.634,0.634
kuwait,All,3.64029247e6,0.0874,0.196,0.0909,0.0072,0.0021,0.7,1.0,0.0001,11454.8,0.961,10.57,0.726,0.726
kyrgyzstan,All,4.77402782e6,0.0357,0.196,0.0909,0.0412,0.0009,0.7,1.0,0.0013,47197.75,0.393,4.32,0.161,0.161
latvia,All,1.12544002e6,0.109,0.196,0.0909,0.0255,0.0167,0.7,1.0,0.0002,52.02,1.2,13.23,0.688,0.688
lebanon,All,4.77189102e6,0.18,0.196,0.0909,0.0169,0.0056,0.7,1.0,0.0005,1838.91,1.98,21.81,0.088,0.088
lesotho,All,1.96928548e6,0.0806,0.196,0.0909,0.0387,0.0305,0.7,1.0,0.002,124.85,0.887,9.76,0.74,0.74
liberia,All,4.05827776e6,0.0432,0.196,0.0909,0.0683,0.0171,0.7,1.0,0.0008,130.05,0.475,5.23,0.205,0.205
libya,All,4.72430221e6,0.186,0.196,0.0909,0.0299,0.0008,0.7,1.0,0.0012,1872.72,2.05,22.55,0.0853,0.0853
lithuania,All,2.54879438e6,0.156,0.196,0.0909,0.0371,0.0068,0.7,1.0,0.0008,202.88,1.72,18.91,0.239,0.239
luxembourg,All,308242.79,0.0554,0.196,0.0909,0.018,0.0017,0.7,1.0,0.0002,1682.85,0.61,6.71,0.329,0.329
madagascar,All,1.359872768e7,0.0563,0.196,0.0909,0.0143,0.0043,0.7,1.0,0.0001,5914.67,0.619,6.81,0.353,0.353
malawi,All,1.021822868e7,0.0688,0.196,0.0909,0.037,0.0072,0.7,1.0,0.0004,1685.45,0.756,8.32,0.464,0.464
malaysia,All,3.084919504e7,0.0926,0.196,0.0909,0.0139,0.0028,0.7,1.0,0.0001,275.71,1.02,11.2,0.941,0.941
maldives,All,133506.64,0.145,0.196,0.0909,0.0049,0.0026,0.7,1.0,0.0001,681.46,1.6,17.58,0.36,0.36
mali,All,1.86169139e6,0.0749,0.196,0.0909,0.0491,0.0146,0.7,1.0,0.0003,93.64,0.824,9.06,0.72,0.72
malta,All,366158.73,0.214,0.196,0.0909,0.009,0.0132,0.7,1.0,0.0007,31.21,2.35,25.87,0.304,0.304
mauritania,All,3.05355749e6,0.0489,0.196,0.0909,0.0247,0.0106,0.7,1.0,0.0003,1056.01,0.538,5.92,0.241,0.241
mauritius,All,541843.51,0.0419,0.196,0.0909,0.0291,0.127,0.7,1.0,0.0,2.6,0.461,5.26,1.0,1.0
mexico,All,934978.23,0.175,0.196,0.0909,0.125,0.002,0.7,1.0,0.0015,122213.19,1.93,21.19,0.453,0.453
moldova,All,2.03249879e6,0.107,0.196,0.0909,0.034,0.0021,0.7,1.0,0.0004,5173.39,1.18,13.0,0.347,0.347
monaco,All,31741.07,0.151,0.196,0.0909,0.031,0.0292,0.7,1.0,0.001,18.21,1.66,18.25,0.559,0.559
montenegro,All,467366.38,0.0645,0.196,0.0909,0.023,0.0047,0.7,1.0,0.0003,1820.7,0.71,7.81,0.175,0.175
morocco,All,83075.74,0.303,0.196,0.0909,0.0215,0.0019,0.7,1.0,0.0003,5482.91,3.33,36.67,0.0764,0.0764
myanmar,All,4.33311225e7,0.0947,0.196,0.0909,0.0168,0.0472,0.7,1.0,0.0002,18.21,1.04,11.47,0.975,0.975
namibia,All,1.71618483e6,0.155,0.196,0.0909,0.0121,0.0026,0.7,1.0,0.0012,1404.54,1.7,18.73,0.249,0.249
nepal,All,2.309212961e7,0.168,0.196,0.0909,0.0047,0.0028,0.7,1.0,0.0002,2416.33,1.85,20.37,0.12,0.12
netherlands,All,1.391974171e7,0.192,0.196,0.0909,0.107,0.008,0.7,1.0,0.0023,3004.15,2.11,23.21,0.448,0.448
new_zealand,All,4.32013662e6,0.209,0.196,0.0909,0.014,0.0429,0.7,1.0,0.0001,15.61,2.3,25.33,0.548,0.548
nicaragua,All,3.96083252e6,0.0807,0.196,0.0909,0.034,0.0019,0.7,1.0,0.0005,759.49,0.888,9.77,0.724,0.724
niger,All,1.724298289e7,0.0563,0.196,0.0909,0.0602,0.0079,0.7,1.0,0.0002,57.22,0.62,6.82,1.0,1.0
nigeria,All,1.1302280378e8,0.0683,0.196,0.0909,0.0219,0.0044,0.7,1.0,0.0003,10625.08,0.751,8.26,0.282,0.282
north_macedonia,All,1.83477477e6,0.0843,0.196,0.0909,0.0481,0.0031,0.7,1.0,0.0007,2629.61,0.927,10.19,0.661,0.661
norway,All,3.16142907e6,0.191,0.196,0.0909,0.0273,0.0049,0.7,1.0,0.0002,174.27,2.1,23.07,0.273,0.273
oman,All,4.3104112e6,0.0186,0.196,0.0909,0.0073,0.0021,0.7,1.0,0.0002,24964.4,0.205,2.26,0.117,0.117
pakistan,All,1.5353162675e8,0.0403,0.196,0.0909,0.0221,0.0027,0.7,1.0,0.0001,25931.97,0.443,4.88,0.124,0.124
panama,All,3.88621879e6,0.0915,0.196,0.0909,0.0252,0.0022,0.7,1.0,0.0003,17127.58,1.01,11.08,0.627,0.627
papua_new_guinea,All,1.20144389e6,0.188,0.196,0.0909,0.0182,0.0241,0.7,1.0,0.0033,44.22,2.07,22.8,0.364,0.364
paraguay,All,3.7065408e6,0.188,0.196,0.0909,0.0195,0.0129,0.7,1.0,0.0024,1994.97,2.06,22.7,0.201,0.201
