Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-01,AP,Calçoene,1,0,0,11117,1600204,0,1,,,,,,,,,,,,,,,0.0,0.034,89.95,0.0,0.0,0.0,89.95
2020-05-02,AP,Calçoene,1,0,0,11117,1600204,0,1,,,,,,,,,,,,,,,0.0,0.034,89.95,0.0,0.0,0.0,89.95
2020-05-03,AP,Calçoene,1,0,0,11117,1600204,0,1,,,,,,,,,,,,,,,0.0,0.034,89.95,0.0,0.0,0.0,89.95
2020-05-04,AP,Calçoene,1,0,0,11117,1600204,0,1,,,,,,,,,,,,,,,0.0,0.034,89.95,0.0,0.0,0.0,89.95
2020-05-05,AP,Calçoene,1,0,0,11117,1600204,0,1,0.219,,,,,,,,,,,,,,0.0,0.034,89.95,0.0,0.0,0.0,89.95
2020-05-06,AP,Calçoene,3,0,1,11117,1600204,1,2,0.657,,,,,,,,,,,,,0.0,0.0,0.034,269.86,0.0,89.95,89.95,179.9
2020-05-07,AP,Calçoene,4,0,2,11117,1600204,2,2,,,,,,,,,,,,,,0.0,0.0,0.034,359.81,0.0,179.9,179.9,179.9
2020-05-08,AP,Calçoene,4,0,2,11117,1600204,2,2,,,,,,,,,,,,,,0.0,0.0,0.034,359.81,0.0,179.9,179.9,179.9
2020-05-09,AP,Calçoene,4,0,2,11117,1600204,2,2,,,,,,,,,,,,,,0.0,0.0,0.034,359.81,0.0,179.9,179.9,179.9
