Key,M,β,γ,α,μ
MG,[2.1168791e7],[0.0985],[0.867],[0.041],[0.0852]
AM,[4.144597e6],[0.162],[0.577],[0.0822],[0.159]
PR,[1.1433957e7],[0.0],[0.01],[0.0206],[0.034]
ES,[4.01865e6],[0.115],[0.119],[0.0495],[0.0814]
PB,[4.018127e6],[0.161],[0.174],[0.0897],[0.034]
AP,[845731.0],[0.13],[0.0901],[0.0742],[0.034]
TO,[1.572866e6],[0.0],[0.01],[0.145],[0.034]
AC,[881935.0],[0.218],[0.533],[0.103],[0.034]
AL,[3.337357e6],[0.17],[0.197],[0.0836],[0.034]
SP,[4.5919049e7],[0.0],[0.01],[0.0447],[0.164]
PA,[8.602865e6],[0.108],[0.069],[0.0976],[0.152]
MA,[7.075181e6],[0.144],[0.424],[0.0684],[0.116]
MT,[3.484466e6],[0.0],[0.01],[0.0336],[0.034]
MS,[2.778986e6],[0.0825],[0.33],[0.0141],[0.034]
RS,[1.1377239e7],[0.0788],[0.0765],[0.0419],[0.0877]
PI,[3.273227e6],[0.159],[0.217],[0.0754],[0.034]
RN,[3.506853e6],[0.0],[0.01],[0.0471],[0.034]
RR,[605761.0],[0.192],[0.625],[0.201],[0.034]
RJ,[1.7264943e7],[0.0],[0.01],[0.0574],[0.179]
SC,[7.164788e6],[0.164],[0.296],[0.0382],[0.0468]
BA,[1.4873064e7],[0.0982],[0.204],[0.0478],[0.0788]
CE,[9.132078e6],[0.0],[0.01],[0.0638],[0.133]
PE,[9.557071e6],[0.11],[0.198],[0.062],[0.16]
GO,[7.018354e6],[0.0],[0.01],[0.0352],[0.034]
DF,[3.015268e6],[0.11],[0.748],[0.041],[0.0369]
