country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered_confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Saint Vincent and the Grenadines,2020-01-22,12.984,-61.2872,110483,7361,,,0,0,19,0,0,19,-19,,,,,,,,,,,,,,0.0,,0.0,0.0,171.972,171.972,-171.97216,,
Saint Vincent and the Grenadines,2020-01-23,12.984,-61.2872,110483,7361,,,0,0,17,0,0,17,-17,,,,,,,,,,,,,,0.0,,0.0,0.0,153.87,153.87,-153.86983,,
Saint Vincent and the Grenadines,2020-01-24,12.984,-61.2872,110483,7361,,,0,0,15,0,0,15,-15,,,,,,,,,,,,,,0.0,,0.0,0.0,135.767,135.767,-135.76749,,
Saint Vincent and the Grenadines,2020-01-25,12.984,-61.2872,110483,7361,,,0,0,14,0,0,14,-14,,-1.33333,,,,,,,,,,,,0.0,,0.0,0.0,126.716,126.716,-126.71633,,
Saint Vincent and the Grenadines,2020-01-26,12.984,-61.2872,110483,7361,,,0,0,13,0,0,13,-13,,-1.16667,,,,,,,,,,,,0.0,,0.0,0.0,117.665,117.665,-117.66516,,
Saint Vincent and the Grenadines,2020-01-27,12.984,-61.2872,110483,7361,,,0,0,12,0,0,12,-12,,-1.0,,,,,,,,,,,,0.0,,0.0,0.0,108.614,108.614,-108.61399,,
Saint Vincent and the Grenadines,2020-01-28,12.984,-61.2872,110483,7361,,,0,0,11,0,0,11,-11,,-1.0,,,,,,,,,,,,0.0,,0.0,0.0,99.563,99.563,-99.56283,,
Saint Vincent and the Grenadines,2020-01-29,12.984,-61.2872,110483,7361,,,0,0,10,0,0,10,-10,,-1.0,,,,,,,,,,,,0.0,,0.0,0.0,90.512,90.512,-90.51166,,
Saint Vincent and the Grenadines,2020-01-30,12.984,-61.2872,110483,7361,,,0,0,9,0,0,9,-9,,-0.83333,,,,,,,,,,,,0.0,,0.0,0.0,81.46,81.46,-81.4605,,
Saint Vincent and the Grenadines,2020-01-31,12.984,-61.2872,110483,7361,,,0,0,8,0,0,8,-8,,-0.83333,,,,,,,,,,,,0.0,,0.0,0.0,72.409,72.409,-72.40933,,
Saint Vincent and the Grenadines,2020-02-01,12.984,-61.2872,110483,7361,,,0,0,7,0,0,7,-7,,-0.83333,,,,,,,,,,,,0.0,,0.0,0.0,63.358,63.358,-63.35816,,
