country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered_confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Somalia,2020-01-22,5.152,46.2,15910843,,,,0,0,1478.725,0,0,1478.725,-1478.72473,,,,,,,,,,,,,,0.0,,0.0,0.0,92.938,92.938,-92.93818,,
Somalia,2020-01-23,5.152,46.2,15910843,,,,0,0,1344.295,0,0,1344.295,-1344.29521,,,,,,,,,,,,,,0.0,,0.0,0.0,84.489,84.489,-84.48925,,
Somalia,2020-01-24,5.152,46.2,15910843,,,,0,0,1222.087,0,0,1222.087,-1222.08655,,,,,,,,,,,,,,0.0,,0.0,0.0,76.808,76.808,-76.80841,,
Somalia,2020-01-25,5.152,46.2,15910843,,,,0,0,1110.988,0,0,1110.988,-1110.98778,,-107.33719,,,,,,,,,,,,0.0,,0.0,0.0,69.826,69.826,-69.82583,,
Somalia,2020-01-26,5.152,46.2,15910843,,,,0,0,1009.989,0,0,1009.989,-1009.98889,,-97.57927,,,,,,,,,,,,0.0,,0.0,0.0,63.478,63.478,-63.47802,,
Somalia,2020-01-27,5.152,46.2,15910843,,,,0,0,918.172,0,0,918.172,-918.17172,,-88.70843,,,,,,,,,,,,0.0,,0.0,0.0,57.707,57.707,-57.7073,,
Somalia,2020-01-28,5.152,46.2,15910843,,,,0,0,834.702,0,0,834.702,-834.70156,,-80.64402,,,,,,,,,,,,0.0,,0.0,0.0,52.461,52.461,-52.46118,,
Somalia,2020-01-29,5.152,46.2,15910843,,,,0,0,758.82,0,0,758.82,-758.8196,,-73.31275,,,,,,,,,,,,0.0,,0.0,0.0,47.692,47.692,-47.69198,,
Somalia,2020-01-30,5.152,46.2,15910843,,,,0,0,689.836,0,0,689.836,-689.836,,-66.64795,,,,,,,,,,,,0.0,,0.0,0.0,43.356,43.356,-43.35635,,
Somalia,2020-01-31,5.152,46.2,15910843,,,,0,0,627.124,0,0,627.124,-627.12364,,-60.58905,,,,,,,,,,,,0.0,,0.0,0.0,39.415,39.415,-39.41486,,
Somalia,2020-02-01,5.152,46.2,15910843,,,,0,0,570.112,0,0,570.112,-570.1124,,-55.08095,,,,,,,,,,,,0.0,,0.0,0.0,35.832,35.832,-35.83169,,
Somalia,2020-02-02,5.152,46.2,15910843,,,,0,0,518.284,0,0,518.284,-518.284,,-50.07359,,,,,,,,,,,,0.0,,0.0,0.0,32.574,32.574,-32.57426,,
Somalia,2020-02-03,5.152,46.2,15910843,,,,0,0,471.167,0,0,471.167,-471.16727,,-45.52145,,,,,,,,,,,,0.0,,0.0,0.0,29.613,29.613,-29.61297,,
Somalia,2020-02-04,5.152,46.2,15910843,,,,0,0,428.334,0,0,428.334,-428.33388,,-41.38314,,,,,,,,,,,,0.0,,0.0,0.0,26.921,26.921,-26.92088,,
Somalia,2020-02-05,5.152,46.2,15910843,,,,0,0,389.394,0,0,389.394,-389.39444,,-37.62103,,,,,,,,,,,,0.0,,0.0,0.0,24.474,24.474,-24.47353,,
Somalia,2020-02-06,5.152,46.2,15910843,,,,0,0,353.995,0,0,353.995,-353.99494,,-34.20094,,,,,,,,,,,,0.0,,0.0,0.0,22.249,22.249,-22.24866,,
Somalia,2020-02-07,5.152,46.2,15910843,,,,0,0,321.814,0,0,321.814,-321.81358,,-31.09176,,,,,,,,,,,,0.0,,0.0,0.0,20.226,20.226,-20.22605,,
