country,date,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered_confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Brazil,2020-01-22,213724406,9001,,,0,42.713,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-23,213724406,9001,,,0,38.83,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-24,213724406,9001,,,0,35.3,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-25,213724406,9001,,,0,32.091,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-26,213724406,9001,,,0,29.174,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-27,213724406,9001,,,0,26.522,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-28,213724406,9001,,,0,24.111,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-29,213724406,9001,,,0,21.919,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-30,213724406,9001,,,0,19.926,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-01-31,213724406,9001,,,0,18.115,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-01,213724406,9001,,,0,16.468,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-02,213724406,9001,,,0,14.971,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-03,213724406,9001,,,0,13.61,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-04,213724406,9001,,,0,12.373,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-05,213724406,9001,,,0,11.248,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-06,213724406,9001,,,0,10.225,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-07,213724406,9001,,,0,9.296,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-08,213724406,9001,,,0,8.451,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-09,213724406,9001,,,0,7.682,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-10,213724406,9001,,,0,6.984,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-11,213724406,9001,,,0,6.349,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-12,213724406,9001,,,0,5.772,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-13,213724406,9001,,,0,5.247,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-14,213724406,9001,,,0,4.77,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-15,213724406,9001,,,0,4.337,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-16,213724406,9001,,,0,3.942,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-17,213724406,9001,,,0,3.584,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-18,213724406,9001,,,0,3.258,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-19,213724406,9001,,,0,2.962,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-20,213724406,9001,,,0,2.693,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-21,213724406,9001,,,0,2.448,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-22,213724406,9001,,,0,2.225,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-23,213724406,9001,,,0,2.023,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-24,213724406,9001,,,0,1.839,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,2020-02-25,213724406,9001,,,0,1.672,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
