country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered_confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Madagascar,2020-01-22,-18.7669,46.869,27794253,528,,,0,0,8.997,0,0,8.997,-8.99742,,,,,,,,,,,,,,0.0,,0.0,0.0,0.3237,0.3237,-0.32372,,
Madagascar,2020-01-23,-18.7669,46.869,27794253,528,,,0,0,8.179,0,0,8.179,-8.17948,,,,,,,,,,,,,,0.0,,0.0,0.0,0.2943,0.2943,-0.29429,,
Madagascar,2020-01-24,-18.7669,46.869,27794253,528,,,0,0,7.436,0,0,7.436,-7.43589,,,,,,,,,,,,,,0.0,,0.0,0.0,0.2675,0.2675,-0.26753,,
Madagascar,2020-01-25,-18.7669,46.869,27794253,528,,,0,0,6.76,0,0,6.76,-6.7599,,-0.6531,,,,,,,,,,,,0.0,,0.0,0.0,0.2432,0.2432,-0.24321,,
Madagascar,2020-01-26,-18.7669,46.869,27794253,528,,,0,0,6.145,0,0,6.145,-6.14536,,-0.59373,,,,,,,,,,,,0.0,,0.0,0.0,0.2211,0.2211,-0.2211,,
Madagascar,2020-01-27,-18.7669,46.869,27794253,528,,,0,0,5.587,0,0,5.587,-5.58669,,-0.53975,,,,,,,,,,,,0.0,,0.0,0.0,0.201,0.201,-0.201,,
Madagascar,2020-01-28,-18.7669,46.869,27794253,528,,,0,0,5.079,0,0,5.079,-5.07881,,-0.49069,,,,,,,,,,,,0.0,,0.0,0.0,0.1827,0.1827,-0.18273,,
Madagascar,2020-01-29,-18.7669,46.869,27794253,528,,,0,0,4.617,0,0,4.617,-4.6171,,-0.44608,,,,,,,,,,,,0.0,,0.0,0.0,0.1661,0.1661,-0.16612,,
Madagascar,2020-01-30,-18.7669,46.869,27794253,528,,,0,0,4.197,0,0,4.197,-4.19736,,-0.40553,,,,,,,,,,,,0.0,,0.0,0.0,0.151,0.151,-0.15102,,
Madagascar,2020-01-31,-18.7669,46.869,27794253,528,,,0,0,3.816,0,0,3.816,-3.81579,,-0.36866,,,,,,,,,,,,0.0,,0.0,0.0,0.1373,0.1373,-0.13729,,
Madagascar,2020-02-01,-18.7669,46.869,27794253,528,,,0,0,3.469,0,0,3.469,-3.4689,,-0.33514,,,,,,,,,,,,0.0,,0.0,0.0,0.1248,0.1248,-0.12481,,
