Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
high_income,All,1.152317758e9,0.114,0.222,0.091,0.0726,0.0007,1.18,0.0003,0.0012,1.16403145e6,1.25,0.0083,0.46,0.46
low_income,All,6.03059507e8,0.117,0.222,0.0909,0.0284,0.0004,0.347,0.0006,0.0007,9431.9,1.29,0.01,0.306,0.306
lower_middle_income,All,3.11749989e9,0.123,0.222,0.0909,0.038,0.0001,0.319,0.001,0.0008,185079.39,1.36,0.0144,0.104,0.104
upper_middle_income,All,2.650801191e9,0.119,0.222,0.0909,0.0499,0.0017,0.805,0.001,0.0004,948909.19,1.31,0.0233,0.176,0.176
