Key,M,β,γ,α,μ
States,[881935.0],[0.0],[0.01],[0.145],[0.0529]
States2,[881935.0],[0.0],[0.01],[0.145],[0.0529]
Per City,[6989.0],[0.0],[0.01],[0.113],[0.389]
Brazil,[2.13724406e8],[0.121],[0.462],[0.0569],[0.14]
Per State,[881935.0],[0.0],[0.01],[0.145],[0.0529]
