Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-14,MS,2,0,0,2806776,50,14.03,28,0,28,,,,,,,,,,,,,,,0.0,9.976,0.0,0.0,0.0,9.976
2020-03-15,MS,2,0,0,2806776,50,14.03,28,0,28,,,,,,,,,,,,,,,0.0,9.976,0.0,0.0,0.0,9.976
2020-03-16,MS,4,0,0,2806776,50,14.03,56,0,56,,,,,,,,,,,,,,,0.0,19.952,0.0,0.0,0.0,19.952
2020-03-17,MS,6,0,0,2806776,50,14.03,84,0,84,23.333,,,,,,,,,,,,,,0.0,29.928,0.0,0.0,0.0,29.928
2020-03-18,MS,7,0,0,2806776,50,14.03,98,0,98,32.667,,,,,,,,,,,,,,0.0,34.916,0.0,0.0,0.0,34.916
2020-03-19,MS,9,0,0,2806776,50,14.03,126,0,126,39.833,,,,,,,,,,,,,,0.0,44.891,0.0,0.0,0.0,44.891
2020-03-20,MS,12,0,0,2806776,50,14.03,168,0,168,35.167,,,,,1.194,,,,,,,,,0.0,59.855,0.0,0.0,0.0,59.855
2020-03-21,MS,16,0,0,2806776,50,14.03,224,0,224,39.833,,,,,-0.75,,,,,,,,,0.0,79.807,0.0,0.0,0.0,79.807
2020-03-22,MS,21,0,0,2806776,50,14.03,295,0,295,35.167,,,,,-2.75,,,,,-0.01389,,,,0.0,105.103,0.0,0.0,0.0,105.103
2020-03-23,MS,21,0,0,2806776,50,14.03,295,0,295,30.5,,,,,-0.02778,,,,,,,,,0.0,105.103,0.0,0.0,0.0,105.103
2020-03-24,MS,24,0,0,2806776,50,14.03,337,0,337,28.167,,,,,1.139,,,,,,,,,0.0,120.067,0.0,0.0,0.0,120.067
2020-03-25,MS,24,0,0,2806776,50,14.03,337,0,337,23.333,,,,,3.472,,,,,,,,,0.0,120.067,0.0,0.0,0.0,120.067
2020-03-26,MS,25,0,0,2806776,50,14.03,351,0,351,35.0,,,,,5.056,,,,,1.569,,,,0.0,125.055,0.0,0.0,0.0,125.055
2020-03-27,MS,28,0,0,2806776,50,14.03,393,0,393,46.667,,,,,5.056,,,,,0.2083,,,,0.0,140.018,0.0,0.0,0.0,140.018
2020-03-28,MS,31,0,0,2806776,50,14.03,435,0,435,56.0,,,,,7.417,,,,,-1.15972,-0.78472,,,0.0,154.982,0.0,0.0,0.0,154.982
2020-03-29,MS,36,0,0,2806776,50,14.03,505,0,505,60.833,,,,,4.306,,,,,-1.84028,-0.15104,,,0.0,179.922,0.0,0.0,0.0,179.922
2020-03-30,MS,44,0,1,2806776,50,14.03,617,1,616,58.5,,,,,0.4167,,,,,-1.56944,,,0.0,0.0,219.825,0.0,0.3563,0.3563,219.469
2020-03-31,MS,48,1,1,2806776,50,14.03,673,2,671,67.833,,,,,-2.30556,,,,,-0.39583,,,0.5,0.00149,239.777,0.3563,0.3563,0.7126,239.064
2020-04-01,MS,51,1,1,2806776,50,14.03,716,2,714,60.833,,,,,1.139,,,,,-0.10417,,,0.5,0.0014,255.097,0.3563,0.3563,0.7126,254.384
2020-04-02,MS,53,1,1,2806776,50,14.03,744,2,742,49.167,0.0,,,,2.722,,,,,,,,0.5,0.00134,265.073,0.3563,0.3563,0.7126,264.36
2020-04-03,MS,60,1,1,2806776,50,14.03,842,2,840,42.167,0.0,0.0,0.0,42.167,0.0,,,,,1.076,,,0.5,0.00119,299.988,0.3563,0.3563,0.7126,299.276
2020-04-04,MS,62,1,1,2806776,50,14.03,870,2,868,67.667,0.0,0.1667,0.1667,67.5,3.5,,,,,0.9722,,,0.5,0.00115,309.964,0.3563,0.3563,0.7126,309.252
2020-04-05,MS,65,1,1,2806776,50,14.03,912,2,910,74.833,0.0,0.1667,0.1667,74.667,5.444,,,,,,-0.53646,,0.5,0.0011,324.928,0.3563,0.3563,0.7126,324.215
2020-04-06,MS,66,1,1,2806776,50,14.03,926,2,924,67.833,0.0,0.1667,0.1667,67.667,6.611,,,,,-1.07639,-0.68056,,0.5,0.00108,329.916,0.3563,0.3563,0.7126,329.203
2020-04-07,MS,80,2,1,2806776,50,14.03,1122,3,1119,81.833,0.0,0.1667,0.1667,81.667,1.583,,0.02778,,,-1.06944,,,0.6667,0.00178,399.747,0.7126,0.3563,1.069,398.678
2020-04-08,MS,85,2,1,2806776,50,14.03,1193,3,1190,81.833,0.0,0.1667,0.1667,81.667,-0.80556,,0.02778,,,-1.75,,,0.6667,0.00168,425.043,0.7126,0.3563,1.069,423.974
2020-04-09,MS,89,2,1,2806776,50,14.03,1249,3,1246,81.833,0.0,0.1667,0.1667,81.667,1.167,,0.02778,,,0.3819,,,0.6667,0.0016,444.995,0.7126,0.3563,1.069,443.926
2020-04-10,MS,97,2,1,2806776,50,14.03,1361,3,1358,77.167,0.0,0.3333,0.3333,76.833,-0.38889,,0.05556,,,,,,0.6667,0.00147,484.898,0.7126,0.3563,1.069,483.829
