Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-13,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-14,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-15,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-16,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-17,PB,0,0,0,4058308,25,14.03,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-03-18,PB,1,0,0,4058308,25,14.03,14,0,14,,,,,,,,,,,,,,,0.0,3.45,0.0,0.0,0.0,3.45
2020-03-19,PB,1,0,0,4058308,25,14.03,14,0,14,,,,,,,,,,,,,,,0.0,3.45,0.0,0.0,0.0,3.45
2020-03-20,PB,1,0,0,4058308,25,14.03,14,0,14,,,,,,,,,,,,,,,0.0,3.45,0.0,0.0,0.0,3.45
2020-03-21,PB,1,0,0,4058308,25,14.03,14,0,14,4.667,,,,,,,,,,,,,,0.0,3.45,0.0,0.0,0.0,3.45
2020-03-22,PB,1,0,0,4058308,25,14.03,14,0,14,9.333,,,,,,,,,,,,,,0.0,3.45,0.0,0.0,0.0,3.45
2020-03-23,PB,2,0,0,4058308,25,14.03,28,0,28,11.667,,,,,,,,,,,,,,0.0,6.899,0.0,0.0,0.0,6.899
2020-03-24,PB,3,0,0,4058308,25,14.03,42,0,42,21.0,,,,,4.694,,,,,,,,,0.0,10.349,0.0,0.0,0.0,10.349
2020-03-25,PB,5,0,0,4058308,25,14.03,70,0,70,30.333,,,,,3.528,,,,,,,,,0.0,17.249,0.0,0.0,0.0,17.249
2020-03-26,PB,6,0,0,4058308,25,14.03,84,0,84,28.0,,,,,3.917,,,,,-0.68056,,,,0.0,20.698,0.0,0.0,0.0,20.698
2020-03-27,PB,10,0,0,4058308,25,14.03,140,0,140,32.833,,,,,3.917,,,,,-0.09722,,,,0.0,34.497,0.0,0.0,0.0,34.497
2020-03-28,PB,14,0,0,4058308,25,14.03,196,0,196,30.5,,,,,1.972,,,,,-0.59722,,,,0.0,48.296,0.0,0.0,0.0,48.296
2020-03-29,PB,14,0,0,4058308,25,14.03,196,0,196,35.167,,,,,3.139,,,,,-0.5,,,,0.0,48.296,0.0,0.0,0.0,48.296
2020-03-30,PB,17,0,0,4058308,25,14.03,239,0,239,44.5,,,,,1.528,,,,,-0.01389,,,,0.0,58.892,0.0,0.0,0.0,58.892
2020-03-31,PB,18,1,0,4058308,25,14.03,253,1,252,42.167,,,,,1.917,,,,,-0.10417,,,1.0,0.00395,62.341,0.2464,0.0,0.2464,62.095
