Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-05,ES,1,0,0,4058836,32,11.8,12,0,12,,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-06,ES,1,0,0,4058836,32,11.8,12,0,12,,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-07,ES,1,0,0,4058836,32,11.8,12,0,12,,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-08,ES,1,0,0,4058836,32,11.8,12,0,12,0.0,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-09,ES,1,0,0,4058836,32,11.8,12,0,12,2.0,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-10,ES,1,0,0,4058836,32,11.8,12,0,12,2.0,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-11,ES,1,0,0,4058836,32,11.8,12,0,12,5.833,,,,,,,,,,,,,,0.0,2.957,0.0,0.0,0.0,2.957
2020-03-12,ES,2,0,0,4058836,32,11.8,24,0,24,5.833,,,,,2.611,,,,,,,,,0.0,5.913,0.0,0.0,0.0,5.913
2020-03-13,ES,2,0,0,4058836,32,11.8,24,0,24,13.667,,,,,3.25,,,,,,,,,0.0,5.913,0.0,0.0,0.0,5.913
2020-03-14,ES,4,0,0,4058836,32,11.8,47,0,47,13.667,,,,,2.972,,,,,0.2569,,,,0.0,11.58,0.0,0.0,0.0,11.58
2020-03-15,ES,4,0,0,4058836,32,11.8,47,0,47,17.667,,,,,6.25,,,,,0.6667,,,,0.0,11.58,0.0,0.0,0.0,11.58
2020-03-16,ES,8,0,0,4058836,32,11.8,94,0,94,21.5,,,,,3.639,,,,,0.8958,0.1163,,,0.0,23.159,0.0,0.0,0.0,23.159
2020-03-17,ES,8,0,1,4058836,32,11.8,94,1,93,23.667,,,,,5.917,,,,,-0.24306,-0.41493,,0.0,0.0,23.159,0.0,0.2464,0.2464,22.913
2020-03-18,ES,11,0,0,4058836,32,11.8,130,0,130,43.333,,,,,6.556,,,,,0.7222,-0.28646,-0.09418,,0.0,32.029,0.0,0.0,0.0,32.029
2020-03-19,ES,13,0,0,4058836,32,11.8,153,0,153,35.5,,,,,5.278,,,,,-0.99306,,,,0.0,37.696,0.0,0.0,0.0,37.696
2020-03-20,ES,16,0,0,4058836,32,11.8,189,0,189,49.167,-0.16667,,,,6.528,,,,,-0.25,-0.26042,,,0.0,46.565,0.0,0.0,0.0,46.565
2020-03-21,ES,26,0,0,4058836,32,11.8,307,0,307,57.0,,,,,1.944,,,,,-0.16667,,,,0.0,75.637,0.0,0.0,0.0,75.637
2020-03-22,ES,26,0,0,4058836,32,11.8,307,0,307,53.167,,,,,5.556,,,,,-0.31944,,,,0.0,75.637,0.0,0.0,0.0,75.637
2020-03-23,ES,33,0,0,4058836,32,11.8,389,0,389,62.833,,,,,4.611,,,,,1.972,,,,0.0,95.84,0.0,0.0,0.0,95.84
2020-03-24,ES,40,0,0,4058836,32,11.8,472,0,472,55.0,,,,,5.25,,,,,1.896,,,,0.0,116.289,0.0,0.0,0.0,116.289
2020-03-25,ES,40,0,0,4058836,32,11.8,472,0,472,68.833,,,,,9.833,,,,,3.521,0.01736,,,0.0,116.289,0.0,0.0,0.0,116.289
2020-03-26,ES,48,0,1,4058836,32,11.8,566,1,565,76.833,,,,,13.139,,,,,3.354,0.01563,,0.0,0.0,139.449,0.0,0.2464,0.2464,139.202
2020-03-27,ES,54,0,1,4058836,32,11.8,637,1,636,88.5,,,,,18.694,,,,,2.042,-0.92361,-0.16233,0.0,0.0,156.942,0.0,0.2464,0.2464,156.695
2020-03-28,ES,61,0,1,4058836,32,11.8,720,1,719,112.167,,,,,18.667,,,,,1.958,-1.28819,-0.17188,0.0,0.0,177.391,0.0,0.2464,0.2464,177.144
2020-03-29,ES,72,0,1,4058836,32,11.8,850,1,849,141.667,3.0,,,,18.0,,,,,-0.17361,-0.63194,,0.0,0.0,209.42,0.0,0.2464,0.2464,209.173
2020-03-30,ES,85,0,19,4058836,32,11.8,1003,19,984,167.167,3.0,,,,20.972,,,,,-1.79861,-0.67188,,0.0,0.0,247.115,0.0,4.681,4.681,242.434
2020-03-31,ES,97,0,18,4058836,32,11.8,1145,18,1127,180.833,2.833,,,,18.0,,,,,-0.48611,,,0.0,0.0,282.101,0.0,4.435,4.435,277.666
2020-04-01,ES,120,0,19,4058836,32,11.8,1416,19,1397,184.833,2.833,,,,11.472,-0.52778,,,,-0.72917,,,0.0,0.0,348.868,0.0,4.681,4.681,344.187
2020-04-02,ES,139,2,19,4058836,32,11.8,1640,21,1619,214.333,0.0,,,,16.056,-0.52778,,,,2.792,,,0.09524,0.00122,404.057,0.4928,4.681,5.174,398.883
2020-04-03,ES,153,5,18,4058836,32,11.8,1805,23,1782,220.167,0.1667,,,,18.056,-0.27778,,,,3.688,,,0.2174,0.00277,444.709,1.232,4.435,5.667,439.042
2020-04-04,ES,166,6,18,4058836,32,11.8,1959,24,1935,210.5,-0.16667,,,,29.167,-0.25,,,,4.924,0.5538,,0.25,0.00306,482.651,1.478,4.435,5.913,476.738
2020-04-05,ES,194,6,19,4058836,32,11.8,2289,25,2264,263.5,-0.16667,0.6667,0.5,263.0,26.222,,,,,6.049,3.318,,0.24,0.00262,563.955,1.478,4.681,6.159,557.795
2020-04-06,ES,209,6,19,4058836,32,11.8,2466,25,2441,289.167,1.167,0.3333,1.5,287.667,35.75,0.2222,,,,5.007,4.792,1.074,0.24,0.00243,607.563,1.478,4.681,6.159,601.404
2020-04-07,ES,227,6,18,4058836,32,11.8,2679,24,2655,359.833,1.333,0.3333,1.667,358.167,42.25,,,,,16.958,3.634,-0.81814,0.25,0.00224,660.041,1.478,4.435,5.913,654.128
2020-04-08,ES,273,6,18,4058836,32,11.8,3221,24,3197,371.667,1.333,0.5,1.833,369.833,49.194,,0.2222,,,24.09,4.851,-2.86806,0.25,0.00186,793.577,1.478,4.435,5.913,787.664
2020-04-09,ES,300,7,25,4058836,32,11.8,3540,32,3508,434.667,1.5,1.333,2.833,431.833,94.056,84.194,0.3333,84.528,9.528,20.583,0.04514,-3.39887,0.2188,0.00198,872.171,1.725,6.159,7.884,864.287
2020-04-10,ES,349,8,26,4058836,32,11.8,4118,34,4084,464.0,1.833,1.833,3.667,460.333,132.111,100.278,0.5,100.778,31.333,24.41,-6.68056,-5.90321,0.2353,0.00194,1014.577,1.971,6.406,8.377,1006.2
2020-04-11,ES,383,9,27,4058836,32,11.8,4519,36,4483,558.667,91.5,2.0,93.5,465.167,124.583,92.722,0.4444,93.167,31.417,17.139,-9.96181,-3.97222,0.25,0.00199,1113.373,2.217,6.652,8.87,1104.504
2020-04-12,ES,430,14,28,4058836,32,11.8,5074,42,5032,853.5,506.333,2.333,508.667,344.833,146.833,99.417,0.2222,99.639,47.194,-2.63194,-18.76215,,0.3333,0.00276,1250.112,3.449,6.899,10.348,1239.764
2020-04-13,ES,463,17,29,4058836,32,11.8,5463,46,5417,1152.5,603.0,3.333,606.333,546.167,162.611,162.861,0.1667,163.028,-0.41667,-19.26389,-15.84375,,0.3696,0.00311,1345.952,4.188,7.145,11.333,1334.619
2020-04-14,ES,557,18,567,4058836,32,11.8,6573,585,5988,1119.167,557.667,3.167,560.833,558.333,121.583,128.222,0.1111,128.333,-6.75,-50.63889,,,0.03077,0.00274,1619.43,4.435,139.695,144.13,1475.3
2020-04-15,ES,734,21,3063,4058836,32,11.8,8661,3084,5577,1315.667,598.0,2.667,600.667,715.0,47.528,-0.91667,-0.02778,-0.94444,48.472,-46.23611,,,0.00681,0.00242,2133.863,5.174,754.65,759.824,1374.039
2020-04-16,ES,935,28,3644,4058836,32,11.8,11033,3672,7361,1439.667,979.0,2.833,981.833,457.833,-55.72222,-20.75,-0.30556,-21.05556,-34.66667,-38.83333,,,0.00763,0.00254,2718.267,6.899,897.794,904.693,1813.574
2020-04-17,ES,952,28,3373,4058836,32,11.8,11234,3401,7833,1288.167,860.833,2.667,863.5,424.667,-22.33333,1.194,-0.11111,1.083,-23.41667,-29.58333,,,0.00823,0.00249,2767.789,6.899,831.026,837.925,1929.864
2020-04-18,ES,1099,30,3616,4058836,32,11.8,12968,3646,9322,1138.667,500.833,2.167,503.0,635.667,-33.75,7.778,0.02778,7.806,-41.55556,,,,0.00823,0.00231,3195.005,7.391,890.896,898.287,2296.718
2020-04-19,ES,1195,34,5903,4058836,32,11.8,14101,5937,8164,818.167,478.5,1.5,480.0,338.167,-70.80556,-122.13889,0.02778,-122.11111,51.306,,,,0.00573,0.00241,3474.149,8.377,1454.358,1462.735,2011.414
2020-04-20,ES,1212,34,5732,4058836,32,11.8,14302,5766,8536,985.167,564.833,2.5,567.333,417.833,-15.75,-89.94444,0.1944,-89.75,74.0,,,,0.0059,0.00238,3523.67,8.377,1412.228,1420.604,2103.066
