Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-06,BA,1,0,0,15021795,29,14.03,14,0,14,,,,,,,,,,,,,,,0.0,0.932,0.0,0.0,0.0,0.932
2020-03-07,BA,2,0,0,15021795,29,14.03,28,0,28,,,,,,,,,,,,,,,0.0,1.864,0.0,0.0,0.0,1.864
2020-03-09,BA,2,0,0,15021795,29,14.03,28,0,28,,,,,,,,,,,,,,,0.0,1.864,0.0,0.0,0.0,1.864
2020-03-10,BA,2,0,0,15021795,29,14.03,28,0,28,,,,,,,,,,,,,,,0.0,1.864,0.0,0.0,0.0,1.864
2020-03-11,BA,3,0,0,15021795,29,14.03,42,0,42,,,,,,,,,,,,,,,0.0,2.796,0.0,0.0,0.0,2.796
2020-03-12,BA,3,0,0,15021795,29,14.03,42,0,42,,,,,,,,,,,,,,,0.0,2.796,0.0,0.0,0.0,2.796
2020-03-13,BA,7,0,0,15021795,29,14.03,98,0,98,,,,,,,,,,,,,,,0.0,6.524,0.0,0.0,0.0,6.524
2020-03-15,BA,9,0,0,15021795,29,14.03,126,0,126,,,,,,,,,,,,,,,0.0,8.388,0.0,0.0,0.0,8.388
2020-03-16,BA,10,0,0,15021795,29,14.03,140,0,140,,,,,,,,,,,,,,,0.0,9.32,0.0,0.0,0.0,9.32
2020-03-17,BA,14,0,0,15021795,29,14.03,196,0,196,,,,,,,,,,,,,,,0.0,13.048,0.0,0.0,0.0,13.048
2020-03-18,BA,27,0,0,15021795,29,14.03,379,0,379,74.833,,,,,,,,,,,,,,0.0,25.23,0.0,0.0,0.0,25.23
2020-03-19,BA,31,0,0,15021795,29,14.03,435,0,435,105.333,,,,,,,,,,,,,,0.0,28.958,0.0,0.0,0.0,28.958
2020-03-20,BA,34,0,0,15021795,29,14.03,477,0,477,114.667,,,,,,,,,,,,,,0.0,31.754,0.0,0.0,0.0,31.754
2020-03-21,BA,41,0,0,15021795,29,14.03,575,0,575,121.5,,,,,19.5,,,,,,,,,0.0,38.278,0.0,0.0,0.0,38.278
2020-03-22,BA,55,0,0,15021795,29,14.03,772,0,772,140.333,,,,,10.5,,,,,,,,,0.0,51.392,0.0,0.0,0.0,51.392
2020-03-23,BA,63,0,0,15021795,29,14.03,884,0,884,173.0,,,,,17.139,,,,,1.556,,,,0.0,58.848,0.0,0.0,0.0,58.848
