Key,Group Name,M,β,γ,α,μ
2020-03-06,Group 1,3.9653765e7,0.1389,0.5962,0.01406,
2020-03-07,Group 1,3.9653765e7,0.1907,1.0,0.06796,
2020-03-08,Group 1,3.9653765e7,0.1695,0.2478,0.04209,
2020-03-09,Group 1,3.9653765e7,0.1926,0.2434,0.0388,
2020-03-10,Group 1,3.9653765e7,0.1986,0.4619,0.02502,
2020-03-11,Group 1,3.9653765e7,0.1913,0.3798,0.01343,
2020-03-12,Group 1,3.9653765e7,0.2051,0.3793,0.04332,
2020-03-13,Group 1,3.9653765e7,0.1604,0.4578,0.04517,
2020-03-14,Group 1,3.9653765e7,0.1527,0.3085,0.02203,
2020-03-15,Group 1,3.9653765e7,0.1486,0.1523,0.01597,
2020-03-16,Group 1,3.9653765e7,,,,
2020-03-17,Group 1,3.9653765e7,0.1493,0.1988,0.01432,
2020-03-18,Group 1,3.9653765e7,0.1318,0.1543,0.01927,
2020-03-19,Group 1,3.9653765e7,0.155,0.2053,0.01612,
2020-03-20,Group 1,3.9653765e7,0.121,0.07006,0.01038,
2020-03-21,Group 1,3.9653765e7,0.1363,0.08042,0.0149,
2020-03-22,Group 1,3.9653765e7,0.1438,0.1134,0.02533,
2020-03-23,Group 1,3.9653765e7,0.1479,0.2111,0.02383,
2020-03-24,Group 1,3.9653765e7,0.1253,0.1399,0.02997,
2020-03-25,Group 1,3.9653765e7,0.1148,0.131,0.03091,
2020-03-26,Group 1,3.9653765e7,0.1104,0.1795,0.01506,
2020-03-27,Group 1,3.9653765e7,0.09674,0.1041,0.02364,
2020-03-28,Group 1,3.9653765e7,0.07807,0.05613,0.01987,
2020-03-29,Group 1,3.9653765e7,0.0929,0.211,0.01428,
2020-03-30,Group 1,3.9653765e7,0.09472,0.2229,0.0196,
2020-03-31,Group 1,3.9653765e7,0.1026,0.5233,0.02526,
2020-04-01,Group 1,3.9653765e7,0.07567,0.2095,0.024,
2020-04-02,Group 1,3.9653765e7,0.05963,0.08966,0.03142,
2020-04-03,Group 1,3.9653765e7,0.07537,0.348,0.03426,
2020-04-04,Group 1,3.9653765e7,0.05103,0.123,0.01864,
2020-04-05,Group 1,3.9653765e7,0.06771,0.4863,0.02291,
2020-04-06,Group 1,3.9653765e7,0.07369,1.0,0.01858,
2020-04-07,Group 1,3.9653765e7,0.06126,0.2581,0.02892,
2020-04-08,Group 1,3.9653765e7,0.0521,0.1642,0.03459,
2020-04-09,Group 1,3.9653765e7,0.06121,0.4286,0.02581,
2020-04-10,Group 1,3.9653765e7,0.06329,0.9488,0.03383,
2020-04-11,Group 1,3.9653765e7,0.04632,0.208,0.02325,
2020-04-12,Group 1,3.9653765e7,0.01,0.01,0.0313,
2020-04-13,Group 1,3.9653765e7,0.04112,0.1829,0.03053,
2020-04-14,Group 1,3.9653765e7,0.04698,0.4023,0.02592,
2020-04-15,Group 1,3.9653765e7,0.01,0.01184,0.03969,
2020-04-16,Group 1,3.9653765e7,0.04354,0.2847,0.03712,
2020-04-17,Group 1,3.9653765e7,0.03949,0.2737,0.03226,
2020-04-18,Group 1,3.9653765e7,0.03265,0.1541,0.04492,
2020-04-19,Group 1,3.9653765e7,0.03808,0.4467,0.02921,
2020-04-20,Group 1,3.9653765e7,0.02296,0.101,0.04878,
2020-04-21,Group 1,3.9653765e7,0.01784,0.07493,0.06238,
2020-04-22,Group 1,3.9653765e7,0.03475,0.3682,0.06187,
2020-04-23,Group 1,3.9653765e7,0.03427,0.3572,0.06498,
2020-04-24,Group 1,3.9653765e7,0.01899,0.08798,0.07254,
2020-04-25,Group 1,3.9653765e7,0.03879,0.9346,0.05649,
2020-04-26,Group 1,3.9653765e7,0.01,0.03069,0.05252,
2020-04-27,Group 1,3.9653765e7,0.01,0.01,0.03158,
2020-04-28,Group 1,3.9653765e7,0.01136,0.08045,0.04215,
2020-04-30,Group 1,3.9653765e7,0.03161,0.2728,0.04454,
2020-05-02,Group 1,3.9653765e7,0.01,0.01,0.03922,
2020-05-03,Group 1,3.9653765e7,0.03251,0.7157,0.03949,
2020-05-04,Group 1,3.9653765e7,0.02173,0.1678,0.03593,
2020-05-05,Group 1,3.9653765e7,0.03709,0.7473,0.04023,
