date,state,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-03-12,RN,1,0,2,3541922,24,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,2.2586606932620197,0.0,0.5646651733155049,0.5646651733155049,1.6939955199465149
2020-03-13,RN,1,0,1,3541922,24,8.3,8,1,7,,,,,,,,,,,,,,0.0,0.0,2.2586606932620197,0.0,0.28233258665775246,0.28233258665775246,1.9763281066042675
2020-03-16,RN,1,0,2,3541922,24,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,2.2586606932620197,0.0,0.5646651733155049,0.5646651733155049,1.6939955199465149
2020-03-18,RN,1,0,2,3541922,24,8.3,8,2,6,,,,,,,,,,,,,,0.0,0.0,2.2586606932620197,0.0,0.5646651733155049,0.5646651733155049,1.6939955199465149
2020-03-20,RN,6,0,10,3541922,24,8.3,50,10,40,,,,,,,,,,,,,,0.0,0.0,14.116629332887625,0.0,2.823325866577525,2.823325866577525,11.2933034663101
2020-03-21,RN,9,0,16,3541922,24,8.3,75,16,59,,,,,,,,,,,,,,0.0,0.0,21.174943999331436,0.0,4.517321386524039,4.517321386524039,16.657622612807398
2020-03-22,RN,13,0,20,3541922,24,8.3,108,20,88,,,,,,,,,,,,,,0.0,0.0,30.49191935903727,0.0,5.64665173315505,5.64665173315505,24.84526762588222
2020-03-24,RN,14,0,28,3541922,24,8.3,116,28,88,,,,,,,,,,,,,,0.0,0.0,32.75058005229929,0.0,7.90531242641707,7.90531242641707,24.84526762588222
2020-03-25,RN,14,0,31,3541922,24,8.3,116,31,85,,,,,,,,,,,,,,0.0,0.0,32.75058005229929,0.0,8.752310186390327,8.752310186390327,23.998269865908963
2020-03-26,RN,19,0,45,3541922,24,8.3,158,45,113,,,,,,,,,,,,,,0.0,0.0,44.608548691924895,0.0,12.704966399598861,12.704966399598861,31.903582292326032
2020-03-27,RN,28,0,71,3541922,24,8.3,232,71,161,,,,,,,,,,,,,,0.0,0.0,65.50116010459858,0.0,20.045613652700425,20.045613652700425,45.45554645189815
2020-03-28,RN,68,1,182,3541922,24,8.3,564,183,381,,,,,,,,,,,,,,0.00546448087431694,0.0017730496453900709,159.2355788749724,0.28233258665775246,51.38453077171095,51.66686335836871,107.5687155166037
2020-03-30,RN,77,1,243,3541922,24,8.3,639,244,395,,,,,,,,,,,,,,0.004098360655737705,0.001564945226917058,180.41052287430384,0.28233258665775246,68.60681855783385,68.8891511444916,111.52137172981223
2020-03-31,RN,82,1,237,3541922,24,8.3,681,238,443,,,,,,,,,,,,,,0.004201680672268907,0.0014684287812041115,192.26849151392943,0.28233258665775246,66.91282303788734,67.1951556245451,125.07333588938435
2020-04-01,RN,92,2,260,3541922,24,8.3,764,262,502,,,,,,,,,,,,,,0.007633587786259542,0.002617801047120419,215.7020962065229,0.5646651733155049,73.40647253101565,73.97113770433116,141.73095850219175
2020-04-02,RN,106,2,298,3541922,24,8.3,880,300,580,233.83333333333334,91.33333333333333,1.0,92.33333333333333,141.5,,,,,,,,,0.006666666666666667,0.0022727272727272726,248.45267625882218,0.5646651733155049,84.13511082401024,84.69977599732574,163.75290026149645
2020-04-03,RN,176,4,516,3541922,24,8.3,1461,520,941,,,,,,,,,,,,,,0.007692307692307693,0.0027378507871321013,412.48790910697636,1.1293303466310098,145.6836147154003,146.8129450620313,265.6749640449451
2020-04-04,RN,215,6,640,3541922,24,8.3,1785,646,1139,,,,,,,,,,,,,,0.009287925696594427,0.0033613445378151263,503.9636671840882,1.6939955199465149,180.6928554609616,182.3868509809081,321.5768162031801
2020-04-05,RN,246,7,791,3541922,24,8.3,2042,798,1244,,,,,,,,,,,,,,0.008771929824561403,0.0034280117531831538,576.5231419551305,1.9763281066042675,223.32507604628222,225.30140415288648,351.2217378022441
2020-04-07,RN,254,8,834,3541922,24,8.3,2108,842,1266,,,,,,,,,,,,,,0.009501187648456057,0.003795066413662239,595.1570926745422,2.2586606932620197,235.46537727256558,237.7240379658276,357.4330547087146
2020-04-08,RN,261,11,844,3541922,24,8.3,2166,855,1311,,,,,,,,,,,,,,0.012865497076023392,0.0050784856879039705,611.5323827006919,3.1056584532352773,238.2887031391431,241.39436159237837,370.1380211083135
2020-04-10,RN,263,11,905,3541922,24,8.3,2183,916,1267,,,,,,,,,,,,,,0.012008733624454149,0.005038937242327073,616.3320366738736,3.1056584532352773,255.510990925266,258.6166493785013,357.7153872953724
