Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-20,AP,1,0,2,1,854188,16,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,9.37,0.0,2.34,2.34,7.02
2020-03-21,AP,1,0,2,2,854188,16,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,9.37,0.0,2.34,2.34,7.02
2020-03-22,AP,1,0,1,3,854188,16,8.3,8,1,7,,,,,,,,,,,,,,,0.0,0.0,9.37,0.0,1.17,1.17,8.19
2020-03-23,AP,1,0,2,4,854188,16,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,9.37,0.0,2.34,2.34,7.02
2020-03-24,AP,1,0,2,5,854188,16,8.3,8,2,6,0.286,2.43,0.857,,,,,,,,,,,,0.0,0.0,9.37,0.0,2.34,2.34,7.02
2020-03-25,AP,2,0,5,6,854188,16,8.3,17,5,12,0.429,3.57,1.29,,,,,,,,,,,,0.0,0.0,19.9,0.0,5.85,5.85,14.05
2020-03-26,AP,2,0,5,7,854188,16,8.3,17,5,12,1.0,8.29,3.14,,,,,,,,,,,,0.0,0.0,19.9,0.0,5.85,5.85,14.05
2020-03-27,AP,3,0,8,8,854188,16,8.3,25,8,17,1.0,8.29,3.29,,,,1.63,0.571,,,,,,,0.0,0.0,29.27,0.0,9.37,9.37,19.9
2020-03-28,AP,4,0,11,9,854188,16,8.3,33,11,22,1.29,10.71,3.86,,,,1.66,0.571,,,,,,,0.0,0.0,38.63,0.0,12.88,12.88,25.76
2020-03-29,AP,8,0,23,10,854188,16,8.3,66,23,43,1.29,10.57,3.71,,,,2.14,0.743,,,,,,,0.0,0.0,77.27,0.0,26.93,26.93,50.34
2020-03-30,AP,8,0,25,11,854188,16,8.3,66,25,41,1.43,11.86,4.14,,,,4.29,1.49,,,,0.726,,,0.0,0.0,77.27,0.0,29.27,29.27,48.0
2020-03-31,AP,10,0,29,12,854188,16,8.3,83,29,54,2.29,19.0,6.86,,,,3.57,1.51,,,,1.14,,,0.0,0.0,97.17,0.0,33.95,33.95,63.22
2020-04-01,AP,11,0,31,13,854188,16,8.3,91,31,60,3.57,29.71,10.71,,,,5.26,2.29,,,,3.37,,,0.0,0.0,106.53,0.0,36.29,36.29,70.24
2020-04-02,AP,12,0,34,14,854188,16,8.3,100,34,66,3.43,28.57,11.43,,,,7.34,3.11,,,,2.6,0.905,,0.0,0.0,117.07,0.0,39.8,39.8,77.27
2020-04-03,AP,19,0,56,15,854188,16,8.3,158,56,102,4.43,36.86,15.14,,,,18.97,7.63,,,,5.11,1.03,,0.0,0.0,184.97,0.0,65.56,65.56,119.41
2020-04-04,AP,29,1,86,16,854188,16,8.3,241,87,154,5.86,48.57,19.71,,,,17.29,7.23,,,,5.25,-0.3989,,0.0115,0.0041,282.14,1.17,100.68,101.85,180.29
2020-04-05,AP,32,1,103,17,854188,16,8.3,266,104,162,13.71,113.86,45.0,,,,29.14,12.43,,,,6.31,0.297,-0.4761,0.0096,0.0038,311.41,1.17,120.58,121.75,189.65
2020-04-06,AP,39,2,131,18,854188,16,8.3,324,133,191,14.0,116.14,46.86,,,,31.51,14.77,,,,1.37,-1.3531,-0.7625,0.015,0.0062,379.31,2.34,153.36,155.7,223.6
2020-04-07,AP,51,2,167,19,854188,16,8.3,423,169,254,21.0,174.29,73.57,,,,38.89,18.94,,,,4.09,-1.4754,,0.0118,0.0047,495.21,2.34,195.51,197.85,297.36
2020-04-08,AP,107,2,346,20,854188,16,8.3,888,348,540,23.43,194.43,89.0,0.571,89.57,104.86,25.83,15.06,,,,-1.6514,-2.7783,-0.6725,0.0057,0.0023,1039.58,2.34,405.06,407.4,632.18
2020-04-09,AP,110,2,362,21,854188,16,8.3,913,364,549,29.29,243.0,114.43,0.571,115.0,128.0,37.71,21.49,,,,-2.1257,-1.288,,0.0055,0.0022,1068.85,2.34,423.79,426.14,642.72
2020-04-10,AP,166,2,571,22,854188,16,8.3,1378,573,805,29.29,243.0,120.29,0.571,120.86,122.14,20.89,13.94,,,,-7.5829,-3.0651,,0.0035,0.0015,1613.23,2.34,668.47,670.81,942.42
2020-04-11,AP,193,5,709,23,854188,16,8.3,1602,714,888,36.71,304.71,154.29,0.714,155.0,149.71,20.89,13.54,0.114,13.66,7.23,-5.0686,,,0.007,0.0031,1875.47,5.85,830.03,835.88,1039.58
2020-04-12,AP,237,5,904,24,854188,16,8.3,1967,909,1058,33.57,278.71,143.29,0.714,144.0,134.71,0.971,3.43,0.114,3.54,-2.5714,-11.24,,,0.0055,0.0025,2302.77,5.85,1058.32,1064.17,1238.6
2020-04-13,AP,244,6,973,25,854188,16,8.3,2025,979,1046,36.0,298.86,156.71,1.14,157.86,141.0,0.486,1.46,0.0286,1.49,-1.0,-6.2629,,,0.0061,0.003,2370.67,7.02,1139.09,1146.12,1224.55
2020-04-14,AP,308,7,1247,26,854188,16,8.3,2556,1254,1302,29.86,247.86,131.57,1.14,132.71,115.14,-18.4857,-7.2286,0.0286,-7.2,-11.2857,-8.6343,,,0.0056,0.0027,2992.32,8.19,1459.87,1468.06,1524.25
2020-04-15,AP,342,7,1349,27,854188,16,8.3,2839,1356,1483,29.57,245.43,127.57,0.714,128.29,117.14,-10.4286,-3.0571,0.0571,-3.0,-7.4286,-2.9943,,,0.0052,0.0025,3323.62,8.19,1579.28,1587.47,1736.15
2020-04-16,AP,362,10,1459,28,854188,16,8.3,3005,1469,1536,25.57,212.29,118.14,0.857,119.0,93.29,-22.2857,-8.4,-0.0571,-8.4571,-13.8286,-0.7657,,,0.0068,0.0033,3517.96,11.71,1708.05,1719.76,1798.2
2020-04-17,AP,375,10,1492,29,854188,16,8.3,3113,1502,1611,27.29,226.57,128.0,1.0,129.0,97.57,-14.0,-2.0857,-0.0286,-2.1143,-11.8857,,,,0.0067,0.0032,3644.4,11.71,1746.69,1758.4,1886.0
2020-04-18,AP,400,10,1602,30,854188,16,8.3,3320,1612,1708,22.57,187.43,114.71,0.857,115.57,71.86,-3.3429,2.37,0.0286,2.4,-5.7429,,,,0.0062,0.003,3886.73,11.71,1875.47,1887.17,1999.56
2020-04-19,AP,416,11,1731,31,854188,16,8.3,3453,1742,1711,21.43,177.86,121.14,1.0,122.14,55.71,22.26,14.83,0.0571,14.89,7.37,,,,0.0063,0.0032,4042.44,12.88,2026.49,2039.36,2003.07
2020-04-20,AP,435,13,1869,32,854188,16,8.3,3611,1882,1729,27.57,228.71,139.43,0.857,140.29,88.43,23.23,13.34,0.0857,13.43,9.8,,,,0.0069,0.0036,4227.41,15.22,2188.04,2203.26,2024.14
2020-04-21,AP,466,13,2050,33,854188,16,8.3,3868,2063,1805,39.0,323.57,192.29,1.14,193.43,130.14,58.54,30.29,0.171,30.46,28.09,,,,0.0063,0.0034,4528.28,15.22,2399.94,2415.16,2113.12
2020-04-22,AP,492,14,2197,34,854188,16,8.3,4084,2211,1873,41.29,342.71,194.71,1.43,196.14,146.57,60.94,28.69,0.171,28.86,32.09,7.46,,,0.0063,0.0034,4781.15,16.39,2572.03,2588.42,2192.73
2020-04-23,AP,555,16,2435,35,854188,16,8.3,4606,2451,2155,57.86,480.14,266.14,1.71,267.86,212.29,61.43,28.49,0.257,28.74,32.69,6.55,,,0.0065,0.0035,5392.26,18.73,2850.66,2869.39,2522.86
2020-04-24,AP,648,18,2838,36,854188,16,8.3,5378,2856,2522,58.14,482.57,264.57,1.86,266.43,216.14,59.54,24.86,0.257,25.11,34.43,-8.48,,,0.0063,0.0033,6296.04,21.07,3322.45,3343.53,2952.51
2020-04-25,AP,689,20,2965,37,854188,16,8.3,5719,2985,2734,64.57,535.86,281.86,2.14,284.0,251.86,55.97,23.77,0.229,24.0,31.97,-7.8743,-0.392,,0.0067,0.0035,6695.25,23.41,3471.13,3494.55,3200.7
