Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-19,PI,3,0,20,1,3305959,22,36.0,108,20,88,,,,,,,,,,,,,,,0.0,32.67,0.0,6.05,6.05,26.62
2020-03-20,PI,4,0,29,2,3305959,22,36.0,144,29,115,,,,,,,,,,,,,,,0.0,43.56,0.0,8.77,8.77,34.79
2020-03-21,PI,4,0,30,3,3305959,22,36.0,144,30,114,,,,,,,,,,,,,,,0.0,43.56,0.0,9.07,9.07,34.48
2020-03-22,PI,6,0,40,4,3305959,22,36.0,216,40,176,,,,,,,,,,,,,,,0.0,65.34,0.0,12.1,12.1,53.24
2020-03-23,PI,6,0,45,5,3305959,22,36.0,216,45,171,0.857,30.86,10.43,0.0,10.43,20.43,,,,,,,,,0.0,65.34,0.0,13.61,13.61,51.72
2020-03-24,PI,8,0,69,6,3305959,22,36.0,288,69,219,0.857,30.86,11.57,0.143,11.71,19.14,,,,,,,,,0.0,87.12,0.0,20.87,20.87,66.24
2020-03-25,PI,8,0,78,7,3305959,22,36.0,288,78,210,1.0,36.0,14.0,0.143,14.14,21.86,,,,,,,,,0.0,87.12,0.0,23.59,23.59,63.52
2020-03-26,PI,9,0,93,8,3305959,22,36.0,324,93,231,,,,,,,,,,,,,,,0.0,98.0,0.0,28.13,28.13,69.87
2020-03-27,PI,10,1,110,9,3305959,22,36.0,360,111,249,,,,,,,,,,,,,,,0.009,108.89,0.302,33.27,33.58,75.32
2020-03-28,PI,11,1,128,10,3305959,22,36.0,396,129,267,,,,,,,,,,,,,,,0.0078,119.78,0.302,38.72,39.02,80.76
2020-03-30,PI,18,4,247,11,3305959,22,36.0,648,251,397,,,,,,,,,,,,,,,0.0159,196.01,1.21,74.71,75.92,120.09
2020-03-31,PI,18,4,226,12,3305959,22,36.0,648,230,418,,,,,,,,,,,,,,,0.0174,196.01,1.21,68.36,69.57,126.44
2020-04-01,PI,19,4,233,13,3305959,22,36.0,684,237,447,,,,,,,,,,,,,,,0.0169,206.9,1.21,70.48,71.69,135.21
2020-04-02,PI,19,4,232,14,3305959,22,36.0,684,236,448,,,,,,,,,,,,,,,0.0169,206.9,1.21,70.18,71.39,135.51
2020-04-03,PI,22,4,280,15,3305959,22,36.0,792,284,508,1.14,41.14,18.71,0.0,18.71,22.43,,,,,,,,,0.0141,239.57,1.21,84.7,85.91,153.66
2020-04-04,PI,24,4,310,16,3305959,22,36.0,864,314,550,1.86,66.86,30.86,0.143,31.0,35.86,,,,,,,,,0.0127,261.35,1.21,93.77,94.98,166.37
2020-04-05,PI,24,4,335,17,3305959,22,36.0,864,339,525,2.71,97.71,42.86,0.286,43.14,54.57,,,,,,,,,0.0118,261.35,1.21,101.33,102.54,158.8
2020-04-06,PI,26,4,378,18,3305959,22,36.0,936,382,554,3.0,108.0,48.43,0.429,48.86,59.14,12.34,7.43,0.0857,7.51,4.83,,,,0.0105,283.13,1.21,114.34,115.55,167.58
2020-04-07,PI,31,5,442,19,3305959,22,36.0,1116,447,669,2.71,97.71,47.43,0.429,47.86,49.86,14.4,8.34,0.0571,8.4,6.0,,,,0.0112,337.57,1.51,133.7,135.21,202.36
2020-04-08,PI,38,6,533,20,3305959,22,36.0,1368,539,829,2.86,102.86,55.86,0.429,56.29,46.57,13.37,9.29,0.0571,9.34,4.03,,,,0.0111,413.8,1.81,161.22,163.04,250.76
2020-04-09,PI,40,7,571,21,3305959,22,36.0,1440,578,862,3.86,138.86,72.57,0.429,73.0,65.86,23.66,15.31,0.0,15.31,8.34,6.17,,,0.0121,435.58,2.12,172.72,174.84,260.74
