Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-19,PI,3,0,4,1,3273227,3314295,22,6.8,20,4,16,,,,,,,,,,,,,,,0.0,6.03,0.0,1.21,1.21,4.83
2020-03-20,PI,4,0,5,2,3273227,3314295,22,6.8,27,5,22,,,,,,,,,,,,,,,0.0,8.15,0.0,1.51,1.51,6.64
2020-03-21,PI,4,0,6,3,3273227,3314295,22,6.8,27,6,21,,,,,,,,,,,,,,,0.0,8.15,0.0,1.81,1.81,6.34
2020-03-22,PI,6,0,8,4,3273227,3314295,22,6.8,41,8,33,,,,,,,,,,,,,,,0.0,12.37,0.0,2.41,2.41,9.96
2020-03-23,PI,6,0,9,5,3273227,3314295,22,6.8,41,9,32,0.857,5.86,1.86,0.0,1.86,4.0,,,,,,,,,0.0,12.37,0.0,2.72,2.72,9.66
2020-03-24,PI,8,0,13,6,3273227,3314295,22,6.8,54,13,41,0.857,5.86,2.29,0.143,2.43,3.43,,,,,,,,,0.0,16.29,0.0,3.92,3.92,12.37
2020-03-25,PI,8,0,15,7,3273227,3314295,22,6.8,54,15,39,1.0,6.86,2.57,0.143,2.71,4.14,,,,,,,,,0.0,16.29,0.0,4.53,4.53,11.77
2020-03-26,PI,9,0,17,8,3273227,3314295,22,6.8,61,17,44,,,,,,,,,,,,,,,0.0,18.41,0.0,5.13,5.13,13.28
2020-03-27,PI,10,1,21,9,3273227,3314295,22,6.8,68,22,46,,,,,,,,,,,,,,,0.0455,20.52,0.302,6.34,6.64,13.88
2020-03-28,PI,11,1,24,10,3273227,3314295,22,6.8,75,25,50,,,,,,,,,,,,,,,0.04,22.63,0.302,7.24,7.54,15.09
2020-03-30,PI,18,4,46,11,3273227,3314295,22,6.8,122,50,72,,,,,,,,,,,,,,,0.08,36.81,1.21,13.88,15.09,21.72
2020-03-31,PI,18,4,42,12,3273227,3314295,22,6.8,122,46,76,,,,,,,,,,,,,,,0.087,36.81,1.21,12.67,13.88,22.93
