Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-10,RS,1,0,2,1,11377239,11537203,43,6.8,7,2,5,,,,,,,,,,,,,,,0.0,0.607,0.0,0.173,0.173,0.433
2020-03-11,RS,2,0,3,2,11377239,11537203,43,6.8,14,3,11,,,,,,,,,,,,,,,0.0,1.21,0.0,0.26,0.26,0.953
2020-03-12,RS,4,0,6,3,11377239,11537203,43,6.8,27,6,21,,,,,,,,,,,,,,,0.0,2.34,0.0,0.52,0.52,1.82
2020-03-13,RS,4,0,3,4,11377239,11537203,43,6.8,27,3,24,,,,,,,,,,,,,,,0.0,2.34,0.0,0.26,0.26,2.08
2020-03-16,RS,8,0,14,5,11377239,11537203,43,6.8,54,14,40,,,,,,,,,,,,,,,0.0,4.68,0.0,1.21,1.21,3.47
2020-03-18,RS,19,0,30,6,11377239,11537203,43,6.8,129,30,99,,,,,,,,,,,,,,,0.0,11.18,0.0,2.6,2.6,8.58
2020-03-19,RS,31,0,38,7,11377239,11537203,43,6.8,211,38,173,,,,,,,,,,,,,,,0.0,18.29,0.0,3.29,3.29,14.99
2020-03-20,RS,43,0,58,8,11377239,11537203,43,6.8,292,58,234,,,,,,,,,,,,,,,0.0,25.31,0.0,5.03,5.03,20.28
2020-03-21,RS,69,0,99,9,11377239,11537203,43,6.8,469,99,370,,,,,,,,,,,,,,,0.0,40.65,0.0,8.58,8.58,32.07
2020-03-22,RS,77,0,97,10,11377239,11537203,43,6.8,524,97,427,20.43,139.0,38.14,0.143,38.29,100.71,,,,,,,,,0.0,45.42,0.0,8.41,8.41,37.01
2020-03-23,RS,96,0,135,11,11377239,11537203,43,6.8,653,135,518,22.71,154.43,47.43,0.143,47.57,106.86,,,,,,,,,0.0,56.6,0.0,11.7,11.7,44.9
2020-03-24,RS,112,0,182,12,11377239,11537203,43,6.8,762,182,580,22.0,149.71,50.29,0.286,50.57,99.14,,,,,,,,,0.0,66.05,0.0,15.78,15.78,50.27
2020-03-25,RS,162,1,297,13,11377239,11537203,43,6.8,1102,298,804,18.71,127.29,48.43,0.286,48.71,78.57,2.89,7.26,0.0857,7.34,-4.4571,,,,0.0034,95.52,0.0867,25.74,25.83,69.69
2020-03-26,RS,190,1,370,14,11377239,11537203,43,6.8,1292,371,921,21.86,148.57,64.43,0.286,64.71,83.86,6.6,5.91,0.0857,6.0,0.6,,,,0.0027,111.99,0.0867,32.07,32.16,79.83
2020-03-27,RS,197,2,410,15,11377239,11537203,43,6.8,1340,412,928,22.57,153.43,74.43,0.571,75.0,78.43,-0.0286,2.29,0.0571,2.34,-2.3714,,,,0.0049,116.15,0.173,35.54,35.71,80.44
2020-03-28,RS,200,2,438,16,11377239,11537203,43,6.8,1360,440,920,27.57,187.43,77.0,0.571,77.57,109.86,12.63,5.06,0.0571,5.11,7.51,1.75,,,0.0045,117.88,0.173,37.96,38.14,79.74
2020-03-29,RS,230,2,548,17,11377239,11537203,43,6.8,1564,550,1014,22.0,149.57,61.71,0.571,62.29,87.29,11.66,3.46,0.0571,3.51,8.14,0.429,,,0.0036,135.56,0.173,47.5,47.67,87.89
2020-03-30,RS,254,4,656,18,11377239,11537203,43,6.8,1727,660,1067,28.0,190.43,73.71,0.571,74.29,116.14,11.66,1.63,0.0286,1.66,10.0,3.62,,,0.0061,149.69,0.347,56.86,57.21,92.48
2020-03-31,RS,305,4,721,19,11377239,11537203,43,6.8,2074,725,1349,30.43,206.86,81.71,0.571,82.29,124.57,8.74,4.06,0.0286,4.09,4.66,-0.4286,-0.568,,0.0055,179.77,0.347,62.49,62.84,116.93
2020-04-01,RS,316,5,729,20,11377239,11537203,43,6.8,2149,734,1415,31.14,211.71,82.57,0.714,83.29,128.43,18.09,8.14,0.0,8.14,9.94,-0.3086,-0.4971,,0.0068,186.27,0.433,63.19,63.62,122.65
2020-04-02,RS,386,5,886,21,11377239,11537203,43,6.8,2625,891,1734,34.0,231.14,97.29,0.714,98.0,133.14,10.49,7.2,0.0,7.2,3.29,-1.0857,-1.5417,,0.0056,227.52,0.433,76.8,77.23,150.3
2020-04-03,RS,410,6,982,22,11377239,11537203,43,6.8,2788,988,1800,35.29,240.0,102.43,0.571,103.0,137.0,10.11,6.66,0.0286,6.69,3.43,-2.0571,-0.7531,-0.0249,0.0061,241.65,0.52,85.12,85.64,156.02
