Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-08,AL,1,0,1,1,3337357,3385058,27,6.8,7,1,6,,,,,,,,,,,,,,,0.0,2.07,0.0,0.295,0.295,1.77
2020-03-09,AL,1,0,1,2,3337357,3385058,27,6.8,7,1,6,,,,,,,,,,,,,,,0.0,2.07,0.0,0.295,0.295,1.77
2020-03-10,AL,1,0,2,3,3337357,3385058,27,6.8,7,2,5,,,,,,,,,,,,,,,0.0,2.07,0.0,0.591,0.591,1.48
2020-03-12,AL,1,0,2,4,3337357,3385058,27,6.8,7,2,5,,,,,,,,,,,,,,,0.0,2.07,0.0,0.591,0.591,1.48
2020-03-13,AL,1,0,1,5,3337357,3385058,27,6.8,7,1,6,,,,,,,,,,,,,,,0.0,2.07,0.0,0.295,0.295,1.77
2020-03-16,AL,1,0,2,6,3337357,3385058,27,6.8,7,2,5,,,,,,,,,,,,,,,0.0,2.07,0.0,0.591,0.591,1.48
2020-03-17,AL,1,0,1,7,3337357,3385058,27,6.8,7,1,6,,,,,,,,,,,,,,,0.0,2.07,0.0,0.295,0.295,1.77
2020-03-18,AL,1,0,2,8,3337357,3385058,27,6.8,7,2,5,,,,,,,,,,,,,,,0.0,2.07,0.0,0.591,0.591,1.48
2020-03-19,AL,4,0,5,9,3337357,3385058,27,6.8,27,5,22,,,,,,,,,,,,,,,0.0,7.98,0.0,1.48,1.48,6.5
2020-03-20,AL,6,0,8,10,3337357,3385058,27,6.8,41,8,33,1.0,6.71,1.29,0.0,1.29,5.43,,,,,,,,,0.0,12.11,0.0,2.36,2.36,9.75
2020-03-21,AL,7,0,10,11,3337357,3385058,27,6.8,48,10,38,1.29,8.71,2.14,0.0,2.14,6.57,,,,,,,,,0.0,14.18,0.0,2.95,2.95,11.23
2020-03-22,AL,7,0,9,12,3337357,3385058,27,6.8,48,9,39,1.43,9.71,2.57,0.0,2.57,7.14,,,,,,,,,0.0,14.18,0.0,2.66,2.66,11.52
