Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-13,AM,2,0,4,1,4186043,13,19.4,39,4,35,,,,,,,,,,,,,,,0.0,0.0,9.32,0.0,0.956,0.956,8.36
2020-03-18,AM,2,0,9,2,4186043,13,19.4,39,9,30,,,,,,,,,,,,,,,0.0,0.0,9.32,0.0,2.15,2.15,7.17
2020-03-19,AM,3,0,10,3,4186043,13,19.4,58,10,48,,,,,,,,,,,,,,,0.0,0.0,13.86,0.0,2.39,2.39,11.47
2020-03-20,AM,7,0,27,4,4186043,13,19.4,136,27,109,,,,,,,,,,,,,,,0.0,0.0,32.49,0.0,6.45,6.45,26.04
2020-03-21,AM,11,0,45,5,4186043,13,19.4,213,45,168,,,,,,,,,,,,,,,0.0,0.0,50.88,0.0,10.75,10.75,40.13
2020-03-22,AM,26,0,94,6,4186043,13,19.4,504,94,410,7.43,144.14,39.14,,,,,,,,,,,,0.0,0.0,120.4,0.0,22.46,22.46,97.94
2020-03-23,AM,32,0,129,7,4186043,13,19.4,621,129,492,9.14,177.43,51.86,,,,,,,,,,,,0.0,0.0,148.35,0.0,30.82,30.82,117.53
2020-03-24,AM,47,1,218,8,4186043,13,19.4,912,219,693,10.57,205.0,65.0,,,,,,,,,,,,0.0046,0.0011,217.87,0.239,52.08,52.32,165.55
2020-03-25,AM,54,1,283,9,4186043,13,19.4,1048,284,764,14.29,277.14,92.86,,,,37.11,20.34,,,,,,,0.0035,0.001,250.36,0.239,67.61,67.84,182.51
2020-03-26,AM,67,1,373,10,4186043,13,19.4,1300,374,926,16.29,316.0,123.0,,,,35.46,17.23,,,,,,,0.0027,0.0008,310.56,0.239,89.11,89.34,221.21
2020-03-27,AM,81,1,482,11,4186043,13,19.4,1571,483,1088,17.0,329.71,140.86,,,,39.91,16.63,,,,,,,0.0021,0.0006,375.29,0.239,115.14,115.38,259.91
2020-03-28,AM,111,1,695,12,4186043,13,19.4,2153,696,1457,18.29,354.71,138.0,0.286,138.29,216.43,34.37,13.74,,,,1.56,,,0.0014,0.0005,514.33,0.239,166.03,166.27,348.06
2020-03-29,AM,140,1,955,13,4186043,13,19.4,2716,956,1760,20.86,404.57,148.14,0.286,148.43,256.14,36.03,12.51,,,,9.43,,,0.001,0.0004,648.82,0.239,228.14,228.38,420.44
