Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,PE,2,0,4,1,9652642,26,8.3,17,4,13,,,,,,,,,,,,,,,0.0,1.76,0.0,0.414,0.414,1.35
2020-03-13,PE,2,0,2,2,9652642,26,8.3,17,2,15,,,,,,,,,,,,,,,0.0,1.76,0.0,0.207,0.207,1.55
2020-03-14,PE,7,0,11,3,9652642,26,8.3,58,11,47,,,,,,,,,,,,,,,0.0,6.01,0.0,1.14,1.14,4.87
2020-03-15,PE,8,0,16,4,9652642,26,8.3,66,16,50,,,,,,,,,,,,,,,0.0,6.84,0.0,1.66,1.66,5.18
2020-03-16,PE,8,0,16,5,9652642,26,8.3,66,16,50,3.71,30.71,5.43,0.0,5.43,25.29,,,,,,,,,0.0,6.84,0.0,1.66,1.66,5.18
2020-03-17,PE,18,0,29,6,9652642,26,8.3,149,29,120,4.14,34.29,7.0,0.0,7.0,27.29,,,,,,,,,0.0,15.44,0.0,3.0,3.0,12.43
2020-03-18,PE,19,0,37,7,9652642,26,8.3,158,37,121,3.71,30.86,6.71,0.0,6.71,24.14,,,,,,,,,0.0,16.37,0.0,3.83,3.83,12.54
2020-03-19,PE,28,0,42,8,9652642,26,8.3,232,42,190,4.14,34.43,5.86,0.0,5.86,28.57,-0.4286,0.457,0.0,0.457,-0.8857,,,,0.0,24.03,0.0,4.35,4.35,19.68
2020-03-20,PE,31,0,51,9,9652642,26,8.3,257,51,206,4.86,40.43,8.14,0.0,8.14,32.29,-0.4571,0.486,0.0286,0.514,-0.9714,,,,0.0,26.62,0.0,5.28,5.28,21.34
2020-03-21,PE,33,0,58,10,9652642,26,8.3,274,58,216,3.43,28.57,7.71,0.0,7.71,20.86,-1.4286,0.714,0.0857,0.8,-2.2286,,,,0.0,28.39,0.0,6.01,6.01,22.38
2020-03-22,PE,37,0,57,11,9652642,26,8.3,307,57,250,3.86,32.0,9.43,0.143,9.57,22.43,-0.7143,1.51,0.114,1.63,-2.3429,0.651,,,0.0,31.8,0.0,5.91,5.91,25.9
2020-03-23,PE,42,0,73,12,9652642,26,8.3,349,73,276,2.86,23.71,10.29,0.429,10.71,13.0,0.2,1.91,0.143,2.06,-1.8571,0.469,,,0.0,36.16,0.0,7.56,7.56,28.59
2020-03-24,PE,42,0,83,13,9652642,26,8.3,349,83,266,3.71,30.86,13.43,0.571,14.0,16.86,2.83,2.91,0.143,3.06,-0.2286,1.47,,,0.0,36.16,0.0,8.6,8.6,27.56
2020-03-25,PE,46,1,103,14,9652642,26,8.3,382,104,278,5.0,41.43,17.71,0.714,18.43,23.0,1.89,2.97,0.143,3.11,-1.2286,1.23,0.165,,0.0096,39.57,0.104,10.67,10.77,28.8
2020-03-26,PE,48,3,114,15,9652642,26,8.3,398,117,281,5.14,42.71,22.29,0.714,23.0,19.71,5.91,2.77,0.0857,2.86,3.06,1.06,0.525,,0.0256,41.23,0.311,11.81,12.12,29.11
2020-03-27,PE,57,4,145,16,9652642,26,8.3,473,149,324,5.0,41.43,24.29,0.857,25.14,16.29,5.46,2.03,0.0857,2.11,3.34,1.47,0.257,,0.0268,49.0,0.414,15.02,15.44,33.57
