Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-05,RJ,1,0,2,1,17264943,17539851,33,6.8,7,2,5,,,,,,,,,,,,,,,0.0,0.399,0.0,0.114,0.114,0.285
2020-03-06,RJ,2,0,1,2,17264943,17539851,33,6.8,14,1,13,,,,,,,,,,,,,,,0.0,0.798,0.0,0.057,0.057,0.741
2020-03-08,RJ,3,0,3,3,17264943,17539851,33,6.8,20,3,17,,,,,,,,,,,,,,,0.0,1.14,0.0,0.171,0.171,0.969
2020-03-12,RJ,15,0,23,4,17264943,17539851,33,6.8,102,23,79,,,,,,,,,,,,,,,0.0,5.82,0.0,1.31,1.31,4.5
2020-03-15,RJ,24,0,39,5,17264943,17539851,33,6.8,163,39,124,,,,,,,,,,,,,,,0.0,9.29,0.0,2.22,2.22,7.07
2020-03-16,RJ,25,0,42,6,17264943,17539851,33,6.8,170,42,128,,,,,,,,,,,,,,,0.0,9.69,0.0,2.39,2.39,7.3
2020-03-18,RJ,63,0,100,7,17264943,17539851,33,6.8,428,100,328,,,,,,,,,,,,,,,0.0,24.4,0.0,5.7,5.7,18.7
2020-03-19,RJ,66,2,81,8,17264943,17539851,33,6.8,449,83,366,,,,,,,,,,,,,,,0.0241,25.6,0.114,4.62,4.73,20.87
2020-03-21,RJ,119,3,170,9,17264943,17539851,33,6.8,809,173,636,,,,,,,,,,,,,,,0.0173,46.12,0.171,9.69,9.86,36.26
2020-03-22,RJ,186,3,234,10,17264943,17539851,33,6.8,1265,237,1028,,,,,,,,,,,,,,,0.0127,72.12,0.171,13.34,13.51,58.61
2020-03-23,RJ,233,4,329,11,17264943,17539851,33,6.8,1584,333,1251,,,,,,,,,,,,,,,0.012,90.31,0.228,18.76,18.99,71.32
2020-03-24,RJ,305,6,494,12,17264943,17539851,33,6.8,2074,500,1574,,,,,,,,,,,,,,,0.012,118.25,0.342,28.16,28.51,89.74
2020-03-25,RJ,370,8,678,13,17264943,17539851,33,6.8,2516,686,1830,62.71,426.43,150.14,1.43,151.57,274.86,,,,,,,,,0.0117,143.44,0.456,38.65,39.11,104.33
2020-03-26,RJ,421,9,820,14,17264943,17539851,33,6.8,2863,829,2034,59.14,402.14,170.86,2.0,172.86,229.29,,,,,,,,,0.0109,163.23,0.513,46.75,47.26,115.96
2020-03-27,RJ,493,10,1025,15,17264943,17539851,33,6.8,3352,1035,2317,60.57,412.0,195.29,2.0,197.29,214.71,,,,,,,,,0.0097,191.11,0.57,58.44,59.01,132.1
2020-03-28,RJ,558,13,1221,16,17264943,17539851,33,6.8,3794,1234,2560,57.57,391.43,168.57,2.43,171.0,220.43,25.66,11.57,0.629,12.2,13.46,,,,0.0105,216.31,0.741,69.61,70.35,145.95
