Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-05,ES,1,0,2,1,4018650,4104693,32,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1.71,0.0,0.487,0.487,1.22
2020-03-06,ES,1,0,1,2,4018650,4104693,32,6.8,7,1,6,,,,,,,,,,,,,,,0.0,1.71,0.0,0.244,0.244,1.46
2020-03-07,ES,1,0,1,3,4018650,4104693,32,6.8,7,1,6,,,,,,,,,,,,,,,0.0,1.71,0.0,0.244,0.244,1.46
2020-03-08,ES,1,0,1,4,4018650,4104693,32,6.8,7,1,6,,,,,,,,,,,,,,,0.0,1.71,0.0,0.244,0.244,1.46
2020-03-09,ES,1,0,1,5,4018650,4104693,32,6.8,7,1,6,0.143,1.0,0.143,0.0,0.143,0.857,,,,,,,,,0.0,1.71,0.0,0.244,0.244,1.46
2020-03-10,ES,1,0,2,6,4018650,4104693,32,6.8,7,2,5,0.143,1.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.71,0.0,0.487,0.487,1.22
2020-03-11,ES,1,0,2,7,4018650,4104693,32,6.8,7,2,5,0.429,2.86,0.571,0.0,0.571,2.29,,,,,,,,,0.0,1.71,0.0,0.487,0.487,1.22
2020-03-12,ES,2,0,3,8,4018650,4104693,32,6.8,14,3,11,0.429,2.86,0.714,0.0,0.714,2.14,1.14,0.229,0.0,0.229,0.914,,,,0.0,3.41,0.0,0.731,0.731,2.68
2020-03-13,ES,2,0,1,9,4018650,4104693,32,6.8,14,1,13,1.0,6.71,1.86,0.0,1.86,4.86,1.74,0.429,0.0,0.429,1.31,,,,0.0,3.41,0.0,0.244,0.244,3.17
2020-03-14,ES,4,0,5,10,4018650,4104693,32,6.8,27,5,22,1.0,6.71,1.29,0.0,1.29,5.43,1.54,0.257,0.0,0.257,1.29,,,,0.0,6.58,0.0,1.22,1.22,5.36
2020-03-15,ES,4,0,6,11,4018650,4104693,32,6.8,27,6,21,1.43,9.71,2.14,0.0,2.14,7.57,2.14,0.457,0.0,0.457,1.69,0.36,,,0.0,6.58,0.0,1.46,1.46,5.12
2020-03-16,ES,8,0,14,12,4018650,4104693,32,6.8,54,14,40,1.57,10.57,1.86,0.0,1.86,8.71,2.94,0.543,0.0,0.543,2.4,0.234,,,0.0,13.16,0.0,3.41,3.41,9.74
2020-03-17,ES,8,0,11,13,4018650,4104693,32,6.8,54,11,43,2.0,13.57,3.0,0.0,3.0,10.57,2.94,0.514,0.0,0.514,2.43,0.514,,,0.0,13.16,0.0,2.68,2.68,10.48
2020-03-18,ES,11,0,17,14,4018650,4104693,32,6.8,75,17,58,3.14,21.43,4.57,0.0,4.57,16.86,2.91,0.486,0.0,0.486,2.43,0.154,-0.0663,,0.0,18.27,0.0,4.14,4.14,14.13
2020-03-19,ES,13,0,16,15,4018650,4104693,32,6.8,88,16,72,3.14,21.43,3.86,0.0,3.86,17.57,4.11,1.17,0.0,1.17,2.94,-0.0857,-0.0857,,0.0,21.44,0.0,3.9,3.9,17.54
2020-03-20,ES,16,0,22,16,4018650,4104693,32,6.8,109,22,87,3.57,24.29,4.57,0.0,4.57,19.71,2.91,1.0,0.0,1.0,1.91,0.0286,-0.1589,,0.0,26.55,0.0,5.36,5.36,21.2
2020-03-21,ES,26,0,37,17,4018650,4104693,32,6.8,177,37,140,4.57,31.14,7.71,0.0,7.71,23.43,2.51,1.29,0.0,1.29,1.23,-0.1943,0.032,0.0528,0.0,43.12,0.0,9.01,9.01,34.11
2020-03-22,ES,26,0,33,18,4018650,4104693,32,6.8,177,33,144,4.14,28.14,8.0,0.0,8.0,20.14,3.09,1.8,0.0,1.8,1.29,-0.28,0.088,0.0965,0.0,43.12,0.0,8.04,8.04,35.08
2020-03-23,ES,33,0,46,19,4018650,4104693,32,6.8,224,46,178,5.0,34.0,11.0,0.0,11.0,23.0,1.94,1.86,0.0,1.86,0.0857,0.314,0.198,0.104,0.0,54.57,0.0,11.21,11.21,43.36
