Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-18,TO,1,0,2,1,1572866,1606150,17,6.8,7,2,5,,,,,,,,,,,,,,,0.0,4.36,0.0,1.25,1.25,3.11
2020-03-19,TO,1,0,1,2,1572866,1606150,17,6.8,7,1,6,,,,,,,,,,,,,,,0.0,4.36,0.0,0.623,0.623,3.74
2020-03-20,TO,1,0,1,3,1572866,1606150,17,6.8,7,1,6,,,,,,,,,,,,,,,0.0,4.36,0.0,0.623,0.623,3.74
2020-03-21,TO,2,0,3,4,1572866,1606150,17,6.8,14,3,11,,,,,,,,,,,,,,,0.0,8.72,0.0,1.87,1.87,6.85
2020-03-22,TO,5,0,6,5,1572866,1606150,17,6.8,34,6,28,0.857,5.86,1.57,0.0,1.57,4.29,,,,,,,,,0.0,21.17,0.0,3.74,3.74,17.43
2020-03-23,TO,7,0,10,6,1572866,1606150,17,6.8,48,10,38,1.0,6.71,2.0,0.0,2.0,4.71,,,,,,,,,0.0,29.89,0.0,6.23,6.23,23.66
2020-03-24,TO,7,0,11,7,1572866,1606150,17,6.8,48,11,37,1.14,7.71,2.57,0.0,2.57,5.14,,,,,,,,,0.0,29.89,0.0,6.85,6.85,23.04
2020-03-25,TO,7,0,13,8,1572866,1606150,17,6.8,48,13,35,1.0,6.71,2.43,0.0,2.43,4.29,-0.4,0.2,0.0,0.2,-0.6,,,,0.0,29.89,0.0,8.09,8.09,21.79
2020-03-26,TO,8,0,15,9,1572866,1606150,17,6.8,54,15,39,0.714,4.86,2.57,0.0,2.57,2.29,-0.3714,0.114,0.0,0.114,-0.4857,,,,0.0,33.62,0.0,9.34,9.34,24.28
2020-03-27,TO,9,0,19,10,1572866,1606150,17,6.8,61,19,42,0.571,3.86,2.57,0.0,2.57,1.29,-0.5714,-0.0857,0.0,-0.0857,-0.4857,,,,0.0,37.98,0.0,11.83,11.83,26.15
2020-03-28,TO,9,0,20,11,1572866,1606150,17,6.8,61,20,41,0.714,4.86,2.57,0.0,2.57,2.29,-0.5429,-0.1143,0.0,-0.1143,-0.4286,0.2,,,0.0,37.98,0.0,12.45,12.45,25.53
2020-03-29,TO,10,0,24,12,1572866,1606150,17,6.8,68,24,44,0.714,4.86,2.14,0.0,2.14,2.71,-0.2,-0.1714,0.0,-0.1714,-0.0286,0.154,,,0.0,42.34,0.0,14.94,14.94,27.39
2020-03-30,TO,11,0,28,13,1572866,1606150,17,6.8,75,28,47,0.571,4.0,1.86,0.0,1.86,2.14,0.6,0.0286,0.0,0.0286,0.571,0.229,,,0.0,46.7,0.0,17.43,17.43,29.26
2020-03-31,TO,12,0,29,14,1572866,1606150,17,6.8,82,29,53,0.571,3.86,1.71,0.0,1.71,2.14,0.4,0.0857,0.0,0.0857,0.314,0.217,-0.0343,,0.0,51.05,0.0,18.06,18.06,33.0
2020-04-01,TO,12,0,28,15,1572866,1606150,17,6.8,82,28,54,1.0,6.86,2.71,0.0,2.71,4.14,0.571,0.257,0.0,0.257,0.314,0.309,-0.024,,0.0,51.05,0.0,17.43,17.43,33.62
2020-04-02,TO,12,0,28,16,1572866,1606150,17,6.8,82,28,54,1.0,6.86,3.0,0.0,3.0,3.86,0.543,0.257,0.0,0.257,0.286,0.0286,-0.0606,,0.0,51.05,0.0,17.43,17.43,33.62
2020-04-03,TO,13,0,31,17,1572866,1606150,17,6.8,88,31,57,1.14,7.71,3.43,0.0,3.43,4.29,1.34,0.6,0.0,0.6,0.743,0.0343,-0.0491,-0.0046,0.0,54.79,0.0,19.3,19.3,35.49
2020-04-04,TO,16,0,39,18,1572866,1606150,17,6.8,109,39,70,1.0,6.71,3.14,0.0,3.14,3.57,0.743,0.429,0.0,0.429,0.314,-0.0743,-0.1451,-0.0073,0.0,67.86,0.0,24.28,24.28,43.58
2020-04-05,TO,17,0,45,19,1572866,1606150,17,6.8,116,45,71,1.57,10.57,4.71,0.0,4.71,5.86,0.571,0.343,0.0,0.343,0.229,-0.0286,-0.0571,0.0121,0.0,72.22,0.0,28.02,28.02,44.21
2020-04-06,TO,19,0,52,20,1572866,1606150,17,6.8,129,52,77,1.57,10.57,4.86,0.0,4.86,5.71,0.2,0.343,0.0,0.343,-0.1429,-0.4171,-0.0606,0.008,0.0,80.32,0.0,32.38,32.38,47.94
2020-04-07,TO,19,0,51,21,1572866,1606150,17,6.8,129,51,78,1.43,9.71,4.71,0.0,4.71,5.0,0.4,0.4,0.0,0.4,-0.0,-0.2571,0.0,0.053,0.0,80.32,0.0,31.75,31.75,48.56
2020-04-08,TO,23,0,61,22,1572866,1606150,17,6.8,156,61,95,1.29,8.71,5.14,0.0,5.14,3.57,-0.7429,0.0,0.0,0.0,-0.7429,-0.2686,-0.0091,0.0258,0.0,97.13,0.0,37.98,37.98,59.15
2020-04-09,TO,23,0,62,23,1572866,1606150,17,6.8,156,62,94,1.29,8.71,5.14,0.0,5.14,3.57,-0.5429,0.114,0.0,0.114,-0.6571,-0.0743,0.12,0.0336,0.0,97.13,0.0,38.6,38.6,58.53
2020-04-10,TO,23,0,64,24,1572866,1606150,17,6.8,156,64,92,1.0,6.86,4.71,0.0,4.71,2.14,-0.7714,-0.0286,0.0286,-0.0,-0.7714,-0.0743,0.072,0.0057,0.0,97.13,0.0,39.85,39.85,57.28
2020-04-11,TO,25,0,75,25,1572866,1606150,17,6.8,170,75,95,1.14,7.86,5.43,0.0,5.43,2.43,-0.1714,0.114,0.0286,0.143,-0.3143,0.183,0.107,0.003,0.0,105.84,0.0,46.7,46.7,59.15
2020-04-12,TO,26,0,81,26,1572866,1606150,17,6.8,177,81,96,0.857,5.86,4.57,0.143,4.71,1.14,0.0286,0.114,0.0286,0.143,-0.1143,0.103,0.0286,-0.0265,0.0,110.2,0.0,50.43,50.43,59.77
2020-04-13,TO,26,0,85,27,1572866,1606150,17,6.8,177,85,92,1.14,7.86,5.71,0.143,5.86,2.0,0.171,0.0,0.0286,0.0286,0.143,0.269,0.0057,-0.0027,0.0,110.2,0.0,52.92,52.92,57.28
2020-04-14,TO,27,0,89,28,1572866,1606150,17,6.8,184,89,95,1.29,8.86,5.71,0.143,5.86,3.0,-0.0286,-0.1143,0.0286,-0.0857,0.0571,0.0686,-0.0126,-0.0119,0.0,114.56,0.0,55.41,55.41,59.15
2020-04-15,TO,29,1,93,29,1572866,1606150,17,6.8,197,94,103,1.14,7.71,4.71,0.143,4.86,2.86,0.571,0.171,0.0286,0.2,0.371,-0.0457,0.0583,0.0277,0.0106,122.65,0.623,57.9,58.53,64.13
2020-04-16,TO,31,1,102,30,1572866,1606150,17,6.8,211,103,108,1.14,7.71,4.86,0.143,5.0,2.71,0.171,0.0,0.0286,0.0286,0.143,0.12,0.048,0.0581,0.0097,131.37,0.623,63.51,64.13,67.24
2020-04-17,TO,32,1,104,31,1572866,1606150,17,6.8,218,105,113,1.29,8.71,5.43,0.286,5.71,3.0,-0.2,0.0571,0.0,0.0571,-0.2571,0.394,0.167,0.0974,0.0095,135.73,0.623,64.75,65.37,70.35
2020-04-18,TO,33,1,108,32,1572866,1606150,17,6.8,224,109,115,1.29,8.71,5.71,0.286,6.0,2.71,0.771,0.543,0.0,0.543,0.229,0.509,0.296,0.0846,0.0092,139.46,0.623,67.24,67.86,71.6
2020-04-19,TO,34,1,115,33,1572866,1606150,17,6.8,231,116,115,1.14,7.86,6.0,0.143,6.14,1.71,1.94,1.17,0.0,1.17,0.771,0.903,0.474,0.0944,0.0086,143.82,0.623,71.6,72.22,71.6
2020-04-20,TO,35,2,123,34,1572866,1606150,17,6.8,238,125,113,1.71,11.57,7.43,0.143,7.57,4.0,3.11,1.66,-0.0286,1.63,1.49,1.43,0.481,0.0608,0.016,148.18,1.25,76.58,77.83,70.35
2020-04-21,TO,36,2,129,35,1572866,1606150,17,6.8,245,131,114,2.57,17.43,10.71,0.143,10.86,6.57,4.69,2.43,-0.0286,2.4,2.29,2.49,0.52,0.0517,0.0153,152.54,1.25,80.32,81.56,70.98
