Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-17,AC,3,0,5,890754,12,8.3,25,5,20,,,,,,,,,,,,,,,0.0,0.0,28.07,0.0,5.61,5.61,22.45
2020-03-18,AC,3,0,6,890754,12,8.3,25,6,19,,,,,,,,,,,,,,,0.0,0.0,28.07,0.0,6.74,6.74,21.33
2020-03-19,AC,4,0,6,890754,12,8.3,33,6,27,,,,,,,,,,,,,,,0.0,0.0,37.05,0.0,6.74,6.74,30.31
2020-03-20,AC,7,0,12,890754,12,8.3,58,12,46,,,,,,,,,,,,,,,0.0,0.0,65.11,0.0,13.47,13.47,51.64
2020-03-21,AC,11,0,19,890754,12,8.3,91,19,72,2.57,21.29,5.29,,,,,,,,,,,,0.0,0.0,102.16,0.0,21.33,21.33,80.83
2020-03-22,AC,11,0,17,890754,12,8.3,91,17,74,2.86,23.71,6.57,,,,,,,,,,,,0.0,0.0,102.16,0.0,19.08,19.08,83.08
2020-03-23,AC,17,0,29,890754,12,8.3,141,29,112,2.71,22.57,7.0,,,,,,,,,,,,0.0,0.0,158.29,0.0,32.56,32.56,125.74
2020-03-24,AC,21,0,42,890754,12,8.3,174,42,132,2.57,21.43,7.43,,,,1.2,1.29,,,,,,,0.0,0.0,195.34,0.0,47.15,47.15,148.19
2020-03-25,AC,23,0,52,890754,12,8.3,191,52,139,2.0,16.71,6.86,,,,0.943,1.54,,,,,,,0.0,0.0,214.43,0.0,58.38,58.38,156.05
2020-03-26,AC,23,0,55,890754,12,8.3,191,55,136,3.29,27.29,11.71,,,,0.486,0.886,,,,,,,0.0,0.0,214.43,0.0,61.75,61.75,152.68
2020-03-27,AC,25,0,64,890754,12,8.3,208,64,144,3.43,28.43,14.29,,,,0.457,0.486,,,,-0.3371,,,0.0,0.0,233.51,0.0,71.85,71.85,161.66
2020-03-28,AC,25,0,67,890754,12,8.3,208,67,141,3.0,25.0,11.43,,,,1.89,0.686,,,,-0.3314,,,0.0,0.0,233.51,0.0,75.22,75.22,158.29
2020-03-29,AC,34,0,99,890754,12,8.3,282,99,183,2.86,23.71,9.86,,,,-0.4857,-0.3143,,,,-0.4343,,,0.0,0.0,316.59,0.0,111.14,111.14,205.44
2020-03-30,AC,41,0,129,890754,12,8.3,340,129,211,3.14,26.14,10.29,,,,-0.7143,-0.8571,,,,-0.6114,,,0.0,0.0,381.7,0.0,144.82,144.82,236.88
2020-03-31,AC,42,0,122,890754,12,8.3,349,122,227,3.0,24.86,10.14,,,,-1.6857,-0.7143,,,,-1.0457,,,0.0,0.0,391.8,0.0,136.96,136.96,254.84
2020-04-01,AC,43,0,121,890754,12,8.3,357,121,236,3.0,24.86,10.0,,,,-2.6,-0.8571,,,,,,,0.0,0.0,400.78,0.0,135.84,135.84,264.94
2020-04-02,AC,45,0,127,890754,12,8.3,374,127,247,2.0,16.57,7.86,,,,-3.3429,-0.8571,,,,,,,0.0,0.0,419.87,0.0,142.58,142.58,277.29
2020-04-03,AC,46,0,135,890754,12,8.3,382,135,247,1.29,10.71,5.57,,,,-1.4286,-0.1429,,,,,,,0.0,0.0,428.85,0.0,151.56,151.56,277.29
2020-04-04,AC,46,0,137,890754,12,8.3,382,137,245,1.14,9.43,6.0,,,,-0.9429,0.2,,,,,,,0.0,0.0,428.85,0.0,153.8,153.8,275.05
2020-04-05,AC,48,0,154,890754,12,8.3,398,154,244,2.14,17.71,9.43,,,,2.37,1.46,,,,,,,0.0,0.0,446.81,0.0,172.89,172.89,273.93
2020-04-06,AC,50,1,168,890754,12,8.3,415,169,246,2.43,20.14,11.0,,,,4.03,2.54,,,,,,,0.0059,0.0024,465.9,1.12,188.6,189.73,276.17
2020-04-07,AC,50,2,164,890754,12,8.3,415,166,249,3.43,28.43,15.14,,,,5.0,2.8,,,,,,,0.012,0.0048,465.9,2.25,184.11,186.36,279.54
2020-04-08,AC,58,2,187,890754,12,8.3,481,189,292,3.71,30.86,18.29,,,,5.94,3.57,,,,0.429,,,0.0106,0.0042,539.99,2.25,209.93,212.18,327.81
2020-04-09,AC,62,2,204,890754,12,8.3,515,206,309,4.14,34.43,20.0,,,,7.6,4.57,,,,0.474,,,0.0097,0.0039,578.16,2.25,229.02,231.26,346.9
2020-04-10,AC,70,2,241,890754,12,8.3,581,243,338,5.71,47.43,27.29,0.286,27.57,19.86,4.51,3.0,,,,0.703,,,0.0082,0.0034,652.26,2.25,270.56,272.8,379.45
2020-04-11,AC,72,2,265,890754,12,8.3,598,267,331,7.0,58.14,33.86,0.143,34.0,24.14,6.4,3.77,,,,0.234,0.142,,0.0075,0.0033,671.34,2.25,297.5,299.75,371.6
2020-04-12,AC,77,2,294,890754,12,8.3,639,296,343,6.14,51.0,30.14,0.286,30.43,20.57,8.51,4.46,,,,0.234,0.0571,,0.0068,0.0031,717.37,2.25,330.06,332.3,385.07
2020-04-13,AC,90,3,359,890754,12,8.3,747,362,385,7.57,62.86,37.14,0.429,37.57,25.29,7.11,3.23,0.0571,3.29,3.83,1.14,-0.0251,,0.0083,0.004,838.62,3.37,403.03,406.4,432.22
2020-04-14,AC,99,3,401,890754,12,8.3,822,404,418,9.29,77.0,42.29,0.429,42.71,34.29,8.77,4.2,0.0857,4.29,4.49,0.76,0.0663,-0.0987,0.0074,0.0036,922.81,3.37,450.18,453.55,469.27
2020-04-15,AC,101,4,398,890754,12,8.3,838,402,436,10.0,83.0,43.43,0.571,44.0,39.0,10.2,5.31,0.0857,5.4,4.8,0.577,-0.2743,-0.0855,0.01,0.0048,940.78,4.49,446.81,451.3,489.47
2020-04-16,AC,115,5,464,890754,12,8.3,955,469,486,12.29,102.0,54.86,0.571,55.43,46.57,10.2,5.63,0.0571,5.69,4.51,0.566,-0.352,,0.0107,0.0052,1072.13,5.61,520.91,526.52,545.61
2020-04-17,AC,135,5,537,890754,12,8.3,1120,542,578,12.29,102.0,56.71,0.714,57.43,44.57,11.4,7.49,0.0286,7.51,3.89,-1.1371,-0.3703,-0.0965,0.0092,0.0045,1257.36,5.61,602.86,608.47,648.89
2020-04-18,AC,142,6,569,890754,12,8.3,1179,575,604,13.71,113.86,65.29,0.714,66.0,47.86,9.94,6.51,0.0286,6.54,3.4,-0.6229,-0.4583,,0.0104,0.0051,1323.6,6.74,638.78,645.52,678.08
2020-04-19,AC,163,6,678,890754,12,8.3,1353,684,669,16.14,134.0,79.71,0.571,80.29,53.71,3.09,2.97,0.0571,3.03,0.0571,-1.0914,-0.416,,0.0088,0.0044,1518.94,6.74,761.15,767.89,751.05
2020-04-20,AC,176,8,756,890754,12,8.3,1461,764,697,16.0,132.71,76.0,0.714,76.71,56.0,7.09,4.11,0.0,4.11,2.97,-1.7143,,,0.0105,0.0055,1640.18,8.98,848.72,857.7,782.48
2020-04-21,AC,195,8,858,890754,12,8.3,1619,866,753,14.14,117.43,69.71,0.857,70.57,46.86,4.74,2.49,0.0,2.49,2.26,-1.5143,,,0.0092,0.0049,1817.56,8.98,963.23,972.21,845.35
2020-04-22,AC,214,8,956,890754,12,8.3,1776,964,812,16.57,137.43,77.29,0.714,78.0,59.43,2.83,0.457,0.0571,0.514,2.31,1.33,,,0.0083,0.0045,1993.82,8.98,1073.25,1082.23,911.59
2020-04-23,AC,227,10,996,890754,12,8.3,1884,1006,878,16.57,137.57,77.71,0.714,78.43,59.14,2.37,-0.0286,0.0857,0.0571,2.31,1.48,,,0.0099,0.0053,2115.06,11.23,1118.15,1129.38,985.68
2020-04-24,AC,234,11,1025,890754,12,8.3,1942,1036,906,17.86,148.14,82.0,0.857,82.86,65.29,9.71,2.69,0.114,2.8,6.91,5.55,,,0.0106,0.0057,2180.18,12.35,1150.71,1163.06,1017.12
2020-04-25,AC,258,11,1110,890754,12,8.3,2141,1121,1020,17.43,144.57,75.86,1.14,77.0,67.57,14.49,5.57,0.114,5.69,8.8,7.5,2.12,,0.0098,0.0051,2403.58,12.35,1246.14,1258.48,1145.1
2020-04-26,AC,279,11,1222,890754,12,8.3,2316,1233,1083,20.0,166.0,83.14,1.43,84.57,81.43,32.49,16.23,0.0857,16.31,16.17,11.71,2.19,,0.0089,0.0047,2600.04,12.35,1371.87,1384.22,1215.82
2020-04-27,AC,301,14,1330,890754,12,8.3,2498,1344,1154,25.29,209.86,105.14,1.29,106.43,103.43,40.34,22.91,0.143,23.06,17.29,11.91,0.778,,0.0104,0.0056,2804.37,15.72,1493.12,1508.83,1295.53
2020-04-28,AC,317,16,1389,890754,12,8.3,2631,1405,1226,36.14,300.0,158.86,1.14,160.0,140.0,60.94,36.54,0.171,36.71,24.23,12.42,-0.1269,-0.7897,0.0114,0.0061,2953.68,17.96,1559.35,1577.32,1376.36
2020-04-29,AC,354,18,1538,890754,12,8.3,2938,1556,1382,42.14,349.86,196.57,1.57,198.14,151.71,69.26,42.23,0.114,42.34,26.91,9.44,-1.8297,-0.9991,0.0116,0.0061,3298.33,20.21,1726.63,1746.83,1551.49
2020-04-30,AC,404,19,1732,890754,12,8.3,3353,1751,1602,54.14,449.29,258.57,2.0,260.57,188.71,76.6,47.94,0.114,48.06,28.54,6.87,-1.832,-0.909,0.0109,0.0057,3764.23,21.33,1944.42,1965.75,1798.48
