Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-08,AL,1,0,1,3370731,27,8.3,8,1,7,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.297,0.297,2.08
2020-03-09,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-10,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-12,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-13,AL,1,0,1,3370731,27,8.3,8,1,7,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.297,0.297,2.08
2020-03-16,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-17,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-18,AL,1,0,2,3370731,27,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.0,2.37,0.0,0.593,0.593,1.78
2020-03-19,AL,4,0,6,3370731,27,8.3,33,6,27,,,,,,,,,,,,,,,0.0,0.0,9.79,0.0,1.78,1.78,8.01
2020-03-20,AL,6,0,10,3370731,27,8.3,50,10,40,1.0,8.29,1.71,,,,,,,,,,,,0.0,0.0,14.83,0.0,2.97,2.97,11.87
2020-03-21,AL,7,0,12,3370731,27,8.3,58,12,46,1.29,10.71,2.57,,,,,,,,,,,,0.0,0.0,17.21,0.0,3.56,3.56,13.65
2020-03-22,AL,7,0,11,3370731,27,8.3,58,11,47,1.43,11.86,3.29,,,,,,,,,,,,0.0,0.0,17.21,0.0,3.26,3.26,13.94
2020-03-23,AL,8,0,14,3370731,27,8.3,66,14,52,1.0,8.29,2.86,,,,0.0,0.371,,,,,,,0.0,0.0,19.58,0.0,4.15,4.15,15.43
2020-03-24,AL,10,0,20,3370731,27,8.3,83,20,63,0.857,7.14,3.0,,,,0.229,0.6,,,,,,,0.0,0.0,24.62,0.0,5.93,5.93,18.69
2020-03-25,AL,11,0,25,3370731,27,8.3,91,25,66,1.0,8.29,3.57,,,,-0.2286,0.486,,,,,,,0.0,0.0,27.0,0.0,7.42,7.42,19.58
2020-03-26,AL,11,0,26,3370731,27,8.3,91,26,65,1.43,11.86,5.57,,,,0.229,0.343,,,,,,,0.0,0.0,27.0,0.0,7.71,7.71,19.28
2020-03-27,AL,12,0,31,3370731,27,8.3,100,31,69,1.29,10.71,5.71,,,,0.229,0.143,,,,-0.0,,,0.0,0.0,29.67,0.0,9.2,9.2,20.47
2020-03-28,AL,14,0,37,3370731,27,8.3,116,37,79,1.14,9.43,4.57,,,,0.0,-0.0286,,,,,,,0.0,0.0,34.41,0.0,10.98,10.98,23.44
2020-03-29,AL,17,0,50,3370731,27,8.3,141,50,91,1.0,8.29,3.71,,,,0.229,-0.0857,,,,0.0971,,,0.0,0.0,41.83,0.0,14.83,14.83,27.0
2020-03-30,AL,17,0,54,3370731,27,8.3,141,54,87,1.0,8.29,3.43,,,,0.0,-0.2286,,,,0.286,,,0.0,0.0,41.83,0.0,16.02,16.02,25.81
2020-03-31,AL,18,1,52,3370731,27,8.3,149,53,96,1.57,13.0,5.14,,,,0.714,0.229,,,,,,,0.0189,0.0067,44.2,0.297,15.43,15.72,28.48
2020-04-01,AL,18,1,51,3370731,27,8.3,149,52,97,1.29,10.71,4.57,,,,1.66,0.686,,,,0.337,0.0571,,0.0192,0.0067,44.2,0.297,15.13,15.43,28.78
2020-04-02,AL,18,1,50,3370731,27,8.3,149,51,98,1.57,13.0,5.71,,,,2.14,1.03,,,,,-0.0194,,0.0196,0.0067,44.2,0.297,14.83,15.13,29.07
2020-04-03,AL,23,2,67,3370731,27,8.3,191,69,122,2.0,16.57,7.14,,,,1.91,0.943,,,,0.383,,,0.029,0.0105,56.66,0.593,19.88,20.47,36.19
2020-04-04,AL,23,2,69,3370731,27,8.3,191,71,120,2.29,19.0,8.57,0.143,8.71,10.29,2.37,1.14,,,,0.189,-0.0686,-0.0023,0.0282,0.0105,56.66,0.593,20.47,21.06,35.6
2020-04-05,AL,28,2,90,3370731,27,8.3,232,92,140,2.71,22.57,9.86,0.286,10.14,12.43,2.63,1.37,,,,-0.24,,,0.0217,0.0086,68.83,0.593,26.7,27.29,41.53
2020-04-06,AL,31,2,104,3370731,27,8.3,257,106,151,2.71,22.57,10.29,0.286,10.57,12.0,2.6,1.63,,,,-0.0057,0.0457,,0.0189,0.0078,76.24,0.593,30.85,31.45,44.8
2020-04-07,AL,34,2,112,3370731,27,8.3,282,114,168,3.14,26.14,12.57,0.143,12.71,13.43,0.943,0.943,0.0,0.943,0.0,0.429,0.115,,0.0175,0.0071,83.66,0.593,33.23,33.82,49.84
2020-04-08,AL,37,3,120,3370731,27,8.3,307,123,184,3.57,29.57,15.29,0.143,15.43,14.14,1.89,1.66,0.0,1.66,0.229,0.611,,,0.0244,0.0098,91.08,0.89,35.6,36.49,54.59
2020-04-09,AL,37,3,122,3370731,27,8.3,307,125,182,2.86,23.71,13.29,0.143,13.43,10.29,4.51,3.09,0.0,3.09,1.43,0.766,,0.048,0.024,0.0098,91.08,0.89,36.19,37.08,53.99
