Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-18,PA,1,0,2,1,8688894,15,8.3,8,2,6,,,,,,,,,,,,,,,0.0,0.921,0.0,0.23,0.23,0.691
2020-03-19,PA,1,0,1,2,8688894,15,8.3,8,1,7,,,,,,,,,,,,,,,0.0,0.921,0.0,0.115,0.115,0.806
2020-03-20,PA,2,0,3,3,8688894,15,8.3,17,3,14,,,,,,,,,,,,,,,0.0,1.96,0.0,0.345,0.345,1.61
2020-03-21,PA,2,0,4,4,8688894,15,8.3,17,4,13,,,,,,,,,,,,,,,0.0,1.96,0.0,0.46,0.46,1.5
2020-03-22,PA,4,0,6,5,8688894,15,8.3,33,6,27,0.857,7.14,2.0,0.0,2.0,5.14,,,,,,,,,0.0,3.8,0.0,0.691,0.691,3.11
2020-03-23,PA,5,0,9,6,8688894,15,8.3,42,9,33,1.71,14.29,4.29,0.0,4.29,10.0,,,,,,,,,0.0,4.83,0.0,1.04,1.04,3.8
2020-03-24,PA,5,0,10,7,8688894,15,8.3,42,10,32,2.0,16.57,5.43,0.0,5.43,11.14,,,,,,,,,0.0,4.83,0.0,1.15,1.15,3.68
2020-03-25,PA,7,0,16,8,8688894,15,8.3,58,16,42,2.29,18.86,6.29,0.0,6.29,12.57,3.54,1.69,0.0,1.69,1.86,,,,0.0,6.68,0.0,1.84,1.84,4.83
2020-03-26,PA,13,0,31,9,8688894,15,8.3,108,31,77,2.29,19.0,7.43,0.0,7.43,11.57,4.0,1.66,0.0,1.66,2.34,,,,0.0,12.43,0.0,3.57,3.57,8.86
2020-03-27,PA,16,0,41,10,8688894,15,8.3,133,41,92,3.0,24.86,10.43,0.0,10.43,14.43,4.74,1.77,0.0286,1.8,2.94,,,,0.0,15.31,0.0,4.72,4.72,10.59
2020-03-28,PA,18,0,48,11,8688894,15,8.3,149,48,101,4.14,34.29,12.57,0.0,12.57,21.71,4.77,1.8,0.0286,1.83,2.94,1.34,,,0.0,17.15,0.0,5.52,5.52,11.62
2020-03-29,PA,20,0,58,12,8688894,15,8.3,166,58,108,4.86,40.29,14.29,0.143,14.43,25.86,10.17,3.63,0.0286,3.66,6.51,0.96,,,0.0,19.1,0.0,6.68,6.68,12.43
2020-03-30,PA,26,0,82,13,8688894,15,8.3,216,82,134,5.14,42.71,15.29,0.143,15.43,27.29,10.23,3.51,0.0286,3.54,6.69,2.04,,,0.0,24.86,0.0,9.44,9.44,15.42
2020-03-31,PA,34,0,98,14,8688894,15,8.3,282,98,184,8.43,69.86,25.57,0.143,25.71,44.14,8.8,3.74,0.0286,3.77,5.03,3.03,-0.1463,,0.0,32.46,0.0,11.28,11.28,21.18
2020-04-01,PA,41,1,116,15,8688894,15,8.3,340,117,223,9.14,76.0,28.0,0.143,28.14,47.86,14.94,6.6,0.114,6.71,8.23,1.06,0.177,,0.0085,39.13,0.115,13.35,13.47,25.66
2020-04-02,PA,49,1,138,16,8688894,15,8.3,407,139,268,9.43,78.29,31.29,0.143,31.43,46.86,19.91,8.6,0.114,8.71,11.2,0.606,-0.456,,0.0072,46.84,0.115,15.88,16.0,30.84
2020-04-03,PA,75,1,220,17,8688894,15,8.3,622,221,401,13.86,115.0,47.29,0.714,48.0,67.0,15.46,6.83,0.114,6.94,8.51,1.85,-0.8994,0.108,0.0045,71.59,0.115,25.32,25.43,46.15
