Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-05,RJ,1,0,3,1,17437592,33,9.8,10,3,7,,,,,,,,,,,,,,,0.0,0.0,0.573,0.0,0.172,0.172,0.401
2020-03-06,RJ,2,0,2,2,17437592,33,9.8,20,2,18,,,,,,,,,,,,,,,0.0,0.0,1.15,0.0,0.115,0.115,1.03
2020-03-08,RJ,3,0,5,3,17437592,33,9.8,29,5,24,,,,,,,,,,,,,,,0.0,0.0,1.66,0.0,0.287,0.287,1.38
2020-03-12,RJ,15,0,33,4,17437592,33,9.8,147,33,114,,,,,,,,,,,,,,,0.0,0.0,8.43,0.0,1.89,1.89,6.54
2020-03-15,RJ,24,0,56,5,17437592,33,9.8,235,56,179,,,,,,,,,,,,,,,0.0,0.0,13.48,0.0,3.21,3.21,10.27
2020-03-16,RJ,25,0,61,6,17437592,33,9.8,245,61,184,,,,,,,,,,,,,,,0.0,0.0,14.05,0.0,3.5,3.5,10.55
2020-03-18,RJ,63,0,144,7,17437592,33,9.8,617,144,473,,,,,,,,,,,,,,,0.0,0.0,35.38,0.0,8.26,8.26,27.13
2020-03-19,RJ,66,2,117,8,17437592,33,9.8,647,119,528,,,,,,,,,,,,,,,0.0168,0.0031,37.1,0.115,6.71,6.82,30.28
2020-03-21,RJ,119,3,245,9,17437592,33,9.8,1166,248,918,,,,,,,,,,,,,,,0.0121,0.0026,66.87,0.172,14.05,14.22,52.64
2020-03-22,RJ,186,3,338,10,17437592,33,9.8,1823,341,1482,,,,,,,,,,,,,,,0.0088,0.0016,104.54,0.172,19.38,19.56,84.99
2020-03-23,RJ,233,4,475,11,17437592,33,9.8,2283,479,1804,,,,,,,,,,,,,,,0.0084,0.0018,130.92,0.229,27.24,27.47,103.45
2020-03-24,RJ,305,6,714,12,17437592,33,9.8,2989,720,2269,,,,,,,,,,,,,,,0.0083,0.002,171.41,0.344,40.95,41.29,130.12
