Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,GO,3,0,6,1,7088538,52,8.3,25,6,19,,,,,,,,,,,,,,,0.0,0.0,3.53,0.0,0.846,0.846,2.68
2020-03-13,GO,3,0,3,2,7088538,52,8.3,25,3,22,,,,,,,,,,,,,,,0.0,0.0,3.53,0.0,0.423,0.423,3.1
2020-03-14,GO,4,0,6,3,7088538,52,8.3,33,6,27,,,,,,,,,,,,,,,0.0,0.0,4.66,0.0,0.846,0.846,3.81
2020-03-15,GO,4,0,8,4,7088538,52,8.3,33,8,25,,,,,,,,,,,,,,,0.0,0.0,4.66,0.0,1.13,1.13,3.53
2020-03-16,GO,9,0,19,5,7088538,52,8.3,75,19,56,1.71,14.29,2.43,,,,,,,,,,,,0.0,0.0,10.58,0.0,2.68,2.68,7.9
2020-03-17,GO,10,0,16,6,7088538,52,8.3,83,16,67,2.14,17.71,3.86,,,,,,,,,,,,0.0,0.0,11.71,0.0,2.26,2.26,9.45
2020-03-18,GO,12,0,23,7,7088538,52,8.3,100,23,77,2.14,17.86,3.86,,,,,,,,,,,,0.0,0.0,14.11,0.0,3.24,3.24,10.86
2020-03-19,GO,15,0,23,8,7088538,52,8.3,125,23,102,2.43,20.14,3.43,,,,1.66,0.714,,,,,,,0.0,0.0,17.63,0.0,3.24,3.24,14.39
2020-03-20,GO,18,0,30,9,7088538,52,8.3,149,30,119,2.0,16.57,3.0,,,,1.89,0.8,,,,,,,0.0,0.0,21.02,0.0,4.23,4.23,16.79
2020-03-21,GO,19,0,33,10,7088538,52,8.3,158,33,125,2.71,22.57,6.0,,,,1.86,1.14,,,,,,,0.0,0.0,22.29,0.0,4.66,4.66,17.63
