Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,RN,1,0,2,1,3506853,3569507,24,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1.96,0.0,0.56,0.56,1.4
2020-03-13,RN,1,0,1,2,3506853,3569507,24,6.8,7,1,6,,,,,,,,,,,,,,,0.0,1.96,0.0,0.28,0.28,1.68
2020-03-16,RN,1,0,2,3,3506853,3569507,24,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1.96,0.0,0.56,0.56,1.4
2020-03-18,RN,1,0,2,4,3506853,3569507,24,6.8,7,2,5,,,,,,,,,,,,,,,0.0,1.96,0.0,0.56,0.56,1.4
2020-03-20,RN,6,0,8,5,3506853,3569507,24,6.8,41,8,33,,,,,,,,,,,,,,,0.0,11.49,0.0,2.24,2.24,9.24
2020-03-21,RN,9,0,13,6,3506853,3569507,24,6.8,61,13,48,,,,,,,,,,,,,,,0.0,17.09,0.0,3.64,3.64,13.45
2020-03-22,RN,13,0,16,7,3506853,3569507,24,6.8,88,16,72,,,,,,,,,,,,,,,0.0,24.65,0.0,4.48,4.48,20.17
2020-03-24,RN,14,0,23,8,3506853,3569507,24,6.8,95,23,72,,,,,,,,,,,,,,,0.0,26.61,0.0,6.44,6.44,20.17
2020-03-25,RN,14,0,26,9,3506853,3569507,24,6.8,95,26,69,,,,,,,,,,,,,,,0.0,26.61,0.0,7.28,7.28,19.33
2020-03-26,RN,19,0,37,10,3506853,3569507,24,6.8,129,37,92,,,,,,,,,,,,,,,0.0,36.14,0.0,10.37,10.37,25.77
2020-03-27,RN,28,0,58,11,3506853,3569507,24,6.8,190,58,132,,,,,,,,,,,,,,,0.0,53.23,0.0,16.25,16.25,36.98
2020-03-28,RN,68,1,149,12,3506853,3569507,24,6.8,462,150,312,,,,,,,,,,,,,,,0.0067,129.43,0.28,41.74,42.02,87.41
2020-03-30,RN,77,1,199,13,3506853,3569507,24,6.8,524,200,324,,,,,,,,,,,,,,,0.005,146.8,0.28,55.75,56.03,90.77
2020-03-31,RN,82,1,194,14,3506853,3569507,24,6.8,558,195,363,,,,,,,,,,,,,,,0.0051,156.32,0.28,54.35,54.63,101.69
2020-04-01,RN,92,2,212,15,3506853,3569507,24,6.8,626,214,412,,,,,,,,,,,,,,,0.0093,175.37,0.56,59.39,59.95,115.42
2020-04-02,RN,106,2,243,16,3506853,3569507,24,6.8,721,245,476,,,,,,,,,,,,,,,0.0082,201.99,0.56,68.08,68.64,133.35
2020-04-03,RN,176,4,422,17,3506853,3569507,24,6.8,1197,426,771,,,,,,,,,,,,,,,0.0094,335.34,1.12,118.22,119.34,216.0
2020-04-04,RN,215,6,523,18,3506853,3569507,24,6.8,1462,529,933,,,,,,,,,,,,,,,0.0113,409.58,1.68,146.52,148.2,261.38
2020-04-05,RN,246,7,646,19,3506853,3569507,24,6.8,1673,653,1020,,,,,,,,,,,,,,,0.0107,468.69,1.96,180.98,182.94,285.75
2020-04-07,RN,254,8,681,20,3506853,3569507,24,6.8,1727,689,1038,,,,,,,,,,,,,,,0.0116,483.82,2.24,190.78,193.02,290.8
2020-04-08,RN,261,11,689,21,3506853,3569507,24,6.8,1775,700,1075,,,,,,,,,,,,,,,0.0157,497.27,3.08,193.02,196.11,301.16
2020-04-10,RN,263,11,739,22,3506853,3569507,24,6.8,1788,750,1038,,,,,,,,,,,,,,,0.0147,500.91,3.08,207.03,210.11,290.8
2020-04-11,RN,289,13,866,23,3506853,3569507,24,6.8,1965,879,1086,,,,,,,,,,,,,,,0.0148,550.5,3.64,242.61,246.25,304.24
2020-04-12,RN,339,17,1056,24,3506853,3569507,24,6.8,2305,1073,1232,,,,,,,,,,,,,,,0.0158,645.75,4.76,295.84,300.6,345.15
2020-04-13,RN,376,18,1225,25,3506853,3569507,24,6.8,2557,1243,1314,,,,,,,,,,,,,,,0.0145,716.35,5.04,343.18,348.23,368.12
2020-04-14,RN,399,19,1319,26,3506853,3569507,24,6.8,2713,1338,1375,36.14,245.86,133.86,1.86,135.71,110.14,,,,,,,,,0.0142,760.05,5.32,369.52,374.84,385.21
2020-04-15,RN,400,20,1288,27,3506853,3569507,24,6.8,2720,1308,1412,38.86,264.29,138.43,1.86,140.29,124.0,,,,,,,,,0.0153,762.01,5.6,360.83,366.44,395.57
2020-04-16,RN,463,23,1523,28,3506853,3569507,24,6.8,3148,1546,1602,36.57,248.71,137.86,1.43,139.29,109.43,,,,,,,,,0.0149,881.91,6.44,426.67,433.11,448.8
2020-04-17,RN,516,24,1676,29,3506853,3569507,24,6.8,3509,1700,1809,33.14,225.29,129.71,1.43,131.14,94.14,10.66,10.2,0.0286,10.23,0.429,,,,0.0141,983.05,6.72,469.53,476.26,506.79
2020-04-18,RN,561,26,1835,30,3506853,3569507,24,6.8,3815,1861,1954,35.29,240.0,143.0,1.43,144.43,95.57,3.69,6.0,0.0571,6.06,-2.3714,,,,0.014,1068.78,7.28,514.08,521.36,547.41
2020-04-19,RN,595,27,2021,31,3506853,3569507,24,6.8,4046,2048,1998,44.0,299.14,184.86,2.0,186.86,112.29,1.74,4.34,0.171,4.51,-2.7714,,,,0.0132,1133.49,7.56,566.18,573.75,559.74
2020-04-20,RN,608,28,2133,32,3506853,3569507,24,6.8,4134,2161,1973,41.57,282.71,168.43,2.14,170.57,112.14,6.23,4.43,0.229,4.66,1.57,-4.4171,,,0.013,1158.14,7.84,597.56,605.41,552.74
2020-04-21,RN,646,29,2320,33,3506853,3569507,24,6.8,4393,2349,2044,37.86,257.43,159.57,2.29,161.86,95.57,-1.9429,-1.3714,0.229,-1.1429,-0.8,5.05,,,0.0123,1230.7,8.12,649.95,658.07,572.63
2020-04-22,RN,708,34,2582,34,3506853,3569507,24,6.8,4814,2616,2198,37.71,256.43,151.86,2.57,154.43,102.0,-11.4286,-9.5714,0.171,-9.4,-2.0286,7.58,,,0.013,1348.65,9.53,723.35,732.87,615.77
2020-04-23,RN,754,38,2702,35,3506853,3569507,24,6.8,5127,2740,2387,33.86,230.29,136.14,2.57,138.71,91.57,28.94,11.03,0.286,11.31,17.63,9.6,3.81,,0.0139,1436.33,10.65,756.97,767.61,668.72
2020-04-24,RN,781,40,2793,36,3506853,3569507,24,6.8,5311,2833,2478,35.57,242.0,137.0,2.86,139.86,102.14,39.66,13.57,0.171,13.74,25.91,13.91,-1.0103,,0.0141,1487.88,11.21,782.46,793.67,694.21
2020-04-25,RN,825,44,2898,37,3506853,3569507,24,6.8,5610,2942,2668,62.86,427.43,223.57,3.57,227.14,200.29,54.23,22.14,0.0,22.14,32.09,14.64,-1.472,,0.015,1571.65,12.33,811.88,824.2,747.44
2020-04-26,RN,832,45,2974,38,3506853,3569507,24,6.8,5658,3019,2639,67.0,455.71,227.43,3.14,230.57,225.14,67.6,32.8,0.0286,32.83,34.77,-0.0,-3.9737,-1.909,0.0149,1585.09,12.61,833.17,845.78,739.32
2020-04-27,RN,857,48,3092,39,3506853,3569507,24,6.8,5828,3140,2688,77.57,527.57,262.57,2.57,265.14,262.43,61.77,35.77,-0.0857,35.69,26.09,0.223,-5.6651,-0.0855,0.0153,1632.72,13.45,866.23,879.67,753.05
2020-04-28,RN,1086,54,3885,40,3506853,3569507,24,6.8,7385,3939,3446,83.57,568.29,300.14,2.71,302.86,265.43,28.94,23.06,-0.2286,22.83,6.11,-10.2686,-5.7337,,0.0137,2068.91,15.13,1088.39,1103.51,965.4
2020-04-29,RN,1177,56,4174,41,3506853,3569507,24,6.8,8004,4230,3774,81.0,550.86,315.86,2.43,318.29,232.57,40.77,31.94,-0.0571,31.89,8.89,-14.4171,-1.4377,,0.0132,2242.33,15.69,1169.35,1185.04,1057.29
2020-04-30,RN,1297,56,4540,42,3506853,3569507,24,6.8,8820,4596,4224,84.14,572.14,338.86,2.43,341.29,230.86,2.89,15.03,0.0,15.03,-12.1429,-14.0286,,,0.0122,2470.93,15.69,1271.88,1287.57,1183.36
2020-05-01,RN,1366,59,4894,43,3506853,3569507,24,6.8,9289,4953,4336,97.0,659.57,387.14,2.86,390.0,269.57,-4.4857,4.74,0.0286,4.77,-9.2571,-7.1886,,,0.0119,2602.32,16.53,1371.06,1387.59,1214.73
2020-05-02,RN,1392,61,5109,44,3506853,3569507,24,6.8,9466,5170,4296,79.71,542.0,337.71,2.57,340.29,201.71,-8.3714,-0.0286,0.229,0.2,-8.5714,,,,0.0118,2651.91,17.09,1431.29,1448.38,1203.53
2020-05-03,RN,1421,62,5346,45,3506853,3569507,24,6.8,9663,5408,4255,80.29,545.86,323.86,2.86,326.71,219.14,-7.0,-6.1429,0.314,-5.8286,-1.1714,,,,0.0115,2707.1,17.37,1497.69,1515.06,1192.04
2020-05-04,RN,1536,68,5802,46,3506853,3569507,24,6.8,10445,5870,4575,74.86,509.0,315.71,3.57,319.29,189.71,,,,,,,,,0.0116,2926.17,19.05,1625.43,1644.48,1281.69
2020-05-05,RN,1644,72,6249,47,3506853,3569507,24,6.8,11179,6321,4858,79.0,537.14,308.14,4.0,312.14,225.0,,,,,,,,,0.0114,3131.81,20.17,1750.66,1770.83,1360.97
2020-05-06,RN,1739,76,6441,48,3506853,3569507,24,6.8,11825,6517,5308,,,,,,,,,,,,,,,0.0117,3312.78,21.29,1804.45,1825.74,1487.04
2020-05-07,RN,1821,81,6750,49,3506853,3569507,24,6.8,12383,6831,5552,,,,,,,,,,,,,,,0.0119,3469.11,22.69,1891.02,1913.71,1555.4
2020-05-08,RN,1919,87,7051,50,3506853,3569507,24,6.8,13049,7138,5911,,,,,,,,,,,,,,,0.0122,3655.69,24.37,1975.34,1999.72,1655.97
2020-05-10,RN,1930,87,7381,51,3506853,3569507,24,6.8,13124,7468,5656,,,,,,,,,,,,,,,0.0116,3676.7,24.37,2067.79,2092.17,1584.53
2020-05-11,RN,2033,93,7968,52,3506853,3569507,24,6.8,13824,8061,5763,,,,,,,,,,,,,,,0.0115,3872.8,26.05,2232.24,2258.3,1614.51
2020-05-12,RN,2367,105,9394,53,3506853,3569507,24,6.8,16096,9499,6597,,,,,,,,,,,,,,,0.0111,4509.31,29.42,2631.74,2661.15,1848.15
2020-05-13,RN,2537,117,10024,54,3506853,3569507,24,6.8,17252,10141,7111,,,,,,,,,,,,,,,0.0115,4833.16,32.78,2808.23,2841.01,1992.15
2020-05-14,RN,2786,122,10950,55,3506853,3569507,24,6.8,18945,11072,7873,,,,,,,,,,,,,,,0.011,5307.46,34.18,3067.65,3101.83,2205.63
2020-05-16,RN,3004,136,11658,56,3506853,3569507,24,6.8,20427,11794,8633,,,,,,,,,,,,,,,0.0115,5722.64,38.1,3266.0,3304.1,2418.54
2020-05-17,RN,3138,139,12577,57,3506853,3569507,24,6.8,21338,12716,8622,,,,,,,,,,,,,,,0.0109,5977.86,38.94,3523.46,3562.4,2415.46
2020-05-18,RN,3483,160,13984,58,3506853,3569507,24,6.8,23684,14144,9540,,,,,,,,,,,,,,,0.0113,6635.09,44.82,3917.63,3962.45,2672.64
2020-05-19,RN,3796,170,15180,59,3506853,3569507,24,6.8,25813,15350,10463,,,,,,,,,,,,,,,0.0111,7231.53,47.63,4252.69,4300.31,2931.22
2020-05-20,RN,4060,178,16068,60,3506853,3569507,24,6.8,27608,16246,11362,,,,,,,,,,,,,,,0.011,7734.4,49.87,4501.46,4551.33,3183.07
2020-05-21,RN,4251,181,16813,61,3506853,3569507,24,6.8,28907,16994,11913,,,,,,,,,,,,,,,0.0107,8098.32,50.71,4710.17,4760.88,3337.44
2020-05-22,RN,4599,184,18121,62,3506853,3569507,24,6.8,31273,18305,12968,,,,,,,,,,,,,,,0.0101,8761.15,51.55,5076.61,5128.16,3632.99
