Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-16,CE,9,0,44,9223399,23,19.3,174,44,130,,,,,,,,,,,,,,,0.0,0.0,18.87,0.0,4.77,4.77,14.09
2020-03-17,CE,10,0,38,9223399,23,19.3,193,38,155,,,,,,,,,,,,,,,0.0,0.0,20.93,0.0,4.12,4.12,16.81
2020-03-18,CE,19,0,85,9223399,23,19.3,367,85,282,,,,,,,,,,,,,,,0.0,0.0,39.79,0.0,9.22,9.22,30.57
2020-03-19,CE,24,0,84,9223399,23,19.3,463,84,379,,,,,,,,,,,,,,,0.0,0.0,50.2,0.0,9.11,9.11,41.09
2020-03-20,CE,68,0,261,9223399,23,19.3,1312,261,1051,22.14,427.29,87.71,,,,,,,,,,,,0.0,0.0,142.25,0.0,28.3,28.3,113.95
2020-03-21,CE,84,0,341,9223399,23,19.3,1621,341,1280,25.0,482.43,116.43,,,,,,,,,,,,0.0,0.0,175.75,0.0,36.97,36.97,138.78
2020-03-22,CE,125,0,448,9223399,23,19.3,2412,448,1964,27.43,529.29,145.0,,,,,,,,,,,,0.0,0.0,261.51,0.0,48.57,48.57,212.94
2020-03-23,CE,164,0,658,9223399,23,19.3,3165,658,2507,30.43,587.29,175.57,,,,45.8,30.0,,,,,,,0.0,0.0,343.15,0.0,71.34,71.34,271.81
2020-03-24,CE,185,0,853,9223399,23,19.3,3570,853,2717,30.57,590.14,201.14,,,,32.57,33.49,,,,,,,0.0,0.0,387.06,0.0,92.48,92.48,294.58
2020-03-25,CE,211,0,1100,9223399,23,19.3,4072,1100,2972,34.0,656.29,237.71,,,,14.37,32.37,,,,,,,0.0,0.0,441.49,0.0,119.26,119.26,322.22
2020-03-26,CE,237,3,1313,9223399,23,19.3,4574,1316,3258,33.43,645.29,283.86,,,,1.66,17.63,,,,0.543,,,0.0023,0.0007,495.91,0.325,142.36,142.68,353.23
2020-03-27,CE,282,3,1669,9223399,23,19.3,5443,1672,3771,31.14,601.14,306.86,,,,11.0,11.8,,,,9.14,,,0.0018,0.0006,590.13,0.325,180.95,181.28,408.85
