country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-04-04,33.0,65.0,39653765,,,,299,115,7,299,122,177,31.0,15.333,1.667,17.0,14.0,1.194,1.194,0.1389,1.333,-0.13889,0.2708,,,0.05738,0.02341,7.54,0.1765,2.9,3.077,4.464,,
Albania,2020-04-04,41.153,20.168,2842650,5269,,,333,163,20,333,183,150,20.667,11.5,1.167,12.667,8.0,-1.05556,1.0,-0.19444,0.8056,-1.86111,-0.67361,,,0.1093,0.06006,117.144,7.036,57.341,64.377,52.768,,
Algeria,2020-04-04,28.034,1.66,43697354,4115,,,1251,343,130,1251,473,778,103.5,43.0,22.5,65.5,38.0,-6.38889,3.472,0.75,4.222,-10.61111,-1.5625,,,0.2748,0.1039,28.629,2.975,7.849,10.824,17.804,,
Andorra,2020-04-04,42.506,1.522,78418,42030,,,466,230,17,466,247,219,25.833,18.667,1.333,20.0,5.833,0.08333,0.3611,-0.05556,0.3056,-0.22222,,,,0.06883,0.03648,5942.513,216.787,2933.0,3149.787,2792.726,,
Angola,2020-04-04,-11.2027,17.874,33046756,3432,,,10,3,2,10,5,5,1.5,0.5,0.0,0.5,1.0,0.1667,0.08333,,,,-0.09028,-0.03125,,0.4,0.2,0.3026,0.06052,0.09078,0.1513,0.1513,,
Antigua and Barbuda,2020-04-04,17.061,-61.7964,98848,16727,,,15,6,0,15,6,9,2.0,0.5,,,,-0.11111,0.0,,,,-0.06944,,,0.0,0.0,151.748,0.0,60.699,60.699,91.049,,
Argentina,2020-04-04,-38.4161,-63.6167,45433446,11684,,,1451,555,43,1451,598,853,95.667,63.167,4.667,67.833,27.833,-5.05556,2.5,0.4167,2.917,-7.97222,0.3472,,,0.07191,0.02963,31.937,0.9464,12.216,13.162,18.775,,
Armenia,2020-04-04,40.069,45.038,2938968,4212,,,770,366,7,770,373,397,47.0,33.5,0.6667,34.167,12.833,-4.97222,1.222,0.02778,1.25,-6.22222,,,,0.01877,0.00909,261.997,2.382,124.534,126.915,135.081,,
Australia,2020-04-04,-31.99619,141.233,25731295,57396,,samples tested,5550,2881,30,5550,2911,2639,172.167,232.5,4.167,236.667,-64.5,-25.02778,-4.41667,0.2778,-4.13889,-20.88889,,,,0.01031,0.00541,215.691,1.166,111.965,113.131,102.56,,
Austria,2020-04-04,47.516,14.55,8937767,51500,104134,samples tested,11781,6390,186,11781,6576,5205,321.333,463.333,16.167,479.5,-158.16667,-33.86111,-11.83333,0.9167,-10.91667,-22.94444,,,,0.02828,0.01579,1318.114,20.811,714.944,735.754,582.36,8.839,11651.009
