country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Nicaragua,2020-04-19,12.865,-85.2072,6642666,2021,,,10,5.189,2,10,7.189,2.811,0.1667,0.04975,0.1667,0.2164,-0.04975,0.02778,1.0e-5,0.0,1.0e-5,0.02776,0.00694,,,0.2782,0.2,1.505,0.3011,0.7812,1.082,0.4232,,
Niger,2020-04-19,17.608,8.082,24213446,414,,,648,367.514,20,648,387.514,260.486,13.0,22.337,1.333,23.67,-10.66987,-2.30556,-1.07496,-0.02778,-1.10274,-1.20282,,,,0.05161,0.03086,26.762,0.826,15.178,16.004,10.758,,
Nigeria,2020-04-19,9.082,8.675,206401478,2028,,samples tested,627,285.345,21,627,306.345,320.655,71.833,22.325,2.5,24.825,47.009,7.528,3.483,0.08333,3.566,3.962,0.7014,-0.25,,0.06855,0.03349,3.038,0.1017,1.382,1.484,1.554,,
North Macedonia,2020-04-19,41.609,21.745,2088377,6084,,,1207,670.126,51,1207,721.126,485.874,29.667,41.391,1.667,43.058,-13.39104,-5.36111,-0.02259,-0.13889,-0.16148,-5.19963,,,,0.07072,0.04225,577.961,24.421,320.884,345.305,232.656,,
Norway,2020-04-19,60.472,8.469,5411934,81734,142166,people tested,7078,5601.026,165,7078,5766.026,1311.974,73.667,117.243,5.833,123.077,-49.40984,-1.5,-4.49998,0.1389,-4.36109,2.861,,,,0.02862,0.02331,1307.85,30.488,1034.94,1065.428,242.422,20.086,26268.983
Oman,2020-04-19,21.0,57.0,5252599,16415,,,1266,596.289,7,1266,603.289,662.711,99.167,59.548,0.6667,60.215,38.952,2.778,3.781,0.0,3.781,-1.00343,-1.25694,,,0.0116,0.00553,241.024,1.333,113.523,114.855,126.168,,
Pakistan,2020-04-19,30.375,69.345,221843678,1482,104302,samples tested,8418,4793.678,176,8418,4969.678,3448.322,688.333,318.149,17.0,335.149,353.185,64.694,23.972,0.6944,24.666,40.028,-3.57639,-5.46875,,0.03541,0.02091,37.946,0.7934,21.608,22.402,15.544,12.39,470.16
Panama,2020-04-19,8.538,-80.7821,4328485,15575,19851,samples tested,4273,2524.232,120,4273,2644.232,1628.768,178.333,144.852,6.333,151.185,27.148,10.889,2.057,0.1667,2.224,8.665,1.188,-1.1875,,0.04538,0.02808,987.181,27.723,583.168,610.891,376.291,4.646,4586.131
Papua New Guinea,2020-04-19,-6.315,143.956,8983928,2730,,,7,6.512,0,7,6.512,0.4876,0.1667,0.04711,,,,-0.11111,,,,,,,,0.0,0.0,0.7792,0.0,0.7249,0.7249,0.05428,,
Paraguay,2020-04-19,-23.4425,-58.4438,7165956,5822,5501,samples tested,206,119.138,8,206,127.138,78.862,6.5,6.768,0.1667,6.935,-0.43472,-1.02778,-0.00407,-0.02778,-0.03185,-0.99593,,,,0.06292,0.03883,28.747,1.116,16.626,17.742,11.005,26.704,767.658
