country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-05-25,33.0,65.0,39653765,,,,11173,6288,219,11173,6507,4666,636.667,408.167,5.0,413.167,223.5,14.222,20.25,-0.08333,20.167,-5.94444,-0.375,,,0.03366,0.0196,281.764,5.523,158.573,164.095,117.669,,
Albania,2020-05-25,41.153,20.168,2842650,5269,,,1004,865,32,1004,897,107,15.833,10.167,0.3333,10.5,5.333,2.167,0.4167,0.0,0.4167,1.75,-0.23611,-0.24306,,0.03567,0.03187,353.192,11.257,304.294,315.551,37.641,,
Algeria,2020-05-25,28.034,1.66,43697354,4115,,,8503,5927,609,8503,6536,1967,179.833,169.167,8.0,177.167,2.667,-6.52778,0.4722,-0.11111,0.3611,-6.88889,,,,0.09318,0.07162,194.588,13.937,135.638,149.574,45.014,,
Andorra,2020-05-25,42.506,1.522,78418,42030,,,763,700,51,763,751,12,0.1667,1.167,0.0,1.167,-1.0,-0.02778,-0.11111,,,,0.5486,,,0.06791,0.06684,9729.909,650.361,8926.522,9576.883,153.026,,
Angola,2020-05-25,-11.2027,17.874,33046756,3432,,,70,45,4,70,49,21,2.333,1.5,0.1667,1.667,0.6667,-0.05556,0.1111,-0.02778,0.08333,-0.13889,-0.03472,,,0.08163,0.05714,2.118,0.121,1.362,1.483,0.6355,,
Antigua and Barbuda,2020-05-25,17.061,-61.7964,98848,16727,,,25,22,3,25,25,0,0.0,0.0,0.0,0.0,0.0,,-0.02778,,,,,,,0.12,0.12,252.914,30.35,222.564,252.914,0.0,,
Argentina,2020-05-25,-38.4161,-63.6167,45433446,11684,,samples tested,12628,7553,467,12628,8020,4608,675.5,393.167,12.5,405.667,269.833,11.222,25.222,-0.05556,25.167,-13.94444,-2.75694,,,0.05823,0.03698,277.945,10.279,166.243,176.522,101.423,,
Armenia,2020-05-25,40.069,45.038,2938968,4212,,,7113,4321,87,7113,4408,2705,381.333,225.167,6.5,231.667,149.667,2.694,12.556,0.5833,13.139,-10.44444,-3.3125,,,0.01974,0.01223,2420.237,29.602,1470.244,1499.846,920.391,,
Australia,2020-05-25,-31.99619,141.233,25731295,57396,1244200,samples tested,7126,6861,102,7126,6963,163,11.0,15.0,0.3333,15.333,-4.33333,0.6111,-0.44444,-0.02778,-0.47222,1.083,0.09722,,,0.01465,0.01431,276.939,3.964,266.64,270.604,6.335,174.6,48353.571
Austria,2020-05-25,47.516,14.55,8937767,51500,405341,samples tested,16539,15353,641,16539,15994,545,32.0,44.667,5.5,50.167,-18.16667,-0.72222,-2.27778,0.5,-1.77778,1.056,,,,0.04008,0.03876,1850.462,71.718,1717.767,1789.485,60.977,24.508,45351.484
Azerbaijan,2020-05-25,40.143,47.577,10175641,4722,,,4271,3028,51,4271,3079,1192,150.667,104.5,1.667,106.167,44.5,13.056,3.917,0.05556,3.972,9.083,1.729,-0.63194,,0.01656,0.01194,419.728,5.012,297.573,302.585,117.142,,
Bahamas,2020-05-25,25.034,-77.3963,396839,32218,,,100,81,11,100,92,8,0.6667,0.6667,0.0,0.6667,0.0,-0.05556,0.0,,,,,,,0.1196,0.11,251.991,27.719,204.113,231.832,20.159,,
Bahrain,2020-05-25,26.028,50.55,1726667,24051,283884,units unclear,9171,6460,14,9171,6474,2697,273.0,250.5,0.5,251.0,22.0,16.333,1.222,0.08333,1.306,15.028,,,,0.00216,0.00153,5311.389,8.108,3741.312,3749.42,1561.969,30.955,164411.551
Bangladesh,2020-05-25,23.685,90.356,165611088,1698,253034,samples tested,35585,20877,501,35585,21378,14207,1686.0,1214.667,21.167,1235.833,450.167,30.667,46.222,0.5,46.722,-16.05556,23.722,,,0.02344,0.01408,214.871,3.025,126.06,129.086,85.785,7.111,1527.881
