country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-05-22,33.0,65.0,39653765,,,,9216,5154,205,9216,5359,3857,586.667,340.667,6.833,347.5,239.167,27.944,21.75,-0.19444,21.556,6.389,-5.1875,,,0.03825,0.02224,232.412,5.17,129.975,135.145,97.267,,
Albania,2020-05-22,41.153,20.168,2842650,5269,,,981,836,31,981,867,114,9.167,10.0,0.1667,10.167,-1.0,1.306,-0.16667,,,,,,,0.03576,0.0316,345.101,10.905,294.092,304.997,40.103,,
Algeria,2020-05-22,28.034,1.66,43697354,4115,,,7918,5428,582,7918,6010,1908,187.667,165.167,8.0,173.167,14.5,-0.5,1.0,0.2222,1.222,-1.72222,-1.38194,,,0.09684,0.0735,181.201,13.319,124.218,137.537,43.664,,
Andorra,2020-05-22,42.506,1.522,78418,42030,,,762,696,51,762,747,15,0.3333,1.5,0.0,1.5,-1.16667,0.0,-0.13889,,,,,,,0.06827,0.06693,9717.157,650.361,8875.513,9525.874,191.283,,
Angola,2020-05-22,-11.2027,17.874,33046756,3432,,,60,41,3,60,44,16,3.0,1.333,0.1667,1.5,1.5,0.05556,0.1111,0.0,0.1111,-0.05556,-0.125,,,0.06818,0.05,1.816,0.09078,1.241,1.331,0.4842,,
Antigua and Barbuda,2020-05-22,17.061,-61.7964,98848,16727,,,25,22,3,25,25,0,0.0,0.1667,0.0,0.1667,-0.16667,,-0.02778,,,,,,,0.12,0.12,252.914,30.35,222.564,252.914,0.0,,
Argentina,2020-05-22,-38.4161,-63.6167,45433446,11684,121278,samples tested,10649,6467,433,10649,6900,3749,636.5,311.0,12.333,323.333,313.167,33.583,26.139,0.1389,26.278,7.306,-9.46528,,,0.06275,0.04066,234.387,9.53,142.34,151.87,82.516,11.389,2669.355
Armenia,2020-05-22,40.069,45.038,2938968,4212,,,5928,3701,74,5928,3775,2153,345.333,187.0,3.833,190.833,154.5,17.861,12.056,0.5556,12.611,5.25,-2.02778,-1.34375,,0.0196,0.01248,2017.035,25.179,1259.286,1284.464,732.57,,
Australia,2020-05-22,-31.99619,141.233,25731295,57396,1170682,samples tested,7099,6814,101,7099,6915,184,9.0,17.0,0.3333,17.333,-8.33333,0.3056,-0.77778,-0.02778,-0.80556,1.111,,,,0.01461,0.01423,275.89,3.925,264.814,268.739,7.151,164.908,45496.428
Austria,2020-05-22,47.516,14.55,8937767,51500,390488,samples tested,16436,15199,635,16436,15834,602,36.333,54.333,1.5,55.833,-19.5,-1.19444,-2.61111,0.75,-1.86111,0.6667,,,,0.0401,0.03863,1838.938,71.047,1700.537,1771.583,67.355,23.758,43689.66
Azerbaijan,2020-05-22,40.143,47.577,10175641,4722,,,3855,2730,46,3855,2776,1079,125.5,96.5,1.667,98.167,27.333,5.194,2.528,0.0,2.528,2.667,2.563,0.2674,,0.01657,0.01193,378.846,4.521,268.288,272.808,106.038,,
Bahamas,2020-05-22,25.034,-77.3963,396839,32218,,,97,79,11,97,90,7,0.6667,0.6667,0.0,0.6667,0.0,0.08333,-0.02778,,,,-0.02778,-0.01042,,0.1222,0.1134,244.432,27.719,199.073,226.792,17.639,,
Bahrain,2020-05-22,26.028,50.55,1726667,24051,269179,units unclear,8414,5690,12,8414,5702,2712,273.167,248.833,0.3333,249.167,24.0,-0.80556,3.306,,,,,,,0.0021,0.00143,4872.972,6.95,3295.366,3302.316,1570.656,31.992,155895.144
Bangladesh,2020-05-22,23.685,90.356,165611088,1698,223841,samples tested,30205,17406,432,30205,17838,12367,1744.0,1068.0,21.833,1089.833,654.167,25.167,52.25,0.25,52.5,-27.33333,-6.11111,,,0.02422,0.0143,182.385,2.609,105.102,107.71,74.675,7.411,1351.606
Barbados,2020-05-22,13.194,-59.5432,288373,17949,,,90,78,7,90,85,5,0.3333,0.6667,0.0,0.6667,-0.33333,-0.05556,0.0,,,,,,,0.08235,0.07778,312.096,24.274,270.483,294.757,17.339,,
Belarus,2020-05-22,53.71,27.953,9429921,6330,419004,samples tested,34303,24264,190,34303,24454,9849,939.333,888.667,4.833,893.5,45.833,-1.86111,4.139,-0.02778,4.111,-5.97222,,,,0.00777,0.00554,3637.676,20.149,2573.086,2593.235,1044.441,12.215,44433.458
Belgium,2020-05-22,50.833,4.0,11572730,47472,627581,units unclear,56511,42892,9212,56511,52104,4407,258.5,377.5,34.0,411.5,-153.0,-5.11111,-14.80556,-0.86111,-15.66667,10.556,,,,0.1768,0.163,4883.117,796.009,3706.299,4502.308,380.809,11.105,54229.296
Belize,2020-05-22,13.194,-59.5432,402155,4885,,,18,16,2,18,18,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.1111,0.1111,44.759,4.973,39.786,44.759,0.0,,
Benin,2020-05-22,9.308,2.316,12160701,1241,,,135,208,3,135,211,-76,10.167,-7.0,0.1667,-6.83333,17.0,,-0.5,-0.02778,-0.52778,,,,,0.01422,0.02222,11.101,0.2467,17.104,17.351,-6.24964,,
Bhutan,2020-05-22,27.514,90.434,775132,3243,,,21,15,0,21,15,6,1.0,0.6667,,,,,0.0,,,,0.00694,,,0.0,0.0,27.092,0.0,19.352,19.352,7.741,,
Bolivia,2020-05-22,-16.2902,-63.5887,11736772,3549,20096,units unclear,5579,2961,230,5579,3191,2388,363.167,195.333,12.0,207.333,155.833,29.306,13.389,-0.05556,13.333,15.972,4.576,-0.40104,-0.87543,0.07208,0.04123,475.344,19.597,252.284,271.881,203.463,3.602,1712.225
Bosnia and Herzegovina,2020-05-22,43.916,17.679,3279568,6066,,,2372,1942,141,2372,2083,289,14.167,24.667,2.0,26.667,-12.5,-0.41667,-1.05556,0.0,-1.05556,0.6389,,,,0.06769,0.05944,723.266,42.993,592.151,635.145,88.121,,
Botswana,2020-05-22,-22.3285,24.685,2334686,8259,,,30,23,1,30,24,6,1.667,0.5,0.0,0.5,1.167,-0.02778,0.05556,,,,-0.13194,,,0.04167,0.03333,12.85,0.4283,9.851,10.28,2.57,,
Brazil,2020-05-22,-14.235,-51.9253,213724406,9001,132467,samples tested,330890,173782,21048,330890,194830,136060,17168.833,10823.833,915.0,11738.833,5430.0,276.917,515.472,8.889,524.361,-247.44444,112.201,,,0.108,0.06361,1548.209,98.482,813.113,911.595,636.614,0.4003,619.803
Brunei,2020-05-22,4.535,114.728,441178,31628,,,141,146,1,141,147,-6,0.0,-0.5,0.0,-0.5,0.5,,,,,,,,,0.0068,0.00709,319.599,2.267,330.932,333.199,-13.59995,,
Bulgaria,2020-05-22,42.734,25.486,6908148,9272,71605,samples tested,2372,1829,125,2372,1954,418,29.0,34.5,3.0,37.5,-8.5,-2.55556,-0.47222,-0.30556,-0.77778,-1.77778,,,,0.06397,0.0527,343.363,18.095,264.76,282.854,60.508,30.188,10365.296
Burkina Faso,2020-05-22,12.238,-1.5616,20953200,715,,,814,691,52,814,743,71,6.0,6.333,0.1667,6.5,-0.5,0.02778,-0.25,0.0,-0.25,0.2778,,,,0.06999,0.06388,38.848,2.482,32.978,35.46,3.389,,
Burma,2020-05-22,21.916,95.956,,,,,199,168,6,199,174,25,1.667,2.333,0.0,2.333,-0.66667,-0.27778,-0.08333,,,,,,,0.03448,0.03015,,,,,,,
Burundi,2020-05-22,-3.3731,29.919,11893778,272,,,42,22,1,42,23,19,0.0,1.833,0.0,1.833,-1.83333,-0.75,-0.05556,,,,,,,0.04348,0.02381,3.531,0.08408,1.85,1.934,1.597,,
Cabo Verde,2020-05-22,16.539,-23.0418,558398,3635,,,362,261,3,362,264,98,9.167,9.0,0.0,9.0,0.1667,-0.16667,-0.16667,,,,-0.125,,,0.01136,0.00829,648.283,5.373,467.409,472.781,175.502,,
Cambodia,2020-05-22,11.55,104.917,16782527,1510,,,123,122,0,123,122,1,0.3333,0.1667,,,,0.0,0.0,,,,,,,0.0,0.0,7.329,0.0,7.269,7.269,0.05959,,
Cameroon,2020-05-22,3.848,11.502,26614607,1534,,,4400,2679,159,4400,2838,1562,226.833,125.167,4.167,129.333,97.5,-7.19444,9.361,-0.08333,9.278,-16.47222,-8.82639,,,0.05603,0.03614,165.323,5.974,100.659,106.633,58.69,,
Central African Republic,2020-05-22,6.611,20.939,4796900,476,,,479,228,0,479,228,251,47.667,23.167,,,,3.444,1.583,,,,,-0.01736,,0.0,0.0,99.856,0.0,47.531,47.531,52.325,,
Chad,2020-05-22,15.454,18.732,16575069,728,,,611,309,58,611,367,244,23.667,21.833,0.8333,22.667,1.0,-0.61111,0.1389,-0.02778,0.1111,-0.72222,,,,0.158,0.09493,36.863,3.499,18.642,22.142,14.721,,
Chile,2020-05-22,-35.6751,-71.543,19148883,15923,442093,samples tested,61857,35053,630,61857,35683,26174,4069.667,2203.167,42.0,2245.167,1824.5,129.361,151.167,1.417,152.583,-23.22222,-35.09722,,,0.01766,0.01018,3230.319,32.9,1830.551,1863.451,1366.868,7.147,23087.143
China,2020-05-22,32.828,111.649,1407987086,9771,,,84081,79327,4638,84081,83965,116,6.5,10.5,0.0,10.5,-4.0,-0.33333,-0.44444,,,,-0.03472,,,0.05524,0.05516,59.717,3.294,56.341,59.635,0.08239,,
Colombia,2020-05-22,4.571,-74.2973,50907732,6668,235948,samples tested,19131,12007,682,19131,12689,6442,841.0,565.667,22.833,588.5,252.5,22.722,21.694,0.8611,22.556,0.1667,-3.88889,,,0.05375,0.03565,375.798,13.397,235.858,249.255,126.543,12.333,4634.817
Comoros,2020-05-22,-11.6455,43.333,872888,1415,,,78,12,1,78,13,65,12.667,3.667,0.0,3.667,9.0,-1.61111,0.6667,,,,-0.60417,,,0.07692,0.01282,89.359,1.146,13.747,14.893,74.465,,
Congo-Brazzaville,2020-05-22,-4.0383,21.759,5554412,2148,,,469,320,16,469,336,133,11.167,11.333,0.1667,11.5,-0.33333,0.6667,0.1667,0.05556,0.2222,0.4444,-0.20139,,,0.04762,0.03412,84.437,2.881,57.612,60.492,23.945,,
Congo-Kinshasa,2020-05-22,-4.0383,21.759,89656528,562,,,1945,1125,63,1945,1188,757,111.333,64.833,1.0,65.833,45.5,6.25,3.389,0.1111,3.5,2.75,0.2708,-0.28299,,0.05303,0.03239,21.694,0.7027,12.548,13.251,8.443,,
Costa Rica,2020-05-22,9.749,-83.7534,5130266,12027,15704,people tested,911,799,10,911,809,102,11.5,9.333,0.0,9.333,2.167,0.8611,0.1111,,,,,0.01562,,0.01236,0.01098,177.574,1.949,155.742,157.692,19.882,17.238,3061.05
Cote d'Ivoire,2020-05-22,7.54,-5.5471,26269866,1716,,,2341,1780,29,2341,1809,532,45.0,46.0,0.3333,46.333,-1.33333,0.5556,-0.27778,-0.02778,-0.30556,0.8611,,,,0.01603,0.01239,89.114,1.104,67.758,68.862,20.251,,
Croatia,2020-05-22,45.1,15.2,4047622,14915,59911,people tested,2243,2049,99,2243,2148,95,2.0,8.0,0.6667,8.667,-6.66667,-0.47222,-0.58333,-0.02778,-0.61111,0.1389,,,,0.04609,0.04414,554.153,24.459,506.223,530.682,23.471,26.71,14801.53
Cuba,2020-05-22,22.0,-80.0,11361908,8822,92629,samples tested,1916,1643,81,1916,1724,192,10.0,17.667,0.5,18.167,-8.16667,0.3611,-0.75,-0.02778,-0.77778,1.139,,,,0.04698,0.04228,168.634,7.129,144.606,151.735,16.899,48.345,8152.592
Cyprus,2020-05-22,35.126,33.43,1220282,28690,,,927,865,17,927,882,45,3.167,4.0,0.0,4.0,-0.83333,0.02778,-0.13889,,,,-0.07639,,,0.01927,0.01834,759.66,13.931,708.853,722.784,36.877,,
Czech Republic,2020-05-22,49.818,15.473,10672417,23069,395317,samples tested,8813,7829,312,8813,8141,672,59.167,60.0,2.5,62.5,-3.33333,-0.86111,0.05556,-0.25,-0.19444,-0.66667,,,,0.03832,0.0354,825.774,29.234,733.573,762.808,62.966,44.856,37041.0
Denmark,2020-05-22,63.288,-13.3381,5846408,61391,523697,samples tested,11428,9877,561,11428,10438,990,57.333,90.333,2.0,92.333,-35.0,-2.44444,-2.94444,-0.30556,-3.25,0.8056,,,,0.05375,0.04909,1954.704,95.956,1689.413,1785.37,169.335,45.826,89575.856
Diamond Princess,2020-05-22,0.0,0.0,,,,,712,699,13,712,712,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.01826,0.01826,,,,,,,
Djibouti,2020-05-22,11.825,42.59,990313,3083,,,2270,1339,10,2270,1349,921,141.667,64.333,1.167,65.5,76.167,-8.19444,6.222,0.1111,6.333,-14.52778,0.5278,,,0.00741,0.00441,2292.205,10.098,1352.098,1362.196,930.009,,
Dominica,2020-05-22,15.415,-61.371,71848,7691,,,16,16,0,16,16,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,222.692,0.0,222.692,222.692,0.0,,
Dominican Republic,2020-05-22,18.736,-70.1627,10898284,8051,,,13989,10203,456,13989,10659,3330,308.333,308.0,3.167,311.167,-2.83333,5.556,1.722,0.02778,1.75,3.806,,,,0.04278,0.0326,1283.597,41.841,936.202,978.044,305.553,,
Ecuador,2020-05-22,-1.8312,-78.1834,17659604,6345,59535,units unclear,35828,26840,3056,35828,29896,5932,534.0,476.0,60.667,536.667,-2.66667,-11.72222,-0.66667,-3.08333,-3.75,-7.97222,,,,0.1022,0.0853,2028.811,173.05,1519.853,1692.903,335.908,1.662,3371.253
Egypt,2020-05-22,26.0,30.0,102413231,2549,,,15786,9567,707,15786,10274,5512,747.167,461.667,20.667,482.333,264.833,26.111,23.25,1.194,24.444,1.667,3.861,,,0.06881,0.04479,154.14,6.903,93.416,100.319,53.821,,
El Salvador,2020-05-22,13.794,-88.8965,6482845,4058,70225,samples tested,1725,1015,33,1725,1048,677,80.833,60.5,0.8333,61.333,19.5,0.25,1.833,-0.02778,1.806,-1.55556,-0.23611,,,0.03149,0.01913,266.087,5.09,156.567,161.657,104.429,40.71,10832.435
Equatorial Guinea,2020-05-22,1.5,10.0,1425866,10144,,,960,545,11,960,556,404,36.333,33.5,0.8333,34.333,2.0,-7.86111,0.8333,-0.08333,0.75,-8.61111,,,,0.01978,0.01146,673.275,7.715,382.224,389.938,283.337,,
Eritrea,2020-05-22,15.179,39.782,3336933,308,,,39,39,0,39,39,0,0.0,0.1667,,,,,-0.02778,,,,,,,0.0,0.0,11.687,0.0,11.687,11.687,0.0,,
Estonia,2020-05-22,58.595,25.014,1313895,23247,75242,samples tested,1807,1658,64,1807,1722,85,5.5,7.833,0.1667,8.0,-2.5,0.1944,-0.13889,0.02778,-0.11111,0.3056,-0.00694,-0.02951,,0.03717,0.03542,1375.3,48.71,1261.897,1310.607,64.693,41.639,57266.372
Eswatini,2020-05-22,-26.5225,31.466,1151731,4146,,,225,165,2,225,167,58,8.0,5.667,0.0,5.667,2.333,0.8611,0.1389,,,,-0.18056,-0.08681,,0.01198,0.00889,195.358,1.737,143.263,144.999,50.359,,
Ethiopia,2020-05-22,9.145,40.49,115468813,772,73164,samples tested,433,261,5,433,266,167,48.333,16.5,0.0,16.5,31.833,7.528,2.194,,,,0.3889,-0.27604,,0.0188,0.01155,3.75,0.0433,2.26,2.304,1.446,168.97,633.626
Fiji,2020-05-22,-17.7134,178.065,891926,6267,,,18,18,0,18,18,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,20.181,0.0,20.181,20.181,0.0,,
Finland,2020-05-22,64.0,26.0,5554574,50175,170035,samples tested,6537,5514,306,6537,5820,717,33.333,64.333,1.167,65.5,-32.16667,-1.25,-2.88889,-0.05556,-2.94444,1.694,,,,0.05258,0.04681,1176.868,55.09,992.695,1047.785,129.083,26.011,30611.708
France,2020-05-22,8.306,5.429,67687174,41470,,people tested,182354,145213,28292,182354,173505,8849,355.667,748.833,72.5,821.333,-465.66667,35.722,-33.08333,-10.75,-43.83333,79.556,,6.49,,0.1631,0.1551,2694.07,417.982,2145.355,2563.336,130.734,,
Gabon,2020-05-22,-0.8037,11.609,2251673,7953,,,1728,973,12,1728,985,743,105.5,67.5,0.3333,67.833,37.667,8.194,2.889,0.02778,2.917,5.278,0.07639,,,0.01218,0.00694,767.429,5.329,432.123,437.453,329.977,,
