country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-04-07,33.0,65.0,39653765,,,,423,162,14,423,176,247,37.0,19.167,1.333,20.5,16.5,1.556,1.361,-0.08333,1.278,0.2778,0.4861,0.1128,,0.07955,0.0331,10.667,0.3531,4.085,4.438,6.229,,
Albania,2020-04-07,41.153,20.168,2842650,5269,,,383,205,22,383,227,156,13.833,13.833,0.5,14.333,-0.5,-1.11111,0.3611,-0.16667,0.1944,-1.30556,,,,0.09692,0.05744,134.733,7.739,72.116,79.855,54.878,,
Algeria,2020-04-07,28.034,1.66,43697354,4115,,,1468,495,193,1468,688,780,85.0,51.5,21.0,72.5,12.5,-2.94444,2.056,-0.41667,1.639,-4.58333,,,,0.2805,0.1315,33.595,4.417,11.328,15.745,17.85,,
Andorra,2020-04-07,42.506,1.522,78418,42030,,,545,287,22,545,309,236,22.5,19.5,1.5,21.0,1.5,-1.5,0.1389,-0.02778,0.1111,-1.61111,,,,0.0712,0.04037,6949.935,280.548,3659.874,3940.422,3009.513,,
Angola,2020-04-07,-11.2027,17.874,33046756,3432,,,17,5,2,17,7,10,1.5,0.8333,0.0,0.8333,0.6667,-0.19444,0.05556,,,,,,,0.2857,0.1176,0.5144,0.06052,0.1513,0.2118,0.3026,,
Antigua and Barbuda,2020-04-07,17.061,-61.7964,98848,16727,,,19,7,1,19,8,11,0.6667,0.5,,,,-0.22222,0.02778,,,,,,,0.125,0.05263,192.214,10.117,70.816,80.932,111.282,,
Argentina,2020-04-07,-38.4161,-63.6167,45433446,11684,,,1628,764,56,1628,820,808,87.333,67.667,6.5,74.167,13.167,0.1667,1.389,0.3611,1.75,-1.58333,,,,0.06829,0.0344,35.833,1.233,16.816,18.048,17.784,,
Armenia,2020-04-07,40.069,45.038,2938968,4212,,,853,474,8,853,482,371,27.833,34.0,0.8333,34.833,-7.0,-2.66667,-0.25,0.05556,-0.19444,-2.47222,,,,0.0166,0.00938,290.238,2.722,161.281,164.003,126.235,,
Australia,2020-04-07,-31.99619,141.233,25731295,57396,310700,samples tested,5895,3556,45,5895,3601,2294,110.833,210.833,4.0,214.833,-104.0,-16.02778,-8.16667,-0.25,-8.41667,-7.61111,,,,0.0125,0.00763,229.098,1.749,138.197,139.946,89.152,52.706,12074.791
Austria,2020-04-07,47.516,14.55,8937767,51500,115235,samples tested,12639,7697,243,12639,7940,4699,295.667,413.167,22.167,435.333,-139.66667,-14.61111,-14.27778,0.7778,-13.5,-1.11111,,,,0.0306,0.01923,1414.112,27.188,861.177,888.365,525.747,9.117,12893.041
Azerbaijan,2020-04-07,40.143,47.577,10175641,4722,,,717,292,8,717,300,417,78.333,36.833,0.8333,37.667,40.667,2.028,3.444,0.02778,3.472,-1.44444,-2.21528,,,0.02667,0.01116,70.462,0.7862,28.696,29.482,40.98,,
Bahamas,2020-04-07,25.034,-77.3963,396839,32218,,,33,14,6,33,20,13,2.333,0.5,0.6667,1.167,1.167,0.05556,,-0.08333,,,-0.09028,,,0.3,0.1818,83.157,15.119,35.279,50.398,32.759,,
Bahrain,2020-04-07,26.028,50.55,1726667,24051,50127,units unclear,811,492,5,811,497,314,39.5,26.167,0.3333,26.5,13.0,8.556,1.639,0.0,1.639,6.917,2.875,-0.41146,-0.60894,0.01006,0.00617,469.691,2.896,284.942,287.838,181.853,61.809,29031.075
Bangladesh,2020-04-07,23.685,90.356,165611088,1698,4402,samples tested,164,45,17,164,62,102,59.0,6.167,3.167,9.333,49.667,14.694,3.417,0.3056,3.722,10.972,1.924,0.2778,0.03602,0.2742,0.1037,0.9903,0.1027,0.2717,0.3744,0.6159,26.841,26.58
