country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-02-16,33.0,65.0,39653765,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Albania,2020-02-16,41.153,20.168,2842650,5269,,,0,1820,0,0,1820,-1820,,-175.83333,,,,,,,,,,,,0.0,,0.0,0.0,640.248,640.248,-640.24766,,
Algeria,2020-02-16,28.034,1.66,43697354,4115,,,0,121,0,0,121,-121,,-11.66667,,,,,,,,,,,,0.0,,0.0,0.0,2.769,2.769,-2.76905,,
Andorra,2020-02-16,42.506,1.522,78418,42030,,,0,916,0,0,916,-916,,-88.5,,,,,,,,,,,,0.0,,0.0,0.0,11680.992,11680.992,-11680.99161,,
Angola,2020-02-16,-11.2027,17.874,33046756,3432,,,0,77,0,0,77,-77,,-7.33333,,,,,,,,,,,,0.0,,0.0,0.0,2.33,2.33,-2.33003,,
Antigua and Barbuda,2020-02-16,17.061,-61.7964,98848,16727,,,0,10,0,0,10,-10,,-1.0,,,,,,,,,,,,0.0,,0.0,0.0,101.165,101.165,-101.16543,,
Argentina,2020-02-16,-38.4161,-63.6167,45433446,11684,,,0,2,0,0,2,-2,,-0.16667,,,,,,,,,,,,0.0,,0.0,0.0,0.04402,0.04402,-0.04402,,
Armenia,2020-02-16,40.069,45.038,2938968,4212,,,0,2196,0,0,2196,-2196,,-212.16667,,,,,,,,,,,,0.0,,0.0,0.0,747.201,747.201,-747.20106,,
Australia,2020-02-16,-31.99619,141.233,25731295,57396,,,15,1192,0,15,1192,-1177,0.0,-113.83333,,,,,,,,,,,,0.0,0.0,0.5829,0.0,46.325,46.325,-45.74197,,
Austria,2020-02-16,47.516,14.55,8937767,51500,,,0,669,0,0,669,-669,,-64.5,,,,,,,,,,,,0.0,,0.0,0.0,74.851,74.851,-74.85091,,
Azerbaijan,2020-02-16,40.143,47.577,10175641,4722,,,0,1556,0,0,1556,-1556,,-150.33333,,,,,,,,,,,,0.0,,0.0,0.0,152.914,152.914,-152.9142,,
Bahamas,2020-02-16,25.034,-77.3963,396839,32218,,,0,710,0,0,710,-710,,-68.66667,,,,,,,,,,,,0.0,,0.0,0.0,1789.139,1789.139,-1789.13867,,
Bahrain,2020-02-16,26.028,50.55,1726667,24051,,,0,9,0,0,9,-9,,-0.83333,,,,,,,,,,,,0.0,,0.0,0.0,5.212,5.212,-5.21235,,
Bangladesh,2020-02-16,23.685,90.356,165611088,1698,,,0,1362,0,0,1362,-1362,,-131.5,,,,,,,,,,,,0.0,,0.0,0.0,8.224,8.224,-8.22409,,
Barbados,2020-02-16,13.194,-59.5432,288373,17949,,,0,6173,0,0,6173,-6173,,-596.5,,,,,,,,,,,,0.0,,0.0,0.0,21406.304,21406.304,-21406.30364,,
Belarus,2020-02-16,53.71,27.953,9429921,6330,,,0,9,0,0,9,-9,,-0.83333,,,,,,,,,,,,0.0,,0.0,0.0,0.9544,0.9544,-0.95441,,
Belgium,2020-02-16,50.833,4.0,11572730,47472,,,1,4371,0,1,4371,-4370,0.0,-422.16667,,,,,,,,,,,,0.0,0.0,0.08641,0.0,377.698,377.698,-377.61185,,
Belize,2020-02-16,13.194,-59.5432,402155,4885,,,0,5419,0,0,5419,-5419,,-523.5,,,,,,,,,,,,0.0,,0.0,0.0,13474.904,13474.904,-13474.90395,,
Benin,2020-02-16,9.308,2.316,12160701,1241,,,0,2,0,0,2,-2,,-0.16667,,,,,,,,,,,,0.0,,0.0,0.0,0.1645,0.1645,-0.16446,,
Bhutan,2020-02-16,27.514,90.434,775132,3243,,,0,31,0,0,31,-31,,-3.0,,,,,,,,,,,,0.0,,0.0,0.0,39.993,39.993,-39.99319,,
Bolivia,2020-02-16,-16.2902,-63.5887,11736772,3549,,,0,5,0,0,5,-5,,-0.33333,,,,,,,,,,,,0.0,,0.0,0.0,0.426,0.426,-0.42601,,
Bosnia and Herzegovina,2020-02-16,43.916,17.679,3279568,6066,,,0,1283,0,0,1283,-1283,,-124.0,,,,,,,,,,,,0.0,,0.0,0.0,391.21,391.21,-391.21006,,
Botswana,2020-02-16,-22.3285,24.685,2334686,8259,,,0,250,0,0,250,-250,,-24.0,,,,,,,,,,,,0.0,,0.0,0.0,107.081,107.081,-107.08078,,
Brazil,2020-02-16,-14.235,-51.9253,213724406,9001,,,0,4,0,0,4,-4,,-0.5,,,,,,,,,,,,0.0,,0.0,0.0,0.01872,0.01872,-0.01872,,
Brunei,2020-02-16,4.535,114.728,441178,31628,,,0,63144,0,0,63144,-63144,,-6100.66667,,,,,,,,,,,,0.0,,0.0,0.0,143125.904,143125.904,-143125.90383,,
Bulgaria,2020-02-16,42.734,25.486,6908148,9272,,,0,13,0,0,13,-13,,-1.16667,,,,,,,,,,,,0.0,,0.0,0.0,1.882,1.882,-1.88184,,
Burkina Faso,2020-02-16,12.238,-1.5616,20953200,715,,,0,265,0,0,265,-265,,-25.66667,,,,,,,,,,,,0.0,,0.0,0.0,12.647,12.647,-12.64723,,
Burma,2020-02-16,21.916,95.956,,,,,0,80,0,0,80,-80,,-7.83333,,,,,,,,,,,,0.0,,,,,,,,
Burundi,2020-02-16,-3.3731,29.919,11893778,272,,,0,22,0,0,22,-22,,-2.0,,,,,,,,,,,,0.0,,0.0,0.0,1.85,1.85,-1.84971,,
Cabo Verde,2020-02-16,16.539,-23.0418,558398,3635,,,0,7,0,0,7,-7,,-0.66667,,,,,,,,,,,,0.0,,0.0,0.0,12.536,12.536,-12.53586,,
Cambodia,2020-02-16,11.55,104.917,16782527,1510,,,1,55,0,1,55,-54,0.0,-5.33333,,,,,,,,,,,,0.0,0.0,0.05959,0.0,3.277,3.277,-3.21763,,
Cameroon,2020-02-16,3.848,11.502,26614607,1534,,,0,12,0,0,12,-12,,-1.0,,,,,,,,,,,,0.0,,0.0,0.0,0.4509,0.4509,-0.45088,,
Central African Republic,2020-02-16,6.611,20.939,4796900,476,,,0,700,0,0,700,-700,,-67.66667,,,,,,,,,,,,0.0,,0.0,0.0,145.928,145.928,-145.92758,,
Chad,2020-02-16,15.454,18.732,16575069,728,,,0,148,0,0,148,-148,,-14.33333,,,,,,,,,,,,0.0,,0.0,0.0,8.929,8.929,-8.92907,,
Chile,2020-02-16,-35.6751,-71.543,19148883,15923,,,0,73,0,0,73,-73,,-7.16667,,,,,,,,,,,,0.0,,0.0,0.0,3.812,3.812,-3.81223,,
China,2020-02-16,32.828,111.649,1407987086,9771,,,70513,45091,1766,70513,46857,23656,2454.0,1948.0,124.5,2072.5,381.5,-601.97222,133.583,-2.13889,131.444,-733.41667,,,,0.03769,0.02505,50.081,1.254,32.025,33.279,16.801,,
Colombia,2020-02-16,4.571,-74.2973,50907732,6668,,,0,7773,0,0,7773,-7773,,-751.0,,,,,,,,,,,,0.0,,0.0,0.0,152.688,152.688,-152.688,,
Comoros,2020-02-16,-11.6455,43.333,872888,1415,,,0,3562,0,0,3562,-3562,,-344.16667,,,,,,,,,,,,0.0,,0.0,0.0,4080.707,4080.707,-4080.7068,,
Congo-Brazzaville,2020-02-16,-4.0383,21.759,5554412,2148,,,0,13,0,0,13,-13,,-1.16667,,,,,,,,,,,,0.0,,0.0,0.0,2.34,2.34,-2.34048,,
Congo-Kinshasa,2020-02-16,-4.0383,21.759,89656528,562,,,0,63,0,0,63,-63,,-6.0,,,,,,,,,,,,0.0,,0.0,0.0,0.7027,0.7027,-0.70268,,
Costa Rica,2020-02-16,9.749,-83.7534,5130266,12027,,,0,358,0,0,358,-358,,-34.5,,,,,,,,,,,,0.0,,0.0,0.0,69.782,69.782,-69.78196,,
Cote d'Ivoire,2020-02-16,7.54,-5.5471,26269866,1716,,,0,128,0,0,128,-128,,-12.33333,,,,,,,,,,,,0.0,,0.0,0.0,4.873,4.873,-4.8725,,
Croatia,2020-02-16,45.1,15.2,4047622,14915,,,0,367,0,0,367,-367,,-35.33333,,,,,,,,,,,,0.0,,0.0,0.0,90.671,90.671,-90.67052,,
Cuba,2020-02-16,22.0,-80.0,11361908,8822,,,0,207,0,0,207,-207,,-20.0,,,,,,,,,,,,0.0,,0.0,0.0,18.219,18.219,-18.21877,,
Cyprus,2020-02-16,35.126,33.43,1220282,28690,,,0,197,0,0,197,-197,,-19.16667,,,,,,,,,,,,0.0,,0.0,0.0,161.438,161.438,-161.43809,,
Czech Republic,2020-02-16,49.818,15.473,10672417,23069,78,samples tested,0,89,0,0,89,-89,,-8.5,,,,,,,,,,,,0.0,,0.0,0.0,8.339,8.339,-8.33925,Inf,7.309
Denmark,2020-02-16,63.288,-13.3381,5846408,61391,,samples tested,0,885,0,0,885,-885,,-85.5,,,,,,,,,,,,0.0,,0.0,0.0,151.375,151.375,-151.375,,
Diamond Princess,2020-02-16,0.0,0.0,,,,,355,1203,0,355,1203,-848,74.333,-84.66667,,,,1.639,,,,,-3.3125,,,0.0,0.0,,,,,,,
Djibouti,2020-02-16,11.825,42.59,990313,3083,,,0,66,0,0,66,-66,,-6.33333,,,,,,,,,,,,0.0,,0.0,0.0,66.646,66.646,-66.6456,,
Dominica,2020-02-16,15.415,-61.371,71848,7691,,,0,357,0,0,357,-357,,-34.5,,,,,,,,,,,,0.0,,0.0,0.0,4968.823,4968.823,-4968.82307,,
Dominican Republic,2020-02-16,18.736,-70.1627,10898284,8051,,,0,2,0,0,2,-2,,-0.16667,,,,,,,,,,,,0.0,,0.0,0.0,0.1835,0.1835,-0.18352,,
Ecuador,2020-02-16,-1.8312,-78.1834,17659604,6345,,,0,1814,0,0,1814,-1814,,-175.16667,,,,,,,,,,,,0.0,,0.0,0.0,102.72,102.72,-102.72031,,
Egypt,2020-02-16,26.0,30.0,102413231,2549,,,1,3933,0,1,3933,-3932,,-380.0,,,,,,,,,,,,0.0,0.0,0.00976,0.0,38.403,38.403,-38.39348,,
El Salvador,2020-02-16,13.794,-88.8965,6482845,4058,,,0,3171,0,0,3171,-3171,,-306.5,,,,,,,,,,,,0.0,,0.0,0.0,489.137,489.137,-489.1371,,
Equatorial Guinea,2020-02-16,1.5,10.0,1425866,10144,,,0,278,0,0,278,-278,,-26.83333,,,,,,,,,,,,0.0,,0.0,0.0,194.969,194.969,-194.96923,,
Eritrea,2020-02-16,15.179,39.782,3336933,308,,,0,116,0,0,116,-116,,-11.16667,,,,,,,,,,,,0.0,,0.0,0.0,34.762,34.762,-34.76246,,
Estonia,2020-02-16,58.595,25.014,1313895,23247,,,0,5,0,0,5,-5,,-0.5,,,,,,,,,,,,0.0,,0.0,0.0,3.805,3.805,-3.80548,,
Eswatini,2020-02-16,-26.5225,31.466,1151731,4146,,,0,177,0,0,177,-177,,-17.0,,,,,,,,,,,,0.0,,0.0,0.0,153.682,153.682,-153.68172,,
Ethiopia,2020-02-16,9.145,40.49,115468813,772,,,0,35,0,0,35,-35,,-3.5,,,,,,,,,,,,0.0,,0.0,0.0,0.3031,0.3031,-0.30311,,
Fiji,2020-02-16,-17.7134,178.065,891926,6267,,,0,206,0,0,206,-206,,-19.83333,,,,,,,,,,,,0.0,,0.0,0.0,230.961,230.961,-230.96086,,
Finland,2020-02-16,64.0,26.0,5554574,50175,73,samples tested,1,2,0,1,2,-1,0.0,-0.16667,,,,,,,,,,,,0.0,0.0,0.18,0.0,0.3601,0.3601,-0.18003,73.0,13.142
France,2020-02-16,8.306,5.429,67687174,41470,,,12,643,1,12,644,-632,0.1667,-61.16667,,,,-0.02778,,,,,,,,0.00155,0.08333,0.1773,0.01477,9.5,9.514,-9.33707,,
Gabon,2020-02-16,-0.8037,11.609,2251673,7953,,,0,17533,0,0,17533,-17533,,-1694.0,,,,,,,,,,,,0.0,,0.0,0.0,7786.655,7786.655,-7786.65463,,
Gambia,2020-02-16,13.443,-15.3101,2423338,716,,,0,284,0,0,284,-284,,-27.5,,,,,,,,,,,,0.0,,0.0,0.0,117.194,117.194,-117.19372,,
Georgia,2020-02-16,42.315,43.357,3689506,4723,,,0,3,0,0,3,-3,,-0.16667,,,,,,,,,,,,0.0,,0.0,0.0,0.8131,0.8131,-0.81312,,
Germany,2020-02-16,51.0,9.0,82983285,47616,,,16,86,0,16,86,-70,0.0,-6.83333,,,,-0.05556,,,,,,,,0.0,0.0,0.1928,0.0,1.036,1.036,-0.84354,,
Ghana,2020-02-16,7.946,-1.0232,31239088,2202,,,0,17034,0,0,17034,-17034,,-1645.66667,,,,,,,,,,,,0.0,,0.0,0.0,545.278,545.278,-545.2784,,
Greece,2020-02-16,39.074,21.824,10723526,20317,,,0,891,0,0,891,-891,,-86.16667,,,,,,,,,,,,0.0,,0.0,0.0,83.088,83.088,-83.08834,,
Grenada,2020-02-16,12.116,-61.679,112455,10640,,,0,278,0,0,278,-278,,-26.83333,,,,,,,,,,,,0.0,,0.0,0.0,2472.1,2472.1,-2472.09995,,
Guatemala,2020-02-16,15.784,-90.2308,18016276,4549,,,0,2,0,0,2,-2,,-0.16667,,,,,,,,,,,,0.0,,0.0,0.0,0.111,0.111,-0.11101,,
Guinea,2020-02-16,9.946,-9.6966,12992595,879,,,0,677,0,0,677,-677,,-65.33333,,,,,,,,,,,,0.0,,0.0,0.0,52.107,52.107,-52.1066,,
Guinea-Bissau,2020-02-16,11.804,-15.1804,1969276,778,,,0,373,0,0,373,-373,,-36.16667,,,,,,,,,,,,0.0,,0.0,0.0,189.41,189.41,-189.40971,,
Guyana,2020-02-16,5.0,-58.75,782677,4979,,,0,123,0,0,123,-123,,-11.83333,,,,,,,,,,,,0.0,,0.0,0.0,157.153,157.153,-157.15295,,
Haiti,2020-02-16,18.971,-72.2852,11466044,868,,,0,14,0,0,14,-14,,-1.33333,,,,,,,,,,,,0.0,,0.0,0.0,1.221,1.221,-1.221,,
Holy See,2020-02-16,41.903,12.453,,,,,0,290,0,0,290,-290,,-28.0,,,,,,,,,,,,0.0,,,,,,,,
Honduras,2020-02-16,15.2,-86.2419,9997955,2506,,,0,1,0,0,1,-1,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.1,0.1,-0.10002,,
Hungary,2020-02-16,47.162,19.503,9728346,16151,,,0,627,0,0,627,-627,,-60.66667,,,,,,,,,,,,0.0,,0.0,0.0,64.451,64.451,-64.45083,,
Iceland,2020-02-16,64.963,-19.0208,361714,73368,,,0,363,0,0,363,-363,,-35.0,,,,,,,,,,,,0.0,,0.0,0.0,1003.555,1003.555,-1003.5553,,
India,2020-02-16,21.0,78.0,1390254545,2010,,,3,169,0,3,169,-166,0.0,-16.0,,,,,,,,,,,,0.0,0.0,0.00216,0.0,0.1216,0.1216,-0.1194,,
Indonesia,2020-02-16,-0.7893,113.921,274757901,3894,,,0,23816,0,0,23816,-23816,,-2300.83333,,,,,,,,,,,,0.0,,0.0,0.0,86.68,86.68,-86.67995,,
Iran,2020-02-16,32.0,53.0,83827713,1670,,,0,2934,0,0,2934,-2934,,-283.83333,,,,,,,,,,,,0.0,,0.0,0.0,35.0,35.0,-35.00036,,
Iraq,2020-02-16,33.0,44.0,40593281,,,,0,15557,0,0,15557,-15557,,-1503.16667,,,,,,,,,,,,0.0,,0.0,0.0,383.241,383.241,-383.24076,,
Ireland,2020-02-16,53.142,-7.6921,5002283,78583,,,0,1260,0,0,1260,-1260,,-121.66667,,,,,,,,,,,,0.0,,0.0,0.0,251.885,251.885,-251.88499,,
Israel,2020-02-16,31.0,35.0,9230241,41720,275,samples tested,0,2303,0,0,2303,-2303,,-222.5,,,,,,,,,,,,0.0,,0.0,0.0,249.506,249.506,-249.50594,Inf,29.793
Italy,2020-02-16,43.0,12.0,60821283,34489,,,3,1672,0,3,1672,-1669,0.0,-161.16667,,,,,,,,,,,,0.0,0.0,0.04932,0.0,27.49,27.49,-27.44105,,
Jamaica,2020-02-16,18.11,-77.2975,2967754,5354,,,0,21569,0,0,21569,-21569,,-2083.83333,,,,,,,,,,,,0.0,,0.0,0.0,7267.786,7267.786,-7267.78567,,
Japan,2020-02-16,36.0,138.0,126494270,39290,,people tested,59,75,1,59,76,-17,9.333,-2.83333,0.0,-2.83333,12.167,0.8333,,,,,-0.15278,,,0.01316,0.01695,0.4664,0.00791,0.5929,0.6008,-0.13439,,
Jordan,2020-02-16,31.24,36.51,10718956,4242,,,0,1566,0,0,1566,-1566,,-151.33333,,,,,,,,,,,,0.0,,0.0,0.0,146.096,146.096,-146.09632,,
Kazakhstan,2020-02-16,48.02,66.924,18693685,9815,,,0,77,0,0,77,-77,,-7.5,,,,,,,,,,,,0.0,,0.0,0.0,4.119,4.119,-4.11904,,
Kenya,2020-02-16,-0.0236,37.906,54177517,1711,,,0,1148,0,0,1148,-1148,,-110.83333,,,,,,,,,,,,0.0,,0.0,0.0,21.19,21.19,-21.1896,,
Kosovo,2020-02-16,42.603,20.903,1862192,4302,,,0,253,0,0,253,-253,,-24.5,,,,,,,,,,,,0.0,,0.0,0.0,135.861,135.861,-135.86139,,
Kuwait,2020-02-16,29.5,47.75,4474225,33994,,,0,115,0,0,115,-115,,-11.16667,,,,,,,,,,,,0.0,,0.0,0.0,25.703,25.703,-25.70278,,
