Country,Region,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
United Arab Emirates,Middle East & North Africa,High income,2020-01-22,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-23,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-24,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-25,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-26,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,0.571,0.571,0.0,0.0,0.0,0.571,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-27,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,0.571,0.571,0.0,0.0,0.0,0.571,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-28,23.42,53.85,10373089,43103,,,0,0,0,0,0,0,0.571,0.571,0.143,0.0,0.143,0.429,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-29,23.42,53.85,10373089,43103,75,samples tested,4,0,0,4,0,4,0.571,0.571,0.143,0.0,0.143,0.429,0.0286,0.0571,0.0,0.0571,-0.0286,,,,,0.386,0.0,0.0,0.0,0.386,18.75,7.23
United Arab Emirates,Middle East & North Africa,High income,2020-01-30,23.42,53.85,10373089,43103,,samples tested,4,0,0,4,0,4,0.714,0.714,0.143,0.0,0.143,0.571,0.0286,0.0571,0.0,0.0571,-0.0286,,,,,0.386,0.0,0.0,0.0,0.386,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-31,23.42,53.85,10373089,43103,,samples tested,4,1,0,4,1,3,0.714,0.714,0.286,0.0,0.286,0.429,-0.0857,0.0286,0.0,0.0286,-0.1143,,,,0.0,0.386,0.0,0.0964,0.0964,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-01,23.42,53.85,10373089,43103,258,samples tested,4,1,0,4,1,3,0.714,0.714,0.286,0.0,0.286,0.429,-0.0857,0.0286,0.0,0.0286,-0.1143,-0.0171,,,0.0,0.386,0.0,0.0964,0.0964,0.289,64.5,24.87
United Arab Emirates,Middle East & North Africa,High income,2020-02-02,23.42,53.85,10373089,43103,,samples tested,5,1,0,5,1,4,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.1143,0.0286,0.0,0.0286,-0.1429,-0.0229,,,0.0,0.482,0.0,0.0964,0.0964,0.386,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-03,23.42,53.85,10373089,43103,,samples tested,5,2,0,5,2,3,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.0571,0.0,0.0,0.0,-0.0571,0.0286,,,0.0,0.482,0.0,0.193,0.193,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-04,23.42,53.85,10373089,43103,,samples tested,5,2,0,5,2,3,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.0857,0.0,0.0,0.0,-0.0857,0.0286,0.0057,,0.0,0.482,0.0,0.193,0.193,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-05,23.42,53.85,10373089,43103,,samples tested,5,2,0,5,2,3,0.429,0.429,0.286,0.0,0.286,0.143,0.0571,0.0,0.0,0.0,0.0571,0.0343,0.0091,,0.0,0.482,0.0,0.193,0.193,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-06,23.42,53.85,10373089,43103,,samples tested,5,2,0,5,2,3,0.286,0.286,0.286,0.0,0.286,0.0,0.0571,0.0,0.0,0.0,0.0571,0.0114,-0.0103,,0.0,0.482,0.0,0.193,0.193,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-07,23.42,53.85,10373089,43103,,samples tested,5,3,0,5,3,2,0.429,0.429,0.286,0.0,0.286,0.143,0.0571,0.0,0.0,0.0,0.0571,0.0229,-0.0091,-0.0021,0.0,0.482,0.0,0.289,0.289,0.193,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-08,23.42,53.85,10373089,43103,832,samples tested,7,3,0,7,3,4,0.429,0.429,0.286,0.0,0.286,0.143,0.0,0.0286,0.0,0.0286,-0.0286,-0.0229,-0.0114,-0.0034,0.0,0.675,0.0,0.289,0.289,0.386,118.86,80.21
United Arab Emirates,Middle East & North Africa,High income,2020-02-09,23.42,53.85,10373089,43103,2192,samples tested,7,3,0,7,3,4,0.429,0.429,0.286,0.0,0.286,0.143,0.0286,0.0,0.0,0.0,0.0286,-0.0171,-0.0046,0.0034,0.0,0.675,0.0,0.289,0.289,0.386,313.14,211.32
United Arab Emirates,Middle East & North Africa,High income,2020-02-10,23.42,53.85,10373089,43103,2629,samples tested,8,4,0,8,4,4,0.429,0.429,0.429,0.0,0.429,0.0,-0.0571,0.0,0.0,0.0,-0.0571,-0.0229,-0.008,0.0025,0.0,0.771,0.0,0.386,0.386,0.386,328.62,253.44
United Arab Emirates,Middle East & North Africa,High income,2020-02-11,23.42,53.85,10373089,43103,,samples tested,8,4,0,8,4,4,0.429,0.429,0.286,0.0,0.286,0.143,-0.0286,0.0286,0.0,0.0286,-0.0571,-0.0114,0.0069,0.0046,0.0,0.771,0.0,0.386,0.386,0.386,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-12,23.42,53.85,10373089,43103,,samples tested,8,4,0,8,4,4,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.0571,0.0,0.0,0.0,-0.0571,-0.0171,0.0034,0.0025,0.0,0.771,0.0,0.386,0.386,0.386,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-13,23.42,53.85,10373089,43103,,samples tested,8,5,0,8,5,3,0.286,0.286,0.429,0.0,0.429,-0.1429,-0.0571,-0.0286,0.0,-0.0286,-0.0286,0.0114,0.0114,0.0034,0.0,0.771,0.0,0.482,0.482,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-14,23.42,53.85,10373089,43103,2935,samples tested,8,5,0,8,5,3,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.0571,0.0,0.0,0.0,-0.0571,0.0,0.008,-0.0011,0.0,0.771,0.0,0.482,0.482,0.289,366.88,282.94
United Arab Emirates,Middle East & North Africa,High income,2020-02-15,23.42,53.85,10373089,43103,,samples tested,8,5,0,8,5,3,0.143,0.143,0.286,0.0,0.286,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0343,0.0091,0.0002,0.0,0.771,0.0,0.482,0.482,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-16,23.42,53.85,10373089,43103,5042,samples tested,9,6,0,9,6,3,0.143,0.143,0.286,0.0,0.286,-0.1429,-0.0286,-0.0286,0.0,-0.0286,0.0,0.0286,0.0011,-0.0048,0.0,0.868,0.0,0.578,0.578,0.289,560.22,486.07
United Arab Emirates,Middle East & North Africa,High income,2020-02-17,23.42,53.85,10373089,43103,,samples tested,9,6,0,9,6,3,0.143,0.143,0.286,0.0,0.286,-0.1429,0.114,0.0,0.0,0.0,0.114,0.0286,0.0046,-0.0021,0.0,0.868,0.0,0.578,0.578,0.289,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-18,23.42,53.85,10373089,43103,6693,samples tested,9,6,0,9,6,3,0.143,0.143,0.286,0.0,0.286,-0.1429,0.0857,0.0,0.0,0.0,0.0857,0.0171,-0.0126,-0.0027,0.0,0.868,0.0,0.578,0.578,0.289,743.67,645.23
United Arab Emirates,Middle East & North Africa,High income,2020-02-19,23.42,53.85,10373089,43103,,samples tested,9,6,0,9,6,3,0.714,0.714,0.286,0.0,0.286,0.429,0.0857,0.0,0.0,0.0,0.0857,0.0229,-0.0023,-0.0007,0.0,0.868,0.0,0.578,0.578,0.289,,
