country,region,income_group,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
United Arab Emirates,Middle East & North Africa,High income,2020-01-22,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-23,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-24,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-25,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-26,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-27,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-28,24.0,54.0,10910461,43005,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-29,24.0,54.0,10910461,43005,,,4,0,0,4,0,4,,,,,,,,,,,,,,,0.0,0.3666206221716938,0.0,0.0,0.0,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-30,24.0,54.0,10910461,43005,,,4,0,0,4,0,4,,,,,,,,,,,,,,,0.0,0.3666206221716938,0.0,0.0,0.0,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-01-31,24.0,54.0,10910461,43005,,,4,1,0,4,1,3,,,,,,,,,,,,,,0.0,0.0,0.3666206221716938,0.0,0.09165515554292344,0.09165515554292344,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-01,24.0,54.0,10910461,43005,,,4,1,0,4,1,3,0.16666666666666666,,,,,,,,,,,,,0.0,0.0,0.3666206221716938,0.0,0.09165515554292344,0.09165515554292344,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-02,24.0,54.0,10910461,43005,,,5,1,0,5,1,4,0.16666666666666666,,,,,,,,,,,,,0.0,0.0,0.4582757777146172,0.0,0.09165515554292344,0.09165515554292344,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-03,24.0,54.0,10910461,43005,,,5,2,0,5,2,3,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,0.0,0.0,0.4582757777146172,0.0,0.1833103110858469,0.1833103110858469,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-04,24.0,54.0,10910461,43005,,,5,2,0,5,2,3,0.16666666666666666,0.3333333333333333,,,,0.05555555555555556,,,,,,,,0.0,0.0,0.4582757777146172,0.0,0.1833103110858469,0.1833103110858469,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-05,24.0,54.0,10910461,43005,,,5,2,0,5,2,3,0.3333333333333333,0.3333333333333333,,,,0.05555555555555556,,,,,,,,0.0,0.0,0.4582757777146172,0.0,0.1833103110858469,0.1833103110858469,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-06,24.0,54.0,10910461,43005,,,5,2,0,5,2,3,0.3333333333333333,0.16666666666666666,,,,0.05555555555555556,0.027777777777777776,,,,-0.020833333333333336,,,0.0,0.0,0.4582757777146172,0.0,0.1833103110858469,0.1833103110858469,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-07,24.0,54.0,10910461,43005,,,5,3,0,5,3,2,0.5,0.3333333333333333,,,,0.05555555555555556,0.0,,,,-0.020833333333333336,,,0.0,0.0,0.4582757777146172,0.0,0.2749654666287703,0.2749654666287703,0.1833103110858469,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-08,24.0,54.0,10910461,43005,,,7,3,0,7,3,4,0.5,0.3333333333333333,,,,-0.027777777777777776,0.0,,,,-0.02777777777777778,,,0.0,0.0,0.6415860888004641,0.0,0.2749654666287703,0.2749654666287703,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-09,24.0,54.0,10910461,43005,,,7,3,0,7,3,4,0.5,0.3333333333333333,,,,-0.027777777777777776,0.027777777777777776,,,,-0.02777777777777778,,,0.0,0.0,0.6415860888004641,0.0,0.2749654666287703,0.2749654666287703,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-10,24.0,54.0,10910461,43005,,,8,4,0,8,4,4,0.5,0.3333333333333333,,,,-0.05555555555555556,0.0,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.3666206221716938,0.3666206221716938,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-11,24.0,54.0,10910461,43005,,,8,4,0,8,4,4,0.16666666666666666,0.3333333333333333,,,,-0.05555555555555556,0.0,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.3666206221716938,0.3666206221716938,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-12,24.0,54.0,10910461,43005,,,8,4,0,8,4,4,0.16666666666666666,0.3333333333333333,,,,-0.05555555555555556,0.0,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.3666206221716938,0.3666206221716938,0.3666206221716938,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-13,24.0,54.0,10910461,43005,,,8,5,0,8,5,3,0.16666666666666666,0.3333333333333333,,,,-0.05555555555555556,-0.027777777777777776,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.4582757777146172,0.4582757777146172,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-14,24.0,54.0,10910461,43005,,,8,5,0,8,5,3,0.16666666666666666,0.3333333333333333,,,,0.0,0.0,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.4582757777146172,0.4582757777146172,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-15,24.0,54.0,10910461,43005,,,8,5,0,8,5,3,0.16666666666666666,0.3333333333333333,,,,0.0,0.0,,,,,,,0.0,0.0,0.7332412443433876,0.0,0.4582757777146172,0.4582757777146172,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-16,24.0,54.0,10910461,43005,,,9,6,0,9,6,3,0.16666666666666666,0.16666666666666666,,,,0.08333333333333333,-0.027777777777777776,,,,,,,0.0,0.0,0.8248963998863109,0.0,0.5499309332575406,0.5499309332575406,0.2749654666287703,,
United Arab Emirates,Middle East & North Africa,High income,2020-02-17,24.0,54.0,10910461,43005,,,9,6,0,9,6,3,0.16666666666666666,0.3333333333333333,,,,0.08333333333333333,0.0,,,,,,,0.0,0.0,0.8248963998863109,0.0,0.5499309332575406,0.5499309332575406,0.2749654666287703,,
