Country,Region,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Monaco,Europe & Central Asia,High income,2020-01-22,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-23,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-24,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-25,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-26,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-27,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-28,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-29,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-30,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-01-31,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-01,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-02,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-03,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-04,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-05,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-06,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-07,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-08,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-09,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-10,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-11,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-12,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-13,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-14,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-15,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-16,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-17,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-18,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-19,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-20,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-21,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-22,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-23,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-24,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-25,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-26,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-27,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-28,43.73,7.42,39360,82368,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Monaco,Europe & Central Asia,High income,2020-02-29,43.73,7.42,39360,82368,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-01,43.73,7.42,39360,82368,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-02,43.73,7.42,39360,82368,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-03,43.73,7.42,39360,82368,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-04,43.73,7.42,39360,82368,,,1,0,0,1,0,1,0.0,0.0,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-05,43.73,7.42,39360,82368,,,1,0,0,1,0,1,0.0,0.0,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-06,43.73,7.42,39360,82368,,,1,0,0,1,0,1,0.0,0.0,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-07,43.73,7.42,39360,82368,,,1,0,0,1,0,1,0.0,0.0,,,,,,,,,,,,,,0.0,25.41,0.0,0.0,0.0,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-08,43.73,7.42,39360,82368,,,1,1,0,1,1,0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,25.41,0.0,25.41,25.41,0.0,,
Monaco,Europe & Central Asia,High income,2020-03-09,43.73,7.42,39360,82368,,,1,1,0,1,1,0,0.143,0.143,,,,,,,,,,,,,0.0,0.0,25.41,0.0,25.41,25.41,0.0,,
Monaco,Europe & Central Asia,High income,2020-03-10,43.73,7.42,39360,82368,,,1,1,0,1,1,0,0.143,0.143,,,,,,,,,,,,,0.0,0.0,25.41,0.0,25.41,25.41,0.0,,
Monaco,Europe & Central Asia,High income,2020-03-11,43.73,7.42,39360,82368,,,1,1,0,1,1,0,0.143,0.143,,,,,,,,,,,,,0.0,0.0,25.41,0.0,25.41,25.41,0.0,,
Monaco,Europe & Central Asia,High income,2020-03-12,43.73,7.42,39360,82368,,,2,1,0,2,1,1,0.143,0.143,0.0,,,,0.143,,,,,,,,0.0,0.0,50.81,0.0,25.41,25.41,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-13,43.73,7.42,39360,82368,,,2,1,0,2,1,1,0.857,0.857,0.0,,,,0.143,,,,,,,,0.0,0.0,50.81,0.0,25.41,25.41,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-14,43.73,7.42,39360,82368,,,2,1,0,2,1,1,0.857,0.857,0.143,,,,0.114,,,,,,,,0.0,0.0,50.81,0.0,25.41,25.41,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-15,43.73,7.42,39360,82368,,,2,1,0,2,1,1,0.857,0.857,0.143,,,,0.229,,,,,0.0571,,,0.0,0.0,50.81,0.0,25.41,25.41,25.41,,
Monaco,Europe & Central Asia,High income,2020-03-16,43.73,7.42,39360,82368,,,7,1,0,7,1,6,0.714,0.714,0.286,,,,0.0857,,,,,0.0286,,,0.0,0.0,177.85,0.0,25.41,25.41,152.44,,
Monaco,Europe & Central Asia,High income,2020-03-17,43.73,7.42,39360,82368,,,7,2,0,7,2,5,1.29,1.29,0.286,,,,0.429,0.0571,,,,0.04,,,0.0,0.0,177.85,0.0,50.81,50.81,127.03,,
Monaco,Europe & Central Asia,High income,2020-03-18,43.73,7.42,39360,82368,,,7,2,0,7,2,5,1.29,1.29,0.429,,,,0.286,0.114,,,,0.04,-0.0171,,0.0,0.0,177.85,0.0,50.81,50.81,127.03,,
Monaco,Europe & Central Asia,High income,2020-03-19,43.73,7.42,39360,82368,,,7,3,0,7,3,4,3.0,3.0,0.429,,,,0.314,0.114,,,,0.08,0.0,,0.0,0.0,177.85,0.0,76.22,76.22,101.63,,
Monaco,Europe & Central Asia,High income,2020-03-20,43.73,7.42,39360,82368,,,11,3,0,11,3,8,2.29,2.29,0.714,,,,0.429,0.143,,,,-0.0286,-0.0126,,0.0,0.0,279.47,0.0,76.22,76.22,203.25,,
Monaco,Europe & Central Asia,High income,2020-03-21,43.73,7.42,39360,82368,,,11,4,0,11,4,7,2.29,2.29,0.857,,,,0.486,0.143,,,,0.0286,-0.0229,,0.0,0.0,279.47,0.0,101.63,101.63,177.85,,
Monaco,Europe & Central Asia,High income,2020-03-22,43.73,7.42,39360,82368,,,23,4,0,23,4,19,3.43,3.43,1.0,,,,0.286,0.2,,,,-0.0229,-0.032,-0.0055,0.0,0.0,584.35,0.0,101.63,101.63,482.72,,
Monaco,Europe & Central Asia,High income,2020-03-23,43.73,7.42,39360,82368,,,23,6,0,23,6,17,3.71,3.71,1.14,,,,0.429,0.2,,,,-0.0743,,,0.0,0.0,584.35,0.0,152.44,152.44,431.91,,
Monaco,Europe & Central Asia,High income,2020-03-24,43.73,7.42,39360,82368,,,23,8,0,23,8,15,4.43,4.43,1.43,,,,0.2,0.2,,,,-0.08,-0.0274,,0.0,0.0,584.35,0.0,203.25,203.25,381.1,,
Monaco,Europe & Central Asia,High income,2020-03-25,43.73,7.42,39360,82368,,,31,9,0,31,9,22,4.43,4.43,1.71,,,,0.0571,0.2,,,,-0.0971,,,0.0,0.0,787.6,0.0,228.66,228.66,558.94,,
Monaco,Europe & Central Asia,High income,2020-03-26,43.73,7.42,39360,82368,,,33,11,0,33,11,22,3.29,3.29,1.86,,,,0.0857,0.171,,,,-0.1086,,,0.0,0.0,838.41,0.0,279.47,279.47,558.94,,
Monaco,Europe & Central Asia,High income,2020-03-27,43.73,7.42,39360,82368,,,42,13,0,42,13,29,3.71,3.71,2.0,,,,-0.2,0.171,,,,-0.0457,,,0.0,0.0,1067.07,0.0,330.28,330.28,736.79,,
Monaco,Europe & Central Asia,High income,2020-03-28,43.73,7.42,39360,82368,,,42,16,0,42,16,26,4.14,4.14,2.0,,,,-0.1143,0.114,,,,-0.0229,,,0.0,0.0,1067.07,0.0,406.5,406.5,660.57,,
Monaco,Europe & Central Asia,High income,2020-03-29,43.73,7.42,39360,82368,,,46,17,1,46,18,28,3.43,3.43,2.29,,,,-0.0286,0.114,,,,-0.0286,,,0.0556,0.0217,1168.7,25.41,431.91,457.32,711.38,,
