Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Thailand,2020-01-22,15.0,101.0,70187992,,,2,0,0,0,2,,,,,,,,,,,,,,,0.0,0.034,0.0285,0.0,0.0,0.0,0.0285,,
Thailand,2020-01-23,15.0,101.0,70187992,,,3,0,0,0,3,,,,,,,,,,,,,,,0.0,0.034,0.0427,0.0,0.0,0.0,0.0427,,
Thailand,2020-01-24,15.0,101.0,70187992,,,5,0,0,0,5,,,,,,,,,,,,,,,0.0,0.034,0.0712,0.0,0.0,0.0,0.0712,,
Thailand,2020-01-25,15.0,101.0,70187992,,,7,0,0,0,7,,,,,,,,,,,,,,,0.0,0.034,0.0997,0.0,0.0,0.0,0.0997,,
Thailand,2020-01-26,15.0,101.0,70187992,,,8,2,0,2,6,2.56,,,,,,,,,,,,,0.0,0.0,0.034,0.114,0.0,0.0285,0.0285,0.0855,,
Thailand,2020-01-27,15.0,101.0,70187992,,,8,2,0,2,6,1.97,,,,,,,,,,,,,0.0,0.0,0.034,0.114,0.0,0.0285,0.0285,0.0855,,
Thailand,2020-01-28,15.0,101.0,70187992,,,14,5,0,5,9,2.94,,,,,,,,,,,,,0.0,0.0,0.034,0.199,0.0,0.0712,0.0712,0.128,,
Thailand,2020-01-29,15.0,101.0,70187992,,,14,5,0,5,9,2.15,,,,,-0.0109,,,,,,,,0.0,0.0,0.034,0.199,0.0,0.0712,0.0712,0.128,,
Thailand,2020-01-30,15.0,101.0,70187992,,,14,5,0,5,9,1.84,0.699,,,,-0.066,,,,,,,,0.0,0.0,0.034,0.199,0.0,0.0712,0.0712,0.128,,
Thailand,2020-01-31,15.0,101.0,70187992,,,19,5,0,5,14,2.5,0.699,,,,-0.2754,,,,,,,,0.0,0.0,0.034,0.271,0.0,0.0712,0.0712,0.199,,
Thailand,2020-02-01,15.0,101.0,70187992,,,19,5,0,5,14,1.64,0.0,,,,-0.0858,,,,,,,,0.0,0.0,0.034,0.271,0.0,0.0712,0.0712,0.199,,
Thailand,2020-02-02,15.0,101.0,70187992,,,19,5,0,5,14,1.64,0.0,,,,-0.1887,-0.0,,,,,,,0.0,0.0,0.034,0.271,0.0,0.0712,0.0712,0.199,,
