Key,Group Name,M,β,γ,α,μ
Abreu E Lima,Group 1,99990.0,0.0859,0.236,0.0602,
Acaraú,Group 1,62641.0,0.244,0.134,0.0736,
Acrelândia,Group 1,15256.0,0.0649,0.61,0.0926,
Adamantina,Group 1,35068.0,,,,
Afonso Cláudio,Group 1,30586.0,0.111,0.167,0.123,
Agudos,Group 1,37214.0,0.032,0.337,0.0238,
Alagoa Grande,Group 1,28496.0,,,,
Alcântaras,Group 1,11714.0,0.12,0.37,0.0317,
Alenquer,Group 1,56789.0,,,,
Alfenas,Group 1,79996.0,,,,
Alfredo Chaves,Group 1,14601.0,,,,
Almenara,Group 1,41896.0,,,,
Altamira,Group 1,114594.0,0.226,0.319,0.167,
Alto Alegre Do Pindaré,Group 1,31919.0,,,,
Alto Paraná,Group 1,14770.0,,,,
Altos,Group 1,40524.0,,,,
Alvorada,Group 1,210305.0,0.0589,0.582,0.0291,
Amaporã,Group 1,6257.0,,,,
Amaraji,Group 1,22829.0,0.101,0.0943,0.306,
Amaturá,Group 1,11536.0,0.01,0.01,0.111,
Americana,Group 1,239597.0,0.0311,0.39,0.0236,
Américo Brasiliense,Group 1,40504.0,,,,
Anajatuba,Group 1,26803.0,0.136,0.0621,0.113,
Ananindeua,Group 1,530598.0,0.12,0.158,0.08,0.102
Anchieta,Group 1,29263.0,,,,
Andradina,Group 1,57157.0,0.136,0.242,0.0556,
Angra Dos Reis,Group 1,203785.0,,,,
Anori,Group 1,21010.0,,,,
Anápolis,Group 1,386923.0,0.0295,1.0,0.0041,
Aparecida De Goiânia,Group 1,578179.0,0.0725,0.241,0.0422,
Apodi,Group 1,35845.0,0.01,0.01,0.116,
Apucarana,Group 1,134996.0,0.0907,0.0688,0.0219,
Aquiraz,Group 1,80271.0,0.0909,0.439,0.0456,
Arabutã,Group 1,4267.0,,,,
Aracati,Group 1,74547.0,0.192,0.0567,0.0694,
Aracoiaba,Group 1,26469.0,,,,
Aracruz,Group 1,101220.0,0.0573,0.0971,0.0568,
Araguari,Group 1,117267.0,0.01,0.01,0.037,
Araguaína,Group 1,180470.0,,,,
Arapiraca,Group 1,231747.0,0.117,0.217,0.0746,
Arapongas,Group 1,123027.0,,,0.0,
Araruama,Group 1,132400.0,0.0521,0.276,0.0299,
Araruna,Group 1,13970.0,0.0557,0.636,0.0333,
Araçatuba,Group 1,197016.0,0.0552,0.361,0.0199,
Araçoiaba Da Serra,Group 1,34146.0,,,,
Arcos,Group 1,40092.0,,,,
Arcoverde,Group 1,74338.0,0.204,0.294,0.136,
Areia Branca,Group 1,27774.0,,,,
Ariquemes,Group 1,107863.0,,,,
Armazém,Group 1,8674.0,,,,
Armação Dos Búzios,Group 1,33870.0,,,,
Arneiroz,Group 1,7840.0,,,,
Arroio Do Meio,Group 1,20805.0,,,,
Artur Nogueira,Group 1,54408.0,,,,
Arujá,Group 1,89824.0,0.112,0.372,0.0587,
Assis,Group 1,104386.0,0.109,0.186,0.0719,
Atibaia,Group 1,142761.0,0.0359,0.213,0.027,
Augusto Corrêa,Group 1,45998.0,0.114,0.188,0.0758,
Aurora Do Pará,Group 1,31338.0,,,,
