Key,Group Name,M,β,γ,α,μ
Afghanistan,Group 1,3.9653765e7,0.01,0.01,0.0131,0.186
Albania,Group 1,2.84265e6,0.0331,0.401,0.074,0.0529
Algeria,Group 1,4.3697354e7,0.069,0.24,0.04,0.181
Andorra,Group 1,78418.0,0.01,0.76,0.0618,0.0831
Argentina,Group 1,4.5433446e7,0.0424,0.225,0.0182,0.15
Armenia,Group 1,2.938968e6,0.0777,0.191,0.0274,0.0333
Australia,Group 1,2.5731295e7,0.021,0.484,0.0554,0.0157
Austria,Group 1,8.937767e6,0.0233,1.0,0.0748,0.0428
Azerbaijan,Group 1,1.0175641e7,0.106,0.773,0.0562,0.0179
Bahamas,Group 1,396839.0,0.01,0.014,0.0226,
Bahrain,Group 1,1.726667e6,0.0851,0.189,0.0354,0.0046
Bangladesh,Group 1,1.65611088e8,0.0715,0.28,0.0265,0.237
Belarus,Group 1,9.429921e6,0.0549,0.223,0.0288,0.0275
Belgium,Group 1,1.157273e7,0.012,0.261,0.0108,0.393
Belize,Group 1,402155.0,,0.477,0.267,
Bolivia,Group 1,1.1736772e7,0.086,0.0899,0.0136,0.314
Bosnia And Herzegovina,Group 1,3.279568e6,0.0211,0.0926,0.0412,0.0864
Brazil,Group 1,2.13724406e8,0.0996,0.179,0.0545,0.143
Bulgaria,Group 1,6.908148e6,0.0271,0.131,0.0156,0.188
Burkina Faso,Group 1,2.09532e7,0.102,1.0,0.0973,0.0787
Cabo Verde,Group 1,558398.0,0.0787,0.0961,0.0331,
Cameroon,Group 1,2.6614607e7,0.0465,0.27,0.0406,0.0728
Chile,Group 1,1.9148883e7,0.0851,0.048,0.0398,0.0246
China,Group 1,1.407987086e9,0.01,0.232,0.11,0.0556
Colombia,Group 1,5.0907732e7,0.0712,1.0,0.0216,0.158
Congo-Brazzaville,Group 1,5.554412e6,0.0325,0.704,0.0126,
Costa Rica,Group 1,5.130266e6,0.0192,0.323,0.045,0.015
Cote D'Ivoire,Group 1,2.6269866e7,0.0545,0.846,0.031,0.025
Croatia,Group 1,4.047622e6,0.0178,0.363,0.0881,0.0493
Cuba,Group 1,1.1361908e7,0.0338,0.423,0.0765,0.0713
Cyprus,Group 1,1.220282e6,0.01,0.0229,0.0303,0.0494
Czech Republic,Group 1,1.0672417e7,0.0132,1.0,0.0389,0.062
Denmark,Group 1,5.846408e6,0.0599,1.0,0.0888,0.0615
Djibouti,Group 1,990313.0,0.0212,1.0,0.0693,0.0033
Dominica,Group 1,71848.0,,,,
Dominican Republic,Group 1,1.0898284e7,0.05,0.702,0.0232,0.158
Ecuador,Group 1,1.7659604e7,0.0203,0.536,0.0093,0.351
Egypt,Group 1,1.02413231e8,0.0717,0.301,0.0188,0.209
El Salvador,Group 1,6.482845e6,0.115,1.0,0.0493,0.0642
Eritrea,Group 1,3.336933e6,,,,
Estonia,Group 1,1.313895e6,0.01,0.942,0.0409,0.14
Eswatini,Group 1,1.151731e6,0.0622,0.275,0.0084,
Fiji,Group 1,891926.0,,,,
Finland,Group 1,5.554574e6,0.0404,0.173,0.0709,0.0655
France,Group 1,6.7687174e7,0.01,0.0492,0.0109,0.325
Gabon,Group 1,2.251673e6,0.01,0.01,0.018,0.0665
Georgia,Group 1,3.689506e6,0.0218,0.285,0.0367,0.0339
Germany,Group 1,8.2983285e7,0.0312,0.58,0.0883,0.0501
Ghana,Group 1,3.1239088e7,0.1,0.111,0.0085,0.0619
Greece,Group 1,1.0723526e7,0.01,0.254,0.064,0.109
Grenada,Group 1,112455.0,,,,
Guatemala,Group 1,1.8016276e7,0.0577,0.28,0.0082,0.189
Guinea,Group 1,1.2992595e7,0.0614,1.0,0.0308,0.0181
Guinea-Bissau,Group 1,1.969276e6,0.131,0.117,0.0032,
