date,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,μ_closed,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
2020-02-15,7777809927,11317,12758,units unclear,69023,726220,1666,69023,727886,-658863,0.00229,4985.667,-64307.66667,148.167,-64159.5,69145.167,-585.91667,,-4.86111,,,,,,0.02414,8.874,0.2142,93.371,93.585,-84.71061,0.1848,1.64
2020-02-16,7777809927,11317,14001,units unclear,71217,666212,1770,71217,667982,-596765,0.00265,2545.0,-57998.33333,125.167,-57873.16667,60418.167,-586.55556,,-1.91667,,,,,,0.02485,9.156,0.2276,85.655,85.883,-76.72661,0.1966,1.8
2020-02-17,7777809927,11317,16685,units unclear,73250,611867,1868,73250,613735,-540485,0.00304,1551.833,-52499.33333,120.667,-52378.66667,53930.5,-632.11111,,-4.27778,,,,,,0.0255,9.418,0.2402,78.668,78.908,-69.49064,0.2278,2.145
2020-02-18,7777809927,11317,18672,units unclear,75128,562590,2007,75128,564597,-489469,0.00355,1297.833,-47576.33333,97.5,-47478.83333,48776.667,-709.08333,,-7.41667,,,,,,0.02671,9.659,0.258,72.333,72.591,-62.93147,0.2485,2.401
2020-02-19,7777809927,11317,19765,units unclear,75631,517981,2122,75631,520103,-444472,0.00408,1224.333,-43158.83333,114.667,-43044.16667,44268.5,-292.77778,,-4.58333,,,,,,0.02806,9.724,0.2728,66.597,66.87,-57.14616,0.2613,2.541
2020-02-20,7777809927,11317,22857,units unclear,76189,477458,2247,76189,479705,-403516,0.00468,949.833,-39120.66667,100.167,-39020.5,39970.333,-115.69444,,-5.58333,,,,,,0.02949,9.796,0.2889,61.387,61.676,-51.88041,0.3,2.939
2020-02-21,7777809927,11317,25767,units unclear,76810,440762,2251,76810,443013,-366203,0.00508,731.167,-35489.5,103.667,-35385.83333,36117.0,-52.94444,,-0.61111,,,,,,0.02931,9.876,0.2894,56.669,56.959,-47.08305,0.3355,3.313
2020-02-22,7777809927,11317,30097,units unclear,78563,407259,2458,78563,409717,-331154,0.006,788.333,-32200.5,97.667,-32102.83333,32891.167,-51.47222,,-7.61111,,,,,,0.03129,10.101,0.316,52.362,52.678,-42.57677,0.3831,3.87
2020-02-23,7777809927,11317,34676,units unclear,78949,377143,2469,78949,379612,-300663,0.0065,857.667,-29200.0,87.167,-29112.83333,29970.5,36.083,,-3.58333,,,,,,0.03127,10.151,0.3174,48.49,48.807,-38.65651,0.4392,4.458
2020-02-24,7777809927,11317,45596,units unclear,79515,349653,2629,79515,352282,-272767,0.00746,980.167,-26481.66667,93.833,-26387.83333,27368.0,122.194,,-7.08333,,,,,,0.03306,10.223,0.338,44.955,45.293,-35.0699,0.5734,5.862
2020-02-25,7777809927,11317,58933,units unclear,80361,324778,2708,80361,327486,-247125,0.00827,915.5,-23967.5,69.0,-23898.5,24814.0,142.889,,-5.80556,,,35.91,,,0.0337,10.332,0.3482,41.757,42.105,-31.77308,0.7334,7.577
2020-02-26,7777809927,11317,70752,units unclear,81335,302258,2770,81335,305028,-223693,0.00908,1166.333,-21721.33333,78.667,-21642.66667,22809.0,174.556,,-3.69444,,,26.799,,,0.03406,10.457,0.3561,38.862,39.218,-28.76041,0.8699,9.097
2020-02-27,7777809927,11317,87137,units unclear,82691,281872,2814,82691,284686,-201995,0.00988,1464.333,-19632.66667,61.167,-19571.5,21035.833,179.722,,-3.41667,,,25.16,-3.57639,,0.03403,10.632,0.3618,36.241,36.602,-25.97068,1.054,11.203
2020-02-28,7777809927,11317,107387,units unclear,84056,263454,2872,84056,266326,-182270,0.01078,1645.667,-17720.83333,62.833,-17658.0,19303.667,229.389,,1.694,,,16.368,-4.95313,,0.03417,10.807,0.3693,33.873,34.242,-23.43462,1.278,13.807
2020-02-29,7777809927,11317,124740,units unclear,85947,246815,2941,85947,249756,-163809,0.01178,1905.0,-15969.33333,65.0,-15904.33333,17809.333,243.528,,1.278,,,21.604,-2.5816,,0.03422,11.05,0.3781,31.733,32.111,-21.06107,1.451,16.038
2020-03-01,7777809927,11317,143398,units unclear,88301,231857,2996,88301,234853,-146552,0.01276,2058.5,-14358.66667,73.333,-14285.33333,16343.833,240.028,,5.417,,,6.986,5.278,,0.03393,11.353,0.3852,29.81,30.195,-18.84232,1.624,18.437
2020-03-02,7777809927,11317,164508,units unclear,90235,218453,3085,90235,221538,-131303,0.01393,2291.833,-12878.66667,79.167,-12799.5,15091.333,266.139,,9.417,,,14.833,1.082,,0.03419,11.602,0.3966,28.087,28.483,-16.88174,1.823,21.151
2020-03-03,7777809927,11317,197361,units unclear,92765,206442,3160,92765,209602,-116837,0.01508,2627.5,-11513.33333,86.333,-11427.0,14054.5,257.333,,12.111,,,37.479,20.115,4.402,0.03406,11.927,0.4063,26.542,26.949,-15.02184,2.128,25.375
2020-03-04,7777809927,11317,217284,units unclear,95042,195720,3254,95042,198974,-103932,0.01635,2904.5,-10242.0,93.667,-10148.33333,13052.833,302.861,,15.778,,,25.931,24.134,9.468,0.03424,12.22,0.4184,25.164,25.582,-13.36263,2.286,27.936
2020-03-05,7777809927,11317,287093,units unclear,97807,186182,3347,97807,189529,-91722,0.01766,3242.5,-9082.5,119.333,-8963.16667,12205.667,389.944,,21.861,,,87.444,22.885,-1.2934,0.03422,12.575,0.4303,23.938,24.368,-11.79278,2.935,36.912
2020-03-06,7777809927,11317,331929,units unclear,101712,177735,3459,101712,181194,-79482,0.01909,3449.0,-7991.16667,137.667,-7853.5,11302.5,369.861,,25.972,,,111.368,38.955,-0.5408,0.03401,13.077,0.4447,22.852,23.296,-10.21907,3.263,42.676
2020-03-07,7777809927,11317,369139,units unclear,105728,170405,3558,105728,173963,-68235,0.02045,3875.667,-6992.66667,168.0,-6824.66667,10700.333,607.111,,35.833,,,129.021,14.941,-2.77257,0.03365,13.594,0.4575,21.909,22.367,-8.77304,3.491,47.461
2020-03-08,7777809927,11317,523875,units unclear,109690,163958,3801,109690,167759,-58069,0.02266,4631.5,-6062.66667,210.333,-5852.33333,10483.833,748.333,,36.472,,,181.75,21.97,-8.16927,0.03465,14.103,0.4887,21.08,21.569,-7.46598,4.776,67.355
2020-03-09,7777809927,11317,434265,units unclear,113459,158495,3986,113459,162481,-49022,0.02453,4846.667,-5141.66667,242.167,-4899.5,9746.167,906.028,,46.056,,,147.208,11.795,4.613,0.03513,14.588,0.5125,20.378,20.89,-6.3028,3.828,55.834
