date,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,μ_closed,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
2020-04-29,7777809927,11317,21396899,units unclear,3123588,2074811,224834,3123588,2299645,823943,0.09777,77300.167,70111.333,5490.0,75601.333,1698.833,731.111,258.056,-126.86111,131.194,599.917,233.437,,,0.07198,401.603,28.907,266.76,295.667,105.935,6.85,2751.019
2020-04-30,7777809927,11317,23494553,units unclear,3206850,2144171,230374,3206850,2374545,832305,0.09702,78841.5,70405.0,5349.333,75754.333,3087.167,1008.5,271.222,-85.0,186.222,822.278,223.729,,,0.07184,412.308,29.619,275.678,305.297,107.01,7.326,3020.716
2020-05-01,7777809927,11317,23343758,units unclear,3293425,2214816,235402,3293425,2450218,843207,0.09607,79330.667,71077.0,4960.167,76037.167,3293.5,1016.861,303.556,-43.27778,260.278,756.583,79.257,-76.0,,0.07148,423.439,30.266,284.761,315.027,108.412,7.088,3001.328
2020-05-02,7777809927,11317,22912942,units unclear,3373977,2286428,240442,3373977,2526870,847107,0.09515,80280.5,71570.0,4764.167,76334.167,3946.333,1094.361,407.806,-78.66667,329.139,765.222,-0.29167,-106.06771,,0.07126,433.795,30.914,293.968,324.882,108.913,6.791,2945.938
2020-05-03,7777809927,11317,28192973,units unclear,3450505,2359877,243999,3450505,2603876,846629,0.09371,81523.667,71785.833,4908.833,76694.667,4829.0,1048.139,434.083,-35.0,399.083,649.056,-70.5625,-82.19097,,0.07071,443.635,31.371,303.412,334.783,108.852,8.171,3624.796
2020-05-04,7777809927,11317,26248310,units unclear,3525769,2432961,247884,3525769,2680845,844924,0.09246,82019.833,72138.833,4993.167,77132.0,4887.833,1007.333,445.306,12.417,457.722,549.611,-200.54167,,,0.07031,453.311,31.871,312.808,344.679,108.633,7.445,3374.769
2020-05-05,7777809927,11317,27550329,units unclear,3605271,2504231,253419,3605271,2757650,847621,0.0919,83866.333,72558.167,5018.0,77576.167,6290.167,734.611,520.028,-11.80556,508.222,226.389,-249.50694,,,0.07029,463.533,32.582,321.971,354.554,108.979,7.642,3542.171
2020-05-06,7777809927,11317,28895988,units unclear,3695992,2574886,259827,3695992,2834713,861279,0.09166,85130.333,73009.5,5139.333,78148.833,6981.5,292.194,591.25,-62.88889,528.361,-236.16667,-281.10417,,,0.0703,475.197,33.406,331.055,364.462,110.735,7.818,3715.183
2020-05-07,7777809927,11317,32023739,units unclear,3785544,2647649,265361,3785544,2913010,872534,0.0911,85374.667,73748.833,5034.667,78783.5,6591.167,50.111,596.417,-89.13889,507.278,-457.16667,-181.375,,,0.0701,486.711,34.118,340.411,374.528,112.182,8.459,4117.321
2020-05-08,7777809927,11317,31380739,units unclear,3877175,2721777,270550,3877175,2992327,884848,0.09041,84688.167,74690.167,4693.333,79383.5,5304.667,-117.08333,561.556,-95.55556,466.0,-583.08333,24.535,,,0.06978,498.492,34.785,349.941,384.726,113.766,8.094,4034.65
2020-05-09,7777809927,11317,31170003,units unclear,3961287,2797934,274835,3961287,3072769,888518,0.08944,83276.833,75333.333,4531.5,79864.833,3412.0,9.111,505.917,-93.19444,412.722,-403.61111,139.472,,,0.06938,509.306,35.336,359.733,395.069,114.238,7.869,4007.555
2020-05-10,7777809927,11317,37221389,units unclear,4038017,2875454,278092,4038017,3153546,884471,0.08818,82320.5,75717.333,4458.333,80175.667,2144.833,390.333,430.111,-54.25,375.861,14.472,,54.205,,0.06887,519.171,35.755,369.7,405.454,113.717,9.218,4785.587
2020-05-11,7777809927,11317,33991517,units unclear,4113400,2952372,281579,4113400,3233951,879449,0.08707,83163.833,75927.5,4444.667,80372.167,2791.667,608.0,379.972,-2.75,377.222,230.778,359.403,6.773,,0.06845,528.864,36.203,379.589,415.792,113.072,8.264,4370.32
2020-05-12,7777809927,11317,35669069,units unclear,4195653,3026886,287016,4195653,3313902,881751,0.08661,85185.0,76045.0,4580.167,80625.167,4559.833,982.306,434.556,-36.52778,398.028,584.278,241.354,,-21.50217,0.06841,539.439,36.902,389.169,426.071,113.368,8.501,4586.004
2020-05-13,7777809927,11317,37007747,units unclear,4279467,3101953,292111,4279467,3394064,885403,0.08607,87716.667,76329.5,4709.167,81038.667,6678.0,1446.722,485.278,-34.16667,451.111,995.611,166.562,-72.32812,-12.31337,0.06826,550.215,37.557,398.821,436.378,113.837,8.648,4758.119
2020-05-14,7777809927,11317,29635681,units unclear,4376158,3177342,297218,4376158,3474560,901598,0.08554,88336.167,76970.0,4676.833,81646.833,6689.333,1355.75,584.417,-43.22222,541.194,814.556,72.299,-31.80382,,0.06792,562.647,38.214,408.514,446.727,115.919,6.772,3810.286
2020-05-15,7777809927,11317,28617743,units unclear,4472397,3254204,302316,4472397,3556520,915877,0.085,89170.667,77940.667,4312.333,82253.0,6917.667,1274.25,692.389,-77.08333,615.306,658.944,70.09,-42.4809,,0.0676,575.02,38.869,418.396,457.265,117.755,6.399,3679.409
2020-05-16,7777809927,11317,28898502,units unclear,4564317,3333431,306347,4564317,3639778,924539,0.08417,91000.833,78629.0,4253.333,82882.333,8118.5,1271.5,741.639,-66.13889,675.5,596.0,114.139,-29.78299,,0.06712,586.838,39.387,428.582,467.97,118.869,6.331,3715.506
2020-05-17,7777809927,11317,45080247,units unclear,4643417,3414192,309640,4643417,3723832,919585,0.08315,91298.333,79434.0,4185.333,83619.333,7679.0,1727.083,774.139,-44.61111,729.528,997.556,-3.36111,-79.65104,,0.06668,597.008,39.811,438.966,478.776,118.232,9.708,5796.008
2020-05-18,7777809927,11317,40936823,units unclear,4730677,3494530,312890,4730677,3807420,923257,0.08218,92830.5,80199.333,4117.667,84317.0,8513.5,1812.306,817.722,3.056,820.778,991.528,-46.83333,-104.59375,,0.06614,608.227,40.229,449.295,489.523,118.704,8.653,5263.284
2020-05-19,7777809927,11317,41646810,units unclear,4825472,3573727,317631,4825472,3891358,934114,0.08162,95345.667,80779.333,4312.333,85091.667,10254.0,1260.806,1000.278,-89.66667,910.611,350.194,-248.51389,,,0.06582,620.415,40.838,459.477,500.315,120.1,8.631,5354.568
2020-05-20,7777809927,11317,44880380,units unclear,4923948,3653946,322330,4923948,3976276,947672,0.08106,98698.667,81614.833,4409.167,86024.0,12674.667,1084.167,1037.0,-94.25,942.75,141.417,-304.23611,,,0.06546,633.076,41.442,469.791,511.233,121.843,9.115,5770.311
2020-05-21,7777809927,11317,27096747,units unclear,5029380,3735400,327022,5029380,4062422,966958,0.0805,100044.5,82847.0,4330.667,87177.667,12866.833,733.028,1028.778,-72.75,956.028,-223.0,-156.53472,,,0.06502,646.632,42.046,480.264,522.309,124.323,5.388,3483.853
2020-05-22,7777809927,11317,47924994,units unclear,5136391,3818107,332221,5136391,4150328,986063,0.08005,98565.667,84630.667,3715.333,88346.0,10219.667,595.361,1057.611,-122.13889,935.472,-340.11111,59.528,,,0.06468,660.39,42.714,490.897,533.611,126.779,9.33,6161.759
2020-05-23,7777809927,11317,34846503,units unclear,5235609,3903881,336095,5235609,4239976,995633,0.07927,97803.333,85656.0,3619.833,89275.833,8527.5,634.667,1022.25,-117.75,904.5,-269.83333,356.472,,,0.06419,673.147,43.212,501.925,545.138,128.009,6.656,4480.246
2020-05-24,7777809927,11317,39567465,units unclear,5330944,3991612,338874,5330944,4330486,1000458,0.07825,97228.667,86372.0,3681.167,90053.167,7175.5,1322.278,949.972,-70.30556,879.667,442.611,434.278,77.224,,0.06357,685.404,43.569,513.205,556.774,128.63,7.422,5087.224
2020-05-25,7777809927,11317,51251465,units unclear,5416866,4081511,339923,5416866,4421434,995432,0.07688,98917.833,87125.0,3579.5,90704.5,8213.333,2158.917,843.194,77.139,920.333,1238.583,517.104,-82.73958,,0.06275,696.451,43.704,524.764,568.468,127.984,9.461,6589.447
2020-05-26,7777809927,11317,53081996,units unclear,5510768,4167882,344049,5510768,4511931,998837,0.07625,102506.667,87748.333,3702.667,91451.0,11055.667,2332.472,956.917,75.639,1032.556,1299.917,368.424,-162.34375,-57.53602,0.06243,708.524,44.235,535.868,580.103,128.421,9.632,6824.8
2020-05-27,7777809927,11317,53230701,units unclear,5612752,4253632,349109,5612752,4602741,1010011,0.07585,107978.167,88546.833,3908.833,92455.667,15522.5,2703.083,1097.028,53.25,1150.278,1552.806,25.514,-210.50868,,0.0622,721.637,44.885,546.893,591.779,129.858,9.484,6843.919
2020-05-28,7777809927,11317,40904236,units unclear,5729898,4340857,353698,5729898,4694555,1035343,0.07534,111519.167,89689.833,4178.167,93868.0,17651.167,2795.972,1193.417,98.222,1291.639,1504.333,-215.09722,-152.92014,,0.06173,736.698,45.475,558.108,603.583,133.115,7.139,5259.094
2020-05-29,7777809927,11317,57400025,units unclear,5850649,4430371,358311,5850649,4788682,1061967,0.07482,111798.167,91397.5,4073.667,95471.167,16327.0,2260.972,1339.0,89.444,1428.444,832.528,-324.93056,-66.34028,,0.06124,752.223,46.068,569.617,615.685,136.538,9.811,7379.973
2020-05-30,7777809927,11317,41014838,units unclear,5978813,4522893,362327,5978813,4885220,1093593,0.07417,113447.167,92954.167,4000.667,96954.833,16492.333,1472.083,1428.417,75.778,1504.194,-32.11111,-243.25694,,,0.0606,768.701,46.585,581.512,628.097,140.604,6.86,5273.315
2020-05-31,7777809927,11317,47335807,units unclear,6085981,4619650,364992,6085981,4984642,1101339,0.07322,115693.667,94285.5,4168.833,98454.333,17239.333,1403.361,1440.222,60.778,1501.0,-97.63889,-239.84722,,,0.05997,782.48,46.927,593.953,640.88,141.6,7.778,6086.007
2020-06-01,7777809927,11317,61442996,units unclear,6181557,4716267,368491,6181557,5084758,1096799,0.07247,116072.5,95782.333,4239.333,100021.667,16050.833,1822.944,1435.75,56.611,1492.361,330.583,-190.20139,,,0.05961,794.768,47.377,606.375,653.752,141.016,9.94,7899.781
2020-06-02,7777809927,11317,62984295,units unclear,6293435,4811357,373113,6293435,5184470,1108965,0.07197,116810.667,97117.333,4363.5,101480.833,15329.833,1301.583,1478.944,43.472,1522.417,-220.83333,-118.57639,,,0.05929,809.153,47.971,618.6,666.572,142.581,10.008,8097.947
2020-06-03,7777809927,11317,64217442,units unclear,6424060,4906570,378711,6424060,5285281,1138779,0.07165,119939.333,98331.167,4542.833,102874.0,17065.333,711.278,1509.139,-6.69444,1502.444,-791.16667,-217.21528,,,0.05895,825.947,48.691,630.842,679.533,146.414,9.996,8256.494
2020-06-04,7777809927,11317,68315295,units unclear,6547084,5005065,383747,6547084,5388812,1158272,0.07121,122735.833,100012.0,4413.333,104425.333,18310.5,929.056,1446.167,-15.52778,1430.639,-501.58333,-195.43056,,,0.05861,841.764,49.339,643.506,692.844,148.92,10.434,8783.359
2020-06-05,7777809927,11317,67459221,units unclear,6679677,5105597,388508,6679677,5494105,1185572,0.07071,121256.667,101827.833,4261.5,106089.333,15167.333,954.083,1421.333,-36.30556,1385.028,-430.94444,-13.20833,,,0.05816,858.812,49.951,656.431,706.382,152.43,10.099,8673.293
2020-06-06,7777809927,11317,47367587,units unclear,6805617,5209637,392249,6805617,5601886,1203731,0.07002,119961.333,103340.333,4128.667,107469.0,12492.333,519.861,1397.528,-51.63889,1345.889,-826.02778,203.312,,,0.05764,875.004,50.432,669.808,720.24,154.765,6.96,6090.093
2020-06-07,7777809927,11317,52647464,units unclear,6917972,5316339,394971,6917972,5711310,1206662,0.06916,121646.833,104459.333,4146.167,108605.5,13041.333,658.444,1259.778,11.25,1271.028,-612.58333,242.674,,,0.05709,889.45,50.782,683.526,734.308,155.142,7.61,6768.932
2020-06-08,7777809927,11317,75562890,units unclear,7020975,5422324,398682,7020975,5821006,1199969,0.06849,122535.167,105645.333,4145.667,109791.0,12744.167,1742.306,1190.028,25.361,1215.389,526.917,322.59,,,0.05678,902.693,51.259,697.153,748.412,154.281,10.762,9715.189
2020-06-09,7777809927,11317,78724332,units unclear,7143828,5526612,403483,7143828,5930095,1213733,0.06804,123058.5,106716.333,4233.0,110949.333,12109.167,1924.778,1251.778,11.306,1263.083,661.694,,,,0.05648,918.488,51.876,710.561,762.438,156.051,11.02,10121.658
2020-06-10,7777809927,11317,79667954,units unclear,7276965,5631821,408624,7276965,6040445,1236520,0.06765,126686.5,107570.667,4480.833,112051.5,14635.0,1810.222,1269.972,52.861,1322.833,487.389,,,,0.05615,935.606,52.537,724.088,776.625,158.98,10.948,10242.98
2020-06-11,7777809927,11317,83400571,units unclear,7414888,5739469,413382,7414888,6152851,1262037,0.06719,131710.5,108968.0,4413.667,113381.667,18328.833,,,,,,,,,0.05575,953.339,53.149,737.929,791.078,162.261,11.248,10722.886
2020-06-12,7777809927,11317,81315583,units unclear,7543968,5849935,417647,7543968,6267582,1276386,0.06664,131510.0,110851.0,4196.5,115047.5,16462.5,,,,,,,,,0.05536,969.935,53.697,752.131,805.829,164.106,10.779,10454.817
2020-06-13,7777809927,11317,88007894,units unclear,7678091,5961763,421856,7678091,6383619,1294472,0.06608,132508.167,112079.167,4463.333,116542.5,15965.667,,,,,,,,,0.05494,987.179,54.238,766.509,820.748,166.431,11.462,11315.254
2020-06-14,7777809927,11317,88619309,units unclear,7811238,6076132,425164,7811238,6501296,1309942,0.0654,,,,,,,,,,,,,,0.05443,1004.298,54.664,781.214,835.877,168.42,11.345,11393.864
2020-06-15,7777809927,11317,90559224,units unclear,7932888,6191718,428662,7932888,6620380,1312508,0.06475,,,,,,,,,,,,,,0.05404,1019.939,55.113,796.075,851.188,168.75,11.416,11643.281
2020-06-16,7777809927,11317,90559224,units unclear,8072014,6304296,435404,8072014,6739700,1332314,0.0646,,,,,,,,,,,,,,0.05394,1037.826,55.98,810.549,866.529,171.297,11.219,11643.281
