key,group_name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),loss_7_days,loss_14_days
2020-03-23,All,3.9653765e7,,,,,,,,,,,,,
2020-03-24,All,3.9653765e7,,,,,,,,,,,,,
2020-03-25,All,3.9653765e7,,,,,,,,,,,,,
2020-03-26,All,3.9653765e7,,,,,,,,,,,,,
2020-03-27,All,3.9653765e7,,,,0.3134,,,,0.4615,,,,,
2020-03-28,All,3.9653765e7,,,,0.4774,,,,0.4866,,,,,
2020-03-29,All,3.9653765e7,,,,0.4647,,,,0.4936,,,,,
2020-03-30,All,3.9653765e7,,,,0.4693,,,,0.4889,,,,,
2020-03-31,All,3.9653765e7,0.00101,0.0101,0.02634,0.274,0.171,1.097,0.00835,0.413,148828.918,0.03835,6.493,1.02,1.02
2020-04-01,All,3.9653765e7,,,,0.259,,,,0.4164,,,,,
2020-04-02,All,3.9653765e7,,,,0.3811,,,,0.4798,,,,,
2020-04-03,All,3.9653765e7,,,,0.2693,,,,0.374,,,,,
2020-04-04,All,3.9653765e7,0.00101,0.368,0.01652,0.2704,0.08794,0.2572,0.00563,0.3733,23.422,0.06112,5.322,1.019,1.019
2020-04-05,All,3.9653765e7,0.00101,0.3921,0.02054,0.254,0.07491,0.315,,0.3736,29.705,0.04918,,1.019,1.019
2020-04-06,All,3.9653765e7,,,,0.2355,,,,0.3774,,,,,
2020-04-07,All,3.9653765e7,0.04586,0.99,0.08853,0.2254,0.03873,1.677,0.03564,0.3812,26.806,0.5181,0.4846,1.018,1.018
2020-04-08,All,3.9653765e7,0.05595,0.5655,0.09805,0.2325,0.05172,0.07251,0.03582,0.3784,3.59,0.5706,0.5672,1.017,1.017
2020-04-10,All,3.9653765e7,0.00101,0.3456,0.1212,0.2186,0.08585,0.1339,0.1572,0.3835,11.023,0.00833,0.7083,1.017,1.017
2020-04-11,All,3.9653765e7,0.06318,0.7487,0.0439,0.2177,0.0519,0.1401,0.05028,0.3841,1.5,1.439,2.029,1.003,1.003
2020-04-12,All,3.9653765e7,0.07167,0.5633,0.04771,0.2118,0.06307,0.1382,0.04321,0.3867,1.452,1.502,1.897,0.9999,0.9999
2020-04-13,All,3.9653765e7,0.06196,0.5029,0.03692,0.2079,0.04905,0.3368,0.02579,0.3884,1.776,1.678,1.772,0.9973,0.9973
2020-04-14,All,3.9653765e7,0.06411,0.5904,0.02564,0.2063,0.0535,0.2399,,0.3892,0.8031,2.5,,1.053,1.053
2020-04-15,All,3.9653765e7,0.00101,0.99,0.03059,0.1644,0.08161,0.5262,0.01785,0.2875,3.311,0.03301,2.668,1.016,1.016
2020-04-16,All,3.9653765e7,,,,0.1631,,,,0.2881,,,,,
2020-04-17,All,3.9653765e7,0.00101,0.5385,0.0332,0.1367,0.08463,0.332,0.01619,0.2279,8.206,0.03042,2.549,1.016,1.016
2020-04-18,All,3.9653765e7,0.00101,0.7539,0.02177,0.1356,0.08603,0.1351,0.01515,0.2283,1.98,0.0464,3.953,1.016,1.016
2020-04-19,All,3.9653765e7,0.00101,0.597,0.04022,0.1394,0.0739,0.2948,0.00032,0.227,6.479,0.02511,1.837,1.016,1.016
2020-04-20,All,3.9653765e7,0.00101,0.5464,0.04967,0.1379,0.07049,0.1351,0.00041,0.2277,3.696,0.02033,1.419,1.015,1.015
2020-04-21,All,3.9653765e7,,,,0.1396,,,,0.2271,,,,,
2020-04-22,All,3.9653765e7,0.04237,0.4242,0.0642,0.1497,0.02461,0.2214,,0.2546,13.949,0.66,,1.015,1.015
2020-04-24,All,3.9653765e7,,,,0.1467,,,,0.256,,,,,
2020-04-25,All,3.9653765e7,,,,0.1472,,,,0.2557,,,,,
2020-04-26,All,3.9653765e7,,,,0.1456,,,,0.2563,,,,,
2020-04-27,All,3.9653765e7,,,,0.1078,,,,0.1665,,,,,
2020-04-28,All,3.9653765e7,0.00101,0.5351,0.04167,0.1082,0.04677,0.1386,0.04137,0.1663,4.195,0.02424,1.123,1.014,1.014
2020-04-29,All,3.9653765e7,,,,0.1056,,,,0.1672,,,,,
2020-04-30,All,3.9653765e7,,,,0.1117,,,,0.1661,,,,,
2020-05-01,All,3.9653765e7,,,,0.1029,,,,0.1683,,,,,
2020-05-02,All,3.9653765e7,,,,0.1027,,,,0.1684,,,,,
2020-05-03,All,3.9653765e7,,,,0.1018,,,,0.1687,,,,,
2020-05-04,All,3.9653765e7,,,,0.1007,,,,0.1694,,,,,
2020-05-05,All,3.9653765e7,0.00101,0.6651,0.06571,0.09879,0.09741,0.2161,0.05309,0.1703,3.419,0.01537,1.482,1.014,1.014
2020-05-06,All,3.9653765e7,0.1009,0.4997,0.06795,0.09796,0.1566,0.08544,0.07354,0.1706,2.68,1.484,2.809,0.9939,0.9939
2020-05-07,All,3.9653765e7,0.09599,0.99,0.07621,0.09729,0.157,0.5732,0.05529,0.1709,4.873,1.26,2.254,1.008,1.008
2020-05-08,All,3.9653765e7,0.00101,0.99,0.1127,0.07352,0.2118,0.7762,0.1191,0.116,5.412,0.00896,1.879,1.014,1.014
2020-05-09,All,3.9653765e7,0.00101,0.3405,0.0912,0.07742,0.1169,0.1825,0.0671,0.1148,11.543,0.01107,1.282,1.014,1.014
