country,country_code,avg_pop_factor,estimated_population
Afghanistan,AFG,1.033,39653765
Albania,ALB,0.9959,2842650
Algeria,DZA,1.017,43697354
American Samoa,ASM,0.9977,55209
Andorra,AND,1.009,78418
Angola,AGO,1.036,33046756
Antigua and Barbuda,ATG,1.013,98848
Arab World,ARB,1.022,438704429
Argentina,ARG,1.01,45433446
Armenia,ARM,0.9978,2938968
Aruba,ABW,1.009,107657
Australia,AUS,1.015,25731295
Austria,AUT,1.005,8937767
Azerbaijan,AZE,1.012,10175641
Bahamas,BHS,1.014,396839
Bahrain,BHR,1.049,1726667
Bangladesh,BGD,1.013,165611088
Barbados,BRB,1.003,288373
Belarus,BLR,0.9972,9429921
Belgium,BEL,1.006,11572730
Belize,BLZ,1.025,402155
Benin,BEN,1.029,12160701
Bermuda,BMU,1.002,64215
Bhutan,BTN,1.014,775132
Bolivia,BOL,1.017,11736772
Bosnia and Herzegovina,BIH,0.9933,3279568
Botswana,BWA,1.018,2334686
Brazil,BRA,1.01,213724406
British Virgin Islands,VGB,1.022,31099
Brunei,BRN,1.014,441178
Bulgaria,BGR,0.9916,6908148
Burkina Faso,BFA,1.03,20953200
Burundi,BDI,1.032,11893778
Cabo Verde,CPV,1.013,558398
Cambodia,KHM,1.016,16782527
Cameroon,CMR,1.027,26614607
Canada,CAN,1.011,37842862
Caribbean small states,CSS,1.007,7459436
Cayman Islands,CYM,1.023,67215
Central African Republic,CAF,1.014,4796900
Central Europe and the Baltics,CEB,0.9969,101893420
Chad,TCD,1.035,16575069
Channel Islands,CHI,1.008,173144
Chile,CHL,1.011,19148883
China,CHN,1.005,1407987086
Colombia,COL,1.013,50907732
Comoros,COM,1.024,872888
Congo-Brazzaville,COG,1.029,5554412
Congo-Kinshasa,COD,1.033,89656528
Costa Rica,CRI,1.013,5130266
Cote d'Ivoire,CIV,1.024,26269866
Croatia,HRV,0.9951,4047622
Cuba,CUB,1.001,11361908
Curacao,CUW,1.01,162976
Cyprus,CYP,1.013,1220282
Czech Republic,CZE,1.002,10672417
Denmark,DNK,1.005,5846408
Djibouti,DJI,1.016,990313
Dominica,DMA,1.002,71848
Dominican Republic,DOM,1.013,10898284
Early-demographic dividend,EAR,1.015,3349204283
East Asia & Pacific,EAS,1.007,2361585878
East Asia & Pacific (IDA & IBRD countries),TEA,1.008,2087514872
East Asia & Pacific (excluding high income),EAP,1.008,2113409857
Ecuador,ECU,1.017,17659604
Egypt,EGY,1.02,102413231
El Salvador,SLV,1.005,6482845
Equatorial Guinea,GNQ,1.044,1425866
Eritrea,ERI,1.019,3336933
Estonia,EST,0.9969,1313895
Eswatini,SWZ,1.007,1151731
Ethiopia,ETH,1.028,115468813
Euro area,EMU,1.003,344220836
Europe & Central Asia,ECS,1.004,924499406
Europe & Central Asia (IDA & IBRD countries),TEC,1.003,461836638
Europe & Central Asia (excluding high income),ECA,1.003,419862094
European Union,EUU,1.002,448769335
Faroe Islands,FRO,1.002,48697
Fiji,FJI,1.005,891926
Finland,FIN,1.004,5554574
Fragile and conflict affected situations,FCS,1.024,780821673
France,FRA,1.005,67687174
French Polynesia,PYF,1.008,282125
Gabon,GAB,1.031,2251673
Gambia,GMB,1.031,2423338
Georgia,GEO,0.995,3689506
Germany,DEU,1.0,82983285
Ghana,GHA,1.024,31239088
Gibraltar,GIB,1.005,34025
Greece,GRC,0.9996,10723526
Greenland,GRL,0.9998,56006
Grenada,GRD,1.004,112455
Guam,GUM,1.004,166970
Guatemala,GTM,1.022,18016276
Guinea,GIN,1.023,12992595
Guinea-Bissau,GNB,1.025,1969276
Guyana,GUY,1.002,782677
Haiti,HTI,1.015,11466044
Heavily indebted poor countries (HIPC),HPC,1.028,825109182
High income,HIC,1.006,1225403867
Honduras,HND,1.021,9997955
"Hong Kong SAR, China",HKG,1.006,7543866
Hungary,HUN,0.9976,9728346
IBRD only,IBD,1.01,4869234498
IDA & IBRD total,IBT,1.013,6581783081
IDA blend,IDB,1.023,581355593
IDA only,IDX,1.023,1135252271
IDA total,IDA,1.023,1716607181
Iceland,ISL,1.013,361714
India,IND,1.014,1390254545
Indonesia,IDN,1.013,274757901
Iran,IRN,1.012,83827713
Iraq,IRQ,1.028,40593281
Ireland,IRL,1.014,5002283
Isle of Man,IMN,1.005,84910
Israel,ISR,1.019,9230241
Italy,ITA,1.003,60821283
Jamaica,JAM,1.006,2967754
Japan,JPN,0.9999,126494270
Jordan,JOR,1.038,10718956
Kazakhstan,KAZ,1.011,18693685
Kenya,KEN,1.027,54177517
Kiribati,KIR,1.018,119997
Kosovo,XKX,1.005,1862192
Kuwait,KWT,1.04,4474225
Kyrgyzstan,KGZ,1.014,6504691
Laos,LAO,1.016,7286667
Late-demographic dividend,LTE,1.006,2316510608
Latin America & Caribbean,LCN,1.012,656345645
Latin America & Caribbean (excluding high income),LAC,1.012,623479533
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.012,640632554
Latvia,LVA,0.9886,1883606
Least developed countries: UN classification,LDC,1.024,1058997540
Lebanon,LBN,1.033,7303125
Lesotho,LSO,1.002,2116672
Liberia,LBR,1.03,5108890
Libya,LBY,1.012,6844086
Liechtenstein,LIE,1.007,38475
Lithuania,LTU,0.9877,2733144
Low & middle income,LMY,1.013,6553378164
Low income,LIC,1.027,743626769
Lower middle income,LMC,1.016,3118115079
Luxembourg,LUX,1.019,630779
"Macao SAR, China",MAC,1.022,659587
Madagascar,MDG,1.029,27794253
Malawi,MWI,1.027,19152062
Malaysia,MYS,1.017,32622577
Maldives,MDV,1.035,552037
Mali,MLI,1.031,20292317
Malta,MLT,1.012,496458
Marshall Islands,MHL,1.008,59332
Mauritania,MRT,1.029,4662786
Mauritius,MUS,1.004,1274331
Mexico,MEX,1.014,129654253
"Micronesia, Fed. Sts.",FSM,1.003,113238
Middle East & North Africa,MEA,1.02,466881566
Middle East & North Africa (IDA & IBRD countries),TMN,1.018,391762860
Middle East & North Africa (excluding high income),MNA,1.018,396559694
Middle income,MIC,1.012,5812356158
Moldova,MDA,0.9957,2682880
Monaco,MCO,1.01,39486
Mongolia,MNG,1.016,3270171
Montenegro,MNE,1.002,624177
Morocco,MAR,1.013,36937822
Mozambique,MOZ,1.029,31215717
Myanmar,MMR,1.008,54546775
Namibia,NAM,1.017,2534225
Nauru,NRU,1.012,12998
Nepal,NPL,1.009,28590852
Netherlands,NLD,1.004,17383205
New Caledonia,NCL,1.016,293258
New Zealand,NZL,1.013,4964681
Nicaragua,NIC,1.014,6642666
Niger,NER,1.039,24213446
Nigeria,NGA,1.027,206401478
North America,NAC,1.008,369952891
North Korea,PRK,1.006,25858909
North Macedonia,MKD,1.001,2088377
Northern Mariana Islands,MNP,0.9994,56819
Norway,NOR,1.009,5411934
OECD members,OED,1.007,1320286954
Oman,OMN,1.043,5252599
Other small states,OSS,1.022,32106953
Pacific island small states,PSS,1.013,2519546
Pakistan,PAK,1.022,221843678
Palau,PLW,0.9964,17779
Panama,PAN,1.018,4328485
Papua New Guinea,PNG,1.022,8983928
Paraguay,PRY,1.015,7165956
Peru,PER,1.011,32670922
Philippines,PHL,1.018,110425890
