Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
2020-03-23,All,3.9653765e7,,,,,,,,,,,,,
2020-03-24,All,3.9653765e7,,,,,,,,,,,,,
2020-03-25,All,3.9653765e7,,,,,,,,,,,,,
2020-03-26,All,3.9653765e7,,,,,,,,,,,,,
2020-03-27,All,3.9653765e7,,,,,,,,,,,,,
2020-03-28,All,3.9653765e7,,,,,,,,,,,,,
2020-03-29,All,3.9653765e7,0.0831,0.222,0.0909,,0.0461,0.548,,,22289.71,0.915,,1.16,1.16
2020-03-30,All,3.9653765e7,0.006,0.222,0.0909,,0.114,1.08,0.0076,,45297.67,0.0659,1.25,1.05,1.05
2020-03-31,All,3.9653765e7,0.006,0.222,0.0909,,0.129,0.527,0.0161,,24058.45,0.0659,1.42,1.05,1.05
2020-04-01,All,3.9653765e7,0.006,0.222,0.0954,,0.139,0.465,0.0056,,23118.94,0.0628,1.46,1.05,1.05
2020-04-02,All,3.9653765e7,0.006,0.222,0.0909,0.0826,0.119,0.871,0.0141,0.096,47718.41,0.0659,1.31,1.12,1.12
2020-04-03,All,3.9653765e7,0.006,0.172,0.0909,0.0841,0.102,0.478,0.0099,0.0966,44674.15,0.0659,1.13,1.15,1.15
2020-04-04,All,3.9653765e7,0.006,0.222,0.0999,0.0711,0.111,0.382,0.0186,0.0764,23775.51,0.06,1.11,1.11,1.11
2020-04-05,All,3.9653765e7,0.006,0.222,0.0909,0.069,0.1,0.288,0.0058,0.0772,19543.85,0.0659,1.1,1.12,1.12
2020-04-06,All,3.9653765e7,0.006,0.222,0.0932,0.0601,0.0744,0.276,0.0193,0.064,19883.55,0.0643,0.799,1.11,1.11
2020-04-07,All,3.9653765e7,0.006,0.222,0.0909,0.0914,0.0852,1.01,0.0148,0.137,78874.07,0.0659,0.938,1.18,1.18
2020-04-08,All,3.9653765e7,0.006,0.222,0.0945,,0.114,1.74,0.0068,,147767.48,0.0634,1.2,1.06,1.06
2020-04-10,All,3.9653765e7,0.006,0.172,0.0915,,0.126,0.551,0.0079,,83251.87,0.0655,1.38,1.08,1.08
2020-04-11,All,3.9653765e7,0.0976,0.222,0.099,,0.0586,0.658,0.0099,,59689.94,0.985,0.6,1.55,1.55
2020-04-12,All,3.9653765e7,0.006,0.222,0.0909,,0.125,0.279,0.0052,,25519.93,0.0659,1.37,1.08,1.08
2020-04-13,All,3.9653765e7,0.006,0.222,0.0909,0.0969,0.109,0.369,0.0076,0.135,33839.92,0.0659,1.2,1.26,1.26
2020-04-14,All,3.9653765e7,0.006,0.222,0.093,0.0886,0.118,0.344,0.007,0.121,30642.62,0.0644,1.27,1.24,1.24
2020-04-15,All,3.9653765e7,0.006,0.222,0.0909,0.0876,0.111,0.414,0.0148,0.121,35417.85,0.0659,1.22,1.24,1.24
2020-04-16,All,3.9653765e7,0.006,0.222,0.0919,0.0812,0.118,1.03,0.0074,0.11,87865.53,0.0652,1.29,1.22,1.22
2020-04-17,All,3.9653765e7,0.006,0.222,0.0909,0.0757,0.116,0.868,0.0153,0.1,75751.25,0.0659,1.28,1.21,1.21
2020-04-18,All,3.9653765e7,0.006,0.222,0.0909,0.0711,0.0969,0.864,0.0042,0.0923,76363.47,0.0659,1.07,1.2,1.2
2020-04-19,All,3.9653765e7,0.006,0.222,0.0909,0.0692,0.0737,0.839,0.0103,0.0791,69339.06,0.0659,0.811,1.2,1.2
2020-04-20,All,3.9653765e7,0.006,0.222,0.0909,0.0678,0.0703,0.6,0.0061,0.0793,47052.05,0.0659,0.773,1.2,1.2
2020-04-21,All,3.9653765e7,0.0401,0.222,0.0909,0.065,0.0274,,0.0074,0.0738,,0.441,0.304,1.29,1.29
2020-04-22,All,3.9653765e7,0.006,0.222,0.0909,0.0735,0.0512,0.447,0.0077,0.0941,32388.62,0.0659,0.563,1.22,1.22
2020-04-24,All,3.9653765e7,0.006,0.222,0.0909,0.0663,0.0595,0.688,0.0074,0.0839,38705.97,0.0659,0.654,1.18,1.18
2020-04-25,All,3.9653765e7,0.006,0.222,0.0909,0.063,0.051,0.514,0.0017,0.0797,27717.48,0.0659,0.561,1.16,1.16
2020-04-26,All,3.9653765e7,0.006,0.222,0.0945,0.06,0.0511,,0.0033,0.0759,,0.0634,0.541,1.15,1.15
2020-04-27,All,3.9653765e7,0.006,0.222,0.0973,0.0574,0.0744,0.423,0.0033,0.0724,21824.89,0.0615,0.764,1.14,1.14
2020-04-28,All,3.9653765e7,0.006,0.222,0.0966,0.0551,0.0761,0.262,0.0092,0.0691,12912.45,0.062,0.788,1.13,1.13
2020-04-29,All,3.9653765e7,0.006,0.222,0.1,0.0531,0.122,1.02,0.0139,0.0661,49176.06,0.0596,1.22,1.12,1.12
2020-04-30,All,3.9653765e7,0.006,0.222,0.0909,,0.158,0.77,0.0137,,35821.06,0.0659,1.73,1.05,1.05
2020-05-01,All,3.9653765e7,0.006,0.222,0.0909,,0.147,0.922,0.0165,,40470.88,0.0659,1.62,1.05,1.05
2020-05-02,All,3.9653765e7,0.006,0.222,0.0962,,0.128,1.57,0.0129,,63246.65,0.0622,1.33,1.04,1.04
2020-05-03,All,3.9653765e7,0.006,0.222,0.0954,,0.349,0.657,0.0115,,25591.15,0.0628,3.66,1.04,1.04
