Key,Group Name,M,β,γ,α,μ
Abreu e Lima,Group 1,100990.0,0.08211,0.2004,0.03966,
Acaraú,Group 1,63267.0,0.277,0.126,0.0736,
Acrelândia,Group 1,15409.0,0.1194,0.5619,0.09532,
Adamantina,Group 1,35419.0,,,,
Afonso Cláudio,Group 1,30892.0,0.1111,0.1667,0.1232,
Agudos,Group 1,37586.0,0.03799,0.3364,0.02309,
Alagoa Grande,Group 1,28781.0,,,,
Alcântaras,Group 1,11831.0,0.1056,0.3771,0.04762,
Alenquer,Group 1,57357.0,,,,
Alfenas,Group 1,80796.0,,,,
Alfredo Chaves,Group 1,14747.0,,,,
Almenara,Group 1,42315.0,,,,
Almirante Tamandaré,Group 1,119809.0,,,,
Altamira,Group 1,115740.0,0.2521,0.2509,0.1993,
Alto Alegre do Pindaré,Group 1,32238.0,,,,
Alto Paraná,Group 1,14918.0,,,,
Altos,Group 1,40929.0,,,,
Alvorada,Group 1,212408.0,0.05898,0.5903,0.03095,
Amaporã,Group 1,6320.0,,,,
Amaraji,Group 1,23057.0,0.124,0.08302,0.2593,
Amaturá,Group 1,11651.0,0.01,0.01,0.0915,
Americana,Group 1,241993.0,0.02335,0.3853,0.01954,
Américo Brasiliense,Group 1,40909.0,,,,
Anajatuba,Group 1,27071.0,0.1367,0.1052,0.1083,
Ananindeua,Group 1,535904.0,0.1241,0.1953,0.07996,
Anchieta,Group 1,29556.0,,,,
Andradina,Group 1,57729.0,0.1186,0.226,0.04672,
Angra dos Reis,Group 1,205823.0,,,,
Anori,Group 1,21220.0,,,,
Anápolis,Group 1,390792.0,0.02798,1.0,0.00598,
Anísio de Abreu,Group 1,9979.0,,,,
Aparecida de Goiânia,Group 1,583961.0,0.05676,0.2374,0.04024,
Apodi,Group 1,36203.0,0.01,0.01,0.1159,
Apucarana,Group 1,136346.0,0.09068,0.2535,0.02609,
Aquiraz,Group 1,81074.0,0.1003,0.3125,0.04562,
Arabutã,Group 1,4310.0,,,,
Aracati,Group 1,75292.0,0.1934,0.07793,0.08083,
Aracoiaba,Group 1,26734.0,,,,
Aracruz,Group 1,102232.0,0.05733,0.09708,0.05684,
Araguari,Group 1,118440.0,0.01,0.01,0.03611,
Araguaína,Group 1,182275.0,,,,
Arapiraca,Group 1,234064.0,0.1124,0.2015,0.05848,
Arapongas,Group 1,124257.0,,,0.0,
Araruama,Group 1,133724.0,0.06438,0.1058,0.02919,
Araruna,Group 1,14110.0,0.03746,0.6359,0.03333,
Araçatuba,Group 1,198986.0,0.05479,0.3414,0.02102,
Araçoiaba da Serra,Group 1,34487.0,,,,
Arcos,Group 1,40493.0,,,,
Arcoverde,Group 1,75081.0,0.1762,0.2938,0.1357,
Areia Branca,Group 1,28052.0,,,,
Areiópolis,Group 1,11240.0,,,,
Ariquemes,Group 1,108942.0,,,,
Armazém,Group 1,8761.0,,,,
Arneiroz,Group 1,7918.0,,,,
Arroio do Meio,Group 1,21013.0,,,,
Artur Nogueira,Group 1,54952.0,,,,
Arujá,Group 1,90722.0,0.1155,0.3934,0.05536,
Assis,Group 1,105430.0,0.09658,0.1965,0.07095,
Atibaia,Group 1,144189.0,0.03137,0.1982,0.02755,
Augusto Corrêa,Group 1,46458.0,0.1184,0.2312,0.05711,
Aurora do Pará,Group 1,31651.0,,,,
Autazes,Group 1,39961.0,0.147,0.3869,0.1087,
Avaré,Group 1,91562.0,0.06244,0.3117,0.04923,
Açailândia,Group 1,113569.0,,,,
Açu,Group 1,58597.0,0.08001,0.307,0.03276,
Bacabal,Group 1,105998.0,0.1169,0.1995,0.07182,
Bacabeira,Group 1,17226.0,,,,
Bagé,Group 1,122354.0,,,,
Balneário Piçarras,Group 1,23378.0,,,,
Balsas,Group 1,95836.0,,,,
Banabuiú,Group 1,18379.0,,,,
Barbacena,Group 1,138686.0,0.07656,0.01509,0.1,
Barbalha,Group 1,61389.0,,,,
Barcarena,Group 1,125927.0,0.09764,0.1716,0.1139,
Barcelos,Group 1,27777.0,0.01,0.01,0.4864,
Barra Mansa,Group 1,186256.0,0.1375,0.1381,0.06352,
Barra do Garças,Group 1,61622.0,0.01,0.01,0.3018,
