Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-17,AC,3,0,0,881935,12,0,3,,,,,,,,,,,,,,,0.0,0.0461,3.4,0.0,0.0,0.0,3.4
2020-03-18,AC,3,0,0,881935,12,0,3,,,,,,,,,,,,,,,0.0,0.0461,3.4,0.0,0.0,0.0,3.4
2020-03-19,AC,4,0,0,881935,12,0,4,,,,,,,,,,,,,,,0.0,0.0461,4.54,0.0,0.0,0.0,4.54
2020-03-20,AC,7,0,0,881935,12,0,7,2.33,,,,,,,,,,,,,,0.0,0.0461,7.94,0.0,0.0,0.0,7.94
2020-03-21,AC,11,0,0,881935,12,0,11,3.0,,,,,,,,,,,,,,0.0,0.0461,12.47,0.0,0.0,0.0,12.47
2020-03-22,AC,11,0,0,881935,12,0,11,3.17,,,,,,,,,,,,,,0.0,0.0461,12.47,0.0,0.0,0.0,12.47
2020-03-23,AC,17,0,0,881935,12,0,17,2.67,,,,,0.0833,,,,,,,,,0.0,0.0461,19.28,0.0,0.0,0.0,19.28
2020-03-24,AC,21,0,0,881935,12,0,21,2.33,,,,,0.0556,,,,,,,,,0.0,0.0461,23.81,0.0,0.0,0.0,23.81
2020-03-25,AC,23,0,0,881935,12,0,23,2.33,,,,,0.0,,,,,0.0208,,,,0.0,0.0461,26.08,0.0,0.0,0.0,26.08
2020-03-26,AC,23,0,0,881935,12,0,23,2.83,,,,,0.111,,,,,0.0347,,,,0.0,0.0461,26.08,0.0,0.0,0.0,26.08
2020-03-27,AC,25,0,0,881935,12,0,25,3.33,,,,,0.167,,,,,,-0.0347,,,0.0,0.0461,28.35,0.0,0.0,0.0,28.35
2020-03-28,AC,25,0,0,881935,12,0,25,3.17,,,,,0.194,,,,,-0.1181,-0.0434,,,0.0,0.0461,28.35,0.0,0.0,0.0,28.35
2020-03-29,AC,34,0,0,881935,12,0,34,3.33,,,,,-0.1389,,,,,-0.1181,,,,0.0,0.0461,38.55,0.0,0.0,0.0,38.55
2020-03-30,AC,41,0,1,881935,12,1,40,3.33,,,,,-0.3611,,,,,-0.1389,,,0.0,0.0,0.0461,46.49,0.0,1.13,1.13,45.35
