Country,Country Code,Avg Pop Factor,Estimated Population
Afghanistan,AFG,1.03,39653765
Albania,ALB,0.996,2842650
Algeria,DZA,1.02,43697354
American Samoa,ASM,0.998,55209
Andorra,AND,1.01,78418
Angola,AGO,1.04,33046756
Antigua And Barbuda,ATG,1.01,98848
Arab World,ARB,1.02,438704429
Argentina,ARG,1.01,45433446
Armenia,ARM,0.998,2938968
Aruba,ABW,1.01,107657
Australia,AUS,1.01,25731295
Austria,AUT,1.01,8937767
Azerbaijan,AZE,1.01,10175641
Bahamas,BHS,1.01,396839
Bahrain,BHR,1.05,1726667
Bangladesh,BGD,1.01,165611088
Barbados,BRB,1.0,288373
Belarus,BLR,0.997,9429921
Belgium,BEL,1.01,11572730
Belize,BLZ,1.02,402155
Benin,BEN,1.03,12160701
Bermuda,BMU,1.0,64215
Bhutan,BTN,1.01,775132
Bolivia,BOL,1.02,11736772
Bosnia And Herzegovina,BIH,0.993,3279568
Botswana,BWA,1.02,2334686
Brazil,BRA,1.01,213724406
British Virgin Islands,VGB,1.02,31099
Brunei,BRN,1.01,441178
Bulgaria,BGR,0.992,6908148
Burkina Faso,BFA,1.03,20953200
Burundi,BDI,1.03,11893778
Cabo Verde,CPV,1.01,558398
Cambodia,KHM,1.02,16782527
Cameroon,CMR,1.03,26614607
Canada,CAN,1.01,37842862
Caribbean Small States,CSS,1.01,7459436
Cayman Islands,CYM,1.02,67215
Central African Republic,CAF,1.01,4796900
Central Europe And The Baltics,CEB,0.997,101872767
Chad,TCD,1.03,16575069
Channel Islands,CHI,1.01,173144
Chile,CHL,1.01,19148883
China,CHN,1.01,1407987086
Colombia,COL,1.01,50907732
Comoros,COM,1.02,872888
Congo-Brazzaville,COG,1.03,5554412
Congo-Kinshasa,COD,1.03,89656528
Costa Rica,CRI,1.01,5130266
Cote D'Ivoire,CIV,1.02,26269866
Croatia,HRV,0.995,4047622
Cuba,CUB,1.0,11361908
Curacao,CUW,1.01,162976
Cyprus,CYP,1.01,1220282
Czech Republic,CZE,1.0,10672417
Denmark,DNK,1.0,5846408
Djibouti,DJI,1.02,990313
Dominica,DMA,1.0,71848
Dominican Republic,DOM,1.01,10898284
Early-Demographic Dividend,EAR,1.02,3349205428
East Asia & Pacific,EAS,1.01,2361679204
East Asia & Pacific (IDA & IBRD Countries),TEA,1.01,2087514872
East Asia & Pacific (Excluding High Income),EAP,1.01,2113409857
Ecuador,ECU,1.02,17659604
