income_group,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Low income,2020-01-22,603059507,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-23,603059507,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-24,603059507,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-25,603059507,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,,
Low income,2020-01-26,603059507,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,,
Low income,2020-01-27,603059507,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,,
Low income,2020-01-28,603059507,3,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,3.0,0.004974633456860502
Low income,2020-01-29,603059507,4,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,4.0,0.006632844609147336
Low income,2020-01-30,603059507,5,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,5.0,0.00829105576143417
Low income,2020-01-31,603059507,,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,,
Low income,2020-02-01,603059507,,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,0.001658211152286834,0.0,0.0,0.0,0.001658211152286834,,
Low income,2020-02-02,603059507,,1,1,0,1,1,0,0.0,,,,,,,,,,,,,0.0,0.0,0.001658211152286834,0.0,0.001658211152286834,0.001658211152286834,0.0,,
Low income,2020-02-03,603059507,,1,1,0,1,1,0,0.0,,,,,,,,,,,,,0.0,0.0,0.001658211152286834,0.0,0.001658211152286834,0.001658211152286834,0.0,,
