income_group,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
High income,2020-01-22,1152317758,16,4,0,0,4,0,4,,,,,,,,,,,,,,,0.0,0.003471264737725234,0.0,0.0,0.0,0.003471264737725234,4.0,0.013885058950900937
High income,2020-01-23,1152317758,,5,0,0,5,0,5,,,,,,,,,,,,,,,0.0,0.0043390809221565425,0.0,0.0,0.0,0.0043390809221565425,,
High income,2020-01-24,1152317758,28,11,0,0,11,0,11,,,,,,,,,,,,,,,0.0,0.009545978028744394,0.0,0.0,0.0,0.009545978028744394,2.5454545454545454,0.02429885316407664
High income,2020-01-25,1152317758,38,12,0,0,12,0,12,5.333333333333333,,,,,,,,,,,,,,0.0,0.010413794213175703,0.0,0.0,0.0,0.010413794213175703,3.1666666666666665,0.032977015008389725
High income,2020-01-26,1152317758,103,23,1,0,23,1,22,6.333333333333333,,,,,,,,,,,,,0.0,0.0,0.019959772241920096,0.0,0.0008678161844313085,0.0008678161844313085,0.019091956057488788,4.478260869565218,0.08938506699642479
High income,2020-01-27,1152317758,175,27,5,0,27,5,22,7.0,,,,,,,,,,,,,0.0,0.0,0.023431036979645332,0.0,0.0043390809221565425,0.0043390809221565425,0.019091956057488788,6.481481481481482,0.151867832275479
High income,2020-01-28,1152317758,348,36,6,0,36,6,30,10.5,,,,,1.0555555555555556,,,,,,,,0.0,0.0,0.03124138263952711,0.0,0.005206897106587852,0.005206897106587852,0.02603448553293926,9.666666666666666,0.30200003218209537
High income,2020-01-29,1152317758,235,43,9,0,43,9,34,11.666666666666666,3.3333333333333335,,,,1.0000000000000002,,,,,,,,0.0,0.0,0.037316095930546266,0.0,0.0078103456598817775,0.0078103456598817775,0.02950575027066449,5.465116279069767,0.20393680334135753
High income,2020-01-30,1152317758,628,53,12,0,53,12,41,12.333333333333334,3.3333333333333335,,,,0.8055555555555557,,,,,-0.4305555555555555,,,0.0,0.0,0.045994257774859354,0.0,0.010413794213175703,0.010413794213175703,0.03558046356168365,11.849056603773585,0.5449885638228618
High income,2020-01-31,1152317758,424,75,16,0,75,16,59,11.666666666666666,4.5,,,,-0.25,,,,,-0.43055555555555564,,,0.0,0.0,0.06508621383234814,0.0,0.013885058950900937,0.013885058950900937,0.051201154881447206,5.653333333333333,0.36795406219887483
