Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
High income,2020-01-22,1112137511,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.0027,0.0,0.0,0.0,0.0027,,
High income,2020-01-23,1112137511,,4,0,0,4,0,4,,,,,,,,,,,,,,,,0.0036,0.0,0.0,0.0,0.0036,,
High income,2020-01-24,1112137511,3,9,0,0,9,0,9,,,,,,,,,,,,,,,,0.0081,0.0,0.0,0.0,0.0081,0.333,0.0027
High income,2020-01-25,1112137511,7,10,0,0,10,0,10,,,,,,,,,,,,,,,,0.009,0.0,0.0,0.0,0.009,0.7,0.0063
High income,2020-01-26,1112137511,107,20,1,0,20,1,19,5.14,5.14,1.14,0.0,1.14,4.0,,,,,,,,,0.0,0.018,0.0,0.0009,0.0009,0.0171,5.35,0.0962
High income,2020-01-27,1112137511,149,23,4,0,23,4,19,6.43,6.43,1.57,0.0,1.57,4.86,,,,,,,,,0.0,0.0207,0.0,0.0036,0.0036,0.0171,6.48,0.134
High income,2020-01-28,1112137511,64,32,5,0,32,5,27,7.86,7.86,2.0,0.0,2.0,5.86,,,,,,,,,0.0,0.0288,0.0,0.0045,0.0045,0.0243,2.0,0.0575
High income,2020-01-29,1112137511,286,39,8,0,39,8,31,10.14,10.14,2.57,0.0,2.57,7.57,1.09,0.486,0.0,0.486,0.6,,,,0.0,0.0351,0.0,0.0072,0.0072,0.0279,7.33,0.257
High income,2020-01-30,1112137511,327,49,11,0,49,11,38,9.43,9.43,3.0,0.0,3.0,6.43,0.857,0.543,0.0,0.543,0.314,,,,0.0,0.0441,0.0,0.0099,0.0099,0.0342,6.67,0.294
High income,2020-01-31,1112137511,247,64,14,0,64,14,50,10.57,10.57,3.57,0.0,3.57,7.0,0.543,0.543,0.0,0.543,0.0,,,,0.0,0.0575,0.0,0.0126,0.0126,0.045,3.86,0.222
High income,2020-02-01,1112137511,525,81,18,0,81,18,63,10.71,10.71,4.29,0.0,4.29,6.43,-0.1714,0.571,0.0,0.571,-0.7429,-0.3371,,,0.0,0.0728,0.0,0.0162,0.0162,0.0566,6.48,0.472
High income,2020-02-02,1112137511,408,86,22,0,86,22,64,10.57,10.57,4.71,0.0,4.71,5.86,-0.3143,0.571,0.0,0.571,-0.8857,-0.2686,,,0.0,0.0773,0.0,0.0198,0.0198,0.0575,4.74,0.367
High income,2020-02-03,1112137511,435,97,29,0,97,29,68,9.29,9.29,5.43,0.0,5.43,3.86,-0.6,0.514,0.0,0.514,-1.1143,-0.2171,,,0.0,0.0872,0.0,0.0261,0.0261,0.0611,4.48,0.391
High income,2020-02-04,1112137511,468,107,35,0,107,35,72,7.86,7.86,5.86,0.0,5.86,2.0,-0.4857,0.457,0.0,0.457,-0.9429,-0.04,0.105,,0.0,0.0962,0.0,0.0315,0.0315,0.0647,4.37,0.421
