Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
,2020-02-08,,,78,14,0,78,14,64,23.67,5.0,,,,2.5,1.33,,,,-0.6319,,,0.0,0.0,,,,,,,
,2020-02-09,,,82,20,0,82,20,62,29.5,6.83,,,,4.14,1.47,,,,0.917,0.307,,0.0,0.0,,,,,,,
,2020-02-10,,,153,25,0,153,25,128,19.33,9.0,,,,2.22,1.69,,,,0.722,,,0.0,0.0,,,,,,,
,2020-02-11,,,153,36,0,153,36,117,26.33,9.67,,,,5.03,1.78,,,,1.29,-0.3073,-0.3377,0.0,0.0,,,,,,,
,2020-02-12,,,193,47,0,193,47,146,36.83,11.33,,,,5.39,2.06,,,,1.28,-0.408,,0.0,0.0,,,,,,,
,2020-02-13,,,193,61,0,193,61,132,37.0,13.5,,,,9.31,2.31,,,,-0.3125,-1.0434,,0.0,0.0,,,,,,,
,2020-02-14,,,236,72,0,236,72,164,53.83,15.67,,,,7.33,2.97,,,,-0.9097,-1.1458,,0.0,0.0,,,,,,,
,2020-02-15,,,303,88,0,303,88,215,61.83,19.17,,,,3.78,3.31,,,,-2.8819,,,0.0,0.0,,,,,,,
,2020-02-16,,,375,106,1,375,107,268,75.17,22.83,,,,1.75,3.42,,,,-3.3056,,,0.0093,0.0027,,,,,,,
,2020-02-17,,,476,130,1,476,131,345,70.33,27.5,,,,-2.2222,3.22,,,,-3.5208,,,0.0076,0.0021,,,,,,,
,2020-02-18,,,564,162,1,564,163,401,59.5,31.17,,,,-5.8889,2.69,,,,-2.7778,,,0.0061,0.0018,,,,,,,
,2020-02-19,,,644,198,1,644,199,445,47.5,34.0,0.333,34.33,13.17,-10.3056,1.94,,,,,,,0.005,0.0016,,,,,,,
,2020-02-20,,,658,237,3,658,240,418,40.5,35.0,0.5,35.5,5.0,-9.3611,0.861,,,,,,,0.0125,0.0046,,,,,,,
,2020-02-21,,,660,275,3,660,278,382,26.5,35.33,0.5,35.83,-9.3333,-7.5556,-0.0278,,,,,,,0.0108,0.0045,,,,,,,
,2020-02-22,,,660,310,3,660,313,347,13.33,34.5,0.5,35.0,-21.6667,-5.5,-0.8333,0.0556,-0.7778,-4.7222,,,,0.0096,0.0045,,,,,,,
,2020-02-23,,,719,340,4,719,344,375,14.17,32.67,0.333,33.0,-18.8333,-5.6667,-1.1944,0.0,-1.1944,-4.4722,,,,0.0116,0.0056,,,,,,,
,2020-02-24,,,723,374,4,723,378,345,14.17,31.0,0.333,31.33,-17.1667,-3.25,-1.5833,0.0,-1.5833,-1.6667,,,,0.0106,0.0055,,,,,,,
,2020-02-25,,,724,405,4,724,409,315,14.5,29.0,0.667,29.67,-15.1667,-0.8611,-1.7222,0.0,-1.7222,0.861,,,,0.0098,0.0055,,,,,,,
,2020-02-26,,,743,433,5,743,438,305,6.5,27.83,0.5,28.33,-21.8333,-1.3056,-1.6389,0.0,-1.6389,0.333,,,,0.0114,0.0067,,,,,,,
,2020-02-27,,,745,461,5,745,466,279,7.0,25.83,0.5,26.33,-19.3333,-1.2778,-1.6667,0.0556,-1.6111,0.333,,,,0.0107,0.0067,,,,,,,
,2020-02-28,,,747,484,7,747,491,256,8.17,24.17,0.5,24.67,-16.5,-1.3333,-1.5,-0.0556,-1.5556,0.222,,,,0.0143,0.0094,,,,,,,
,2020-02-29,,,758,507,7,758,514,244,6.33,22.83,0.333,23.17,-16.8333,-0.1111,-1.5278,0.0,-1.5278,1.42,,,,0.0136,0.0092,,,,,,,
,2020-03-01,,,765,529,7,765,536,229,6.5,21.0,0.667,21.67,-15.1667,0.0,-1.4167,0.0278,-1.3889,1.39,,,,0.0131,0.0092,,,,,,,
,2020-03-02,,,773,550,7,773,557,216,6.5,20.0,0.333,20.33,-13.8333,-0.1667,-1.3889,0.0833,-1.3056,1.14,,,,0.0126,0.0091,,,,,,,
,2020-03-03,,,781,570,7,781,577,204,5.83,18.67,0.5,19.17,-13.3333,-0.0833,-1.3056,0.111,-1.1944,1.11,,,,0.0121,0.009,,,,,,,
,2020-03-04,,,784,587,9,784,596,188,7.0,17.33,0.667,18.0,-11.0,0.194,-1.1667,0.0278,-1.1389,1.33,,,,0.0151,0.0115,,,,,,,
,2020-03-05,,,786,604,9,786,613,173,7.17,15.83,1.0,16.83,-9.6667,0.222,-1.1111,0.111,-1.0,1.22,,,,0.0147,0.0115,,,,,,,
,2020-03-06,,13555,793,619,10,793,629,164,5.83,15.0,1.0,16.0,-10.1667,0.167,-1.0,0.0833,-0.9167,1.08,0.104,,,0.0159,0.0126,,,,,,17.09,
,2020-03-07,,13855,807,633,11,807,644,163,7.67,14.0,0.833,14.83,-7.1667,0.444,-0.8889,0.0556,-0.8333,1.28,0.271,,,0.0171,0.0136,,,,,,17.17,
,2020-03-08,,14154,816,645,13,816,658,158,7.83,13.33,1.0,14.33,-6.5,0.611,-0.6111,-0.0278,-0.6389,1.25,0.264,0.153,,0.0198,0.0159,,,,,,17.35,
,2020-03-09,,14635,816,660,13,816,673,143,6.83,12.67,1.0,13.67,-6.8333,1.31,-0.5278,-0.0278,-0.5556,1.86,0.451,0.0469,,0.0193,0.0159,,,,,,17.94,
,2020-03-10,,14970,830,671,14,830,685,145,9.67,12.0,1.0,13.0,-3.3333,1.22,-0.2778,-0.0278,-0.3056,1.53,0.715,0.092,-0.0738,0.0204,0.0169,,,,,,18.04,
,2020-03-11,,15413,833,684,15,833,699,134,10.83,12.17,0.833,13.0,-2.1667,2.25,-0.1667,-0.0556,-0.2222,2.47,0.458,-0.0365,-0.0347,0.0215,0.018,,,,,,18.5,
,2020-03-12,,16089,834,695,16,834,711,123,13.67,11.83,0.833,12.67,1.0,3.47,0.0833,-0.0556,0.0278,3.44,0.632,-0.1424,-0.0534,0.0225,0.0192,,,,,,19.29,
,2020-03-13,,16530,865,705,17,865,722,143,15.0,12.33,0.667,13.0,2.0,3.14,0.389,-0.0556,0.333,2.81,0.306,-0.092,,0.0235,0.0197,,,,,,19.11,
,2020-03-14,,16911,881,718,18,881,736,145,21.33,12.33,0.667,13.0,8.33,3.75,0.444,0.0833,0.528,3.22,0.146,-0.1215,,0.0245,0.0204,,,,,,19.2,
,2020-03-15,,17219,898,731,18,898,749,149,27.67,13.17,0.667,13.83,13.83,3.47,0.722,0.111,0.833,2.64,0.0903,0.0104,,0.024,0.02,,,,,,19.17,
,2020-03-16,,17935,920,745,18,920,763,157,28.5,14.33,0.667,15.0,13.5,4.06,0.778,0.25,1.03,3.03,0.146,-0.0035,,0.0236,0.0196,,,,,,19.49,
,2020-03-17,,18812,961,758,19,961,777,184,33.33,14.83,1.33,16.17,17.17,3.5,1.0,0.306,1.31,2.19,0.347,0.179,-0.0052,0.0245,0.0198,,,,,,19.58,
,2020-03-18,,20014,1000,774,20,1000,794,206,34.5,16.17,1.5,17.67,16.83,4.33,1.06,0.444,1.5,2.83,0.132,0.092,,0.0252,0.02,,,,,,20.01,
,2020-03-19,,21376,1036,791,21,1036,812,224,39.33,17.0,2.17,19.17,20.17,4.86,1.31,0.5,1.81,3.06,0.806,-0.0104,-0.1189,0.0259,0.0203,,,,,,20.63,
,2020-03-20,,22743,1081,807,26,1081,833,248,42.33,18.33,2.5,20.83,21.5,4.58,1.58,0.5,2.08,2.5,0.514,0.0017,-0.0616,0.0312,0.0241,,,,,,21.04,
,2020-03-21,,23805,1105,828,27,1105,855,250,53.67,19.5,3.33,22.83,30.83,6.72,1.78,0.556,2.33,4.39,0.306,-0.2969,,0.0316,0.0244,,,,,,21.54,
,2020-03-22,,24609,1156,847,31,1156,878,278,57.67,22.17,3.67,25.83,31.83,6.39,2.36,0.389,2.75,3.64,0.139,-0.1545,-0.0477,0.0353,0.0268,,,,,,21.29,
,2020-03-23,,25746,1215,868,34,1215,902,313,60.83,24.33,4.33,28.67,32.17,6.08,2.83,0.25,3.08,3.0,-0.3819,-0.2587,,0.0377,0.028,,,,,,21.19,
,2020-03-24,,26660,1322,891,40,1322,931,391,74.83,26.83,4.83,31.67,43.17,5.14,3.22,0.139,3.36,1.78,-0.1042,-0.1892,,0.043,0.0303,,,,,,20.17,
,2020-03-25,,27532,1382,924,43,1382,967,415,77.67,31.17,4.5,35.67,42.0,5.19,3.33,0.111,3.44,1.75,-0.7292,,,0.0445,0.0311,,,,,,19.92,
,2020-03-26,,28507,1446,953,52,1446,1005,441,78.83,35.33,4.0,39.33,39.5,5.97,3.75,-0.1111,3.64,2.33,-0.6181,,,0.0517,0.036,,,,,,19.71,
,2020-03-27,,29389,1554,989,56,1554,1045,509,84.5,38.83,4.17,43.0,41.5,3.17,4.0,-0.1944,3.81,-0.6389,-0.5625,,,0.0536,0.036,,,,,,18.91,
,2020-03-28,,29915,1622,1034,58,1622,1092,530,88.83,42.17,4.33,46.5,42.33,2.67,3.94,-0.1944,3.75,-1.0833,-0.9583,,,0.0531,0.0358,,,,,,18.44,
,2020-03-29,,30777,1688,1080,58,1688,1138,550,96.67,46.83,3.67,50.5,46.17,2.94,3.78,-0.0278,3.75,-0.8056,-0.3264,,,0.051,0.0344,,,,,,18.23,
,2020-03-30,,31800,1829,1124,65,1829,1189,640,93.83,50.83,3.67,54.5,39.33,2.14,3.72,-0.1111,3.61,-1.4722,-0.2431,,,0.0547,0.0355,,,,,,17.39,
,2020-03-31,,32726,1915,1177,69,1915,1246,669,93.67,54.83,3.33,58.17,35.5,1.86,3.61,-0.0556,3.56,-1.6944,-0.0694,,,0.0554,0.036,,,,,,17.09,
,2020-04-01,,33733,2026,1234,74,2026,1308,718,96.5,58.0,3.83,61.83,34.67,1.69,3.31,0.0278,3.33,-1.6389,0.174,,,0.0566,0.0365,,,,,,16.65,
,2020-04-02,,34557,2117,1294,78,2117,1372,745,97.33,61.17,3.5,64.67,32.67,2.67,3.25,0.0556,3.31,-0.6389,0.215,,,0.0569,0.0368,,,,,,16.32,
,2020-04-03,,35442,2184,1363,78,2184,1441,743,100.0,63.83,4.0,67.83,32.17,2.83,2.97,0.139,3.11,-0.2778,-0.2639,-0.3403,,0.0541,0.0357,,,,,,16.23,
,2020-04-04,,36304,2267,1428,81,2267,1509,758,106.83,66.67,3.83,70.5,36.33,2.72,3.03,0.0278,3.06,-0.3333,-0.6667,-0.441,,0.0537,0.0357,,,,,,16.01,
,2020-04-05,,37219,2413,1491,86,2413,1577,836,109.83,70.33,4.0,74.33,35.5,0.639,3.03,0.0833,3.11,-2.4722,-1.1875,,,0.0545,0.0356,,,,,,15.42,
,2020-04-06,,39011,2515,1560,93,2515,1653,862,110.67,72.67,4.17,76.83,33.83,0.0,2.92,-0.0833,2.83,-2.8333,-1.5486,,,0.0563,0.037,,,,,,15.51,
,2020-04-07,,40702,2667,1634,97,2667,1731,936,112.83,76.17,4.0,80.17,32.67,-1.9167,2.64,0.0,2.64,-4.5556,-0.8194,,,0.056,0.0364,,,,,,15.26,
,2020-04-08,,42315,2776,1716,102,2776,1818,958,101.17,79.33,4.0,83.33,17.83,-3.4722,2.19,-0.0833,2.11,-5.5833,,,,0.0561,0.0367,,,,,,15.24,
,2020-04-09,,43886,2848,1799,103,2848,1902,946,100.0,81.33,3.5,84.83,15.17,-2.6389,1.72,0.0278,1.75,-4.3889,,,,0.0542,0.0362,,,,,,15.41,
,2020-04-10,,45446,2944,1885,105,2944,1990,954,95.33,82.5,3.83,86.33,9.0,-3.5833,1.08,0.167,1.25,-4.8333,,,,0.0528,0.0357,,,,,,15.44,
,2020-04-11,,46547,3020,1967,110,3020,2077,943,89.0,83.5,3.5,87.0,2.0,0.417,0.694,0.111,0.806,-0.3889,,,,0.053,0.0364,,,,,,15.41,
,2020-04-12,,47215,3115,2048,114,3115,2162,953,94.83,83.0,4.33,87.33,7.5,0.194,0.667,0.139,0.806,-0.6111,,,,0.0527,0.0366,,,,,,15.16,
,2020-04-13,,48549,3239,2129,120,3239,2249,990,91.33,82.67,5.0,87.67,3.67,1.42,0.722,0.0,0.722,0.694,1.03,,,0.0534,0.037,,,,,,14.99,
,2020-04-14,,49748,3310,2217,123,3310,2340,970,103.67,83.5,4.67,88.17,15.5,4.42,0.722,0.0833,0.806,3.61,1.5,,,0.0526,0.0372,,,,,,15.03,
,2020-04-15,,50703,3417,2297,129,3417,2426,991,101.17,85.33,4.33,89.67,11.5,4.53,1.33,-0.1944,1.14,3.39,0.979,-0.0104,,0.0532,0.0378,,,,,,14.84,
,2020-04-16,,51603,3492,2381,135,3492,2516,976,103.83,86.83,3.83,90.67,13.17,6.19,1.86,-0.3611,1.5,4.69,0.5,-0.3003,,0.0537,0.0387,,,,,,14.78,
,2020-04-17,,52445,3642,2468,138,3642,2606,1036,115.5,87.83,4.0,91.83,23.67,5.33,2.03,-0.1111,1.92,3.42,0.986,-0.0156,,0.053,0.0379,,,,,,14.4,
,2020-04-18,,53005,3722,2560,140,3722,2700,1022,122.0,91.0,3.17,94.17,27.83,6.42,2.19,0.0,2.19,4.22,0.299,0.269,,0.0519,0.0376,,,,,,14.24,
,2020-04-19,,53632,3862,2650,143,3862,2793,1069,128.5,93.83,2.83,96.67,31.83,8.47,2.42,0.167,2.58,5.89,0.917,0.026,,0.0512,0.037,,,,,,13.89,
,2020-04-20,,55476,4003,2744,147,4003,2891,1112,135.67,95.67,4.0,99.67,36.0,7.39,2.83,0.278,3.11,4.28,1.58,0.635,-0.0742,0.0508,0.0367,,,,,,13.86,
,2020-04-21,,56853,4149,2843,148,4149,2991,1158,139.67,98.5,4.33,102.83,36.83,9.0,2.78,0.694,3.47,5.53,1.09,0.248,0.0273,0.0495,0.0357,,,,,,13.7,
,2020-04-22,,58003,4263,2944,152,4263,3096,1167,154.67,101.33,4.83,106.17,48.5,12.72,3.22,0.778,4.0,8.72,2.84,-0.0278,-0.4036,0.0491,0.0357,,,,,,13.61,
,2020-04-23,,59026,4456,3042,162,4456,3204,1252,159.83,104.83,5.67,110.5,49.33,12.83,4.28,0.417,4.69,8.14,1.91,0.135,-0.0577,0.0506,0.0364,,,,,,13.25,
,2020-04-24,,59840,4560,3151,166,4560,3317,1243,176.0,107.67,7.33,115.0,61.0,18.75,5.06,0.389,5.44,13.31,1.47,-0.9792,,0.05,0.0364,,,,,,13.12,
,2020-04-25,,60459,4790,3258,172,4790,3430,1360,204.83,113.17,7.5,120.67,84.17,16.64,6.42,0.306,6.72,9.92,1.63,0.0174,-0.1649,0.0501,0.0359,,,,,,12.62,
,2020-04-26,,60956,4962,3373,181,4962,3554,1408,212.67,121.33,6.5,127.83,84.83,18.58,7.47,0.139,7.61,10.97,-1.0764,-0.5399,,0.0509,0.0365,,,,,,12.28,
,2020-04-27,,61684,5205,3489,192,5205,3681,1524,252.17,128.83,6.67,135.5,116.67,19.36,8.64,0.0,8.64,10.72,1.98,-0.5243,-0.2925,0.0522,0.0369,,,,,,11.85,
,2020-04-28,,62368,5492,3623,197,5492,3820,1672,254.5,139.83,6.67,146.5,108.0,14.44,9.42,0.139,9.56,4.89,-0.6944,,,0.0516,0.0359,,,,,,11.36,
,2020-04-29,,62844,5732,3770,201,5732,3971,1761,271.33,149.67,6.5,156.17,115.17,24.56,9.61,0.528,10.14,14.42,-0.4653,-1.1528,,0.0506,0.0351,,,,,,10.96,
,2020-04-30,,63340,6073,3924,206,6073,4130,1943,292.17,159.5,7.33,166.83,125.33,15.81,10.86,0.639,11.5,4.31,0.542,,,0.0499,0.0339,,,,,,10.43,
,2020-05-01,,63713,6317,4097,212,6317,4309,2008,291.5,169.67,8.33,178.0,113.5,17.5,11.08,0.694,11.78,5.72,-2.6319,,,0.0492,0.0336,,,,,,10.09,
,2020-05-02,,64094,6590,4271,220,6590,4491,2099,360.0,179.0,9.67,188.67,171.33,16.61,11.64,0.667,12.31,4.31,1.19,-0.4965,,0.049,0.0334,,,,,,9.73,
,2020-05-03,,64436,6958,4446,236,6958,4682,2276,347.0,194.0,10.5,204.5,142.5,14.03,12.22,0.444,12.67,1.36,-3.7847,,,0.0504,0.0339,,,,,,9.26,
,2020-05-04,,64958,7241,4641,247,7241,4888,2353,359.5,206.33,10.83,217.17,142.33,20.56,12.64,0.25,12.89,7.67,-1.4444,-0.4687,,0.0505,0.0341,,,,,,8.97,
,2020-05-05,,65589,7892,4844,259,7892,5103,2789,371.0,219.5,10.5,230.0,141.0,2.36,13.61,-0.1667,13.44,-11.0833,-0.3958,,,0.0508,0.0328,,,,,,8.31,
,2020-05-06,,66046,8155,5088,269,8155,5357,2798,376.33,232.83,10.0,242.83,133.5,10.83,12.81,-0.3889,12.42,-1.5833,-0.6875,,,0.0502,0.033,,,,,,8.1,
,2020-05-07,,66460,8474,5335,277,8474,5612,2862,414.83,245.5,9.83,255.33,159.5,12.44,12.72,-0.4167,12.31,0.139,4.31,,,0.0494,0.0327,,,,,,7.84,
,2020-05-08,,66861,8816,5588,283,8816,5871,2945,374.17,260.67,8.67,269.33,104.83,17.81,12.72,-0.3611,12.36,5.44,0.417,,,0.0482,0.0321,,,,,,7.58,
,2020-05-09,,67133,9216,5843,296,9216,6139,3077,412.0,270.83,8.17,279.0,133.0,19.61,12.83,0.0,12.83,6.78,2.52,-0.9115,,0.0482,0.0321,,,,,,7.28,
,2020-05-10,,67400,9730,6114,306,9730,6420,3310,434.17,282.67,8.33,291.0,143.17,12.5,13.03,0.333,13.36,-0.8611,0.389,0.177,,0.0477,0.0314,,,,,,6.93,
,2020-05-11,,67758,10137,6408,311,10137,6719,3418,477.83,295.83,8.33,304.17,173.67,22.53,12.89,0.5,13.39,9.14,0.667,-0.4514,,0.0463,0.0307,,,,,,6.68,
,2020-05-12,,68107,10627,6713,318,10627,7031,3596,494.0,309.83,10.0,319.83,174.17,19.36,13.56,0.639,14.19,5.17,1.13,0.707,0.388,0.0452,0.0299,,,,,,6.41,
,2020-05-13,,68335,11079,7031,327,11079,7358,3721,489.83,323.67,11.83,335.5,154.33,22.28,13.97,0.694,14.67,7.61,0.715,1.39,,0.0444,0.0295,,,,,,6.17,
,2020-05-14,,68659,11683,7363,333,11683,7696,3987,509.33,338.0,11.67,349.67,159.67,17.0,14.42,0.917,15.33,1.67,3.22,1.73,0.0647,0.0433,0.0285,,,,,,5.88,
,2020-05-15,,68988,12180,7702,356,12180,8058,4122,528.17,352.17,12.0,364.17,164.0,25.39,15.17,0.333,15.5,9.89,6.24,1.51,-0.6063,0.0442,0.0292,,,,,,5.66,
,2020-05-16,,69206,12669,8056,377,12669,8433,4236,567.83,366.5,12.5,379.0,188.83,32.22,16.42,0.0278,16.44,15.78,8.03,0.965,-0.7951,0.0447,0.0298,,,,,,5.46,
,2020-05-17,,69395,13193,8436,381,13193,8817,4376,579.83,382.33,13.83,396.17,183.67,47.25,17.44,0.444,17.89,29.36,6.77,-1.0313,-1.0599,0.0432,0.0289,,,,,,5.26,
,2020-05-18,,69657,13796,8826,390,13796,9216,4580,646.33,400.83,12.0,412.83,233.5,49.14,20.14,0.417,20.56,28.58,7.08,-1.4531,-0.9327,0.0423,0.0283,,,,,,5.05,
,2020-05-19,,69876,14486,9230,402,14486,9632,4854,683.17,422.17,12.0,434.17,249.0,52.47,22.81,0.333,23.14,29.33,2.12,-2.7257,,0.0417,0.0278,,,,,,4.82,
,2020-05-20,,,15162,9657,416,15162,10073,5089,792.83,442.67,14.33,457.0,335.83,60.53,25.83,0.0,25.83,34.69,2.22,-2.7656,,0.0413,0.0274,,,,,,,
,2020-05-21,,70338,16058,10107,428,16058,10535,5523,823.0,473.0,14.5,487.5,335.5,55.72,28.64,0.389,29.03,26.69,-4.1319,-1.9236,,0.0406,0.0267,,,,,,4.38,
,2020-05-22,,70526,16768,10589,449,16768,11038,5730,882.67,503.33,14.5,517.83,364.83,58.03,31.08,0.278,31.36,26.67,-3.9861,-2.7483,,0.0407,0.0268,,,,,,4.21,
,2020-05-23,,70697,17950,11092,467,17950,11559,6391,943.0,537.33,13.83,551.17,391.83,35.94,33.94,-0.1389,33.81,2.14,-5.5764,,,0.0404,0.026,,,,,,3.94,
,2020-05-24,,70880,18734,11664,477,18734,12141,6593,980.67,572.67,14.33,587.0,393.67,44.58,34.03,-0.0556,33.97,10.61,-8.7708,,,0.0393,0.0255,,,,,,3.78,
,2020-05-25,,71101,19782,12250,489,19782,12739,7043,1031.33,608.67,13.67,622.33,409.0,33.42,34.75,0.25,35.0,-1.5833,-3.2778,,,0.0384,0.0247,,,,,,3.59,
,2020-05-26,,71405,20820,12881,499,20820,13380,7440,1008.5,646.33,13.5,659.83,348.67,22.94,34.22,0.611,34.83,-11.8889,-3.5069,,,0.0373,0.024,,,,,,3.43,
,2020-05-27,,71581,21942,13543,514,21942,14057,7885,1090.5,677.17,14.17,691.33,399.17,22.83,32.86,0.806,33.67,-10.8333,3.52,,,0.0366,0.0234,,,,,,3.26,
,2020-05-28,,71750,22956,14241,531,22956,14772,8184,1083.17,711.83,16.0,727.83,355.33,30.56,31.08,1.69,32.78,-2.2222,7.3,,,0.0359,0.0231,,,,,,3.13,
,2020-05-29,,71909,24001,14970,548,24001,15518,8483,1080.67,742.67,17.5,760.17,320.5,47.5,30.67,1.83,32.5,15.0,13.99,4.34,,0.0353,0.0228,,,,,,3.0,
,2020-05-30,,72082,25277,15727,562,25277,16289,8988,1117.67,769.83,19.17,789.0,328.67,52.14,31.92,1.97,33.89,18.25,22.01,1.71,,0.0345,0.0222,,,,,,2.85,
,2020-05-31,,72319,26281,16521,585,26281,17106,9175,1214.67,795.17,23.83,819.0,395.67,78.78,32.97,2.53,35.5,43.28,20.86,-1.6753,-3.4041,0.0342,0.0223,,,,,,2.75,
,2020-06-01,,72507,27304,17337,604,27304,17941,9363,1293.5,830.33,24.5,854.83,438.67,118.58,35.94,3.5,39.44,79.14,14.15,-6.9271,-2.8555,0.0337,0.0221,,,,,,2.66,
,2020-06-02,,72683,28648,18162,629,28648,18791,9857,1403.33,868.67,26.0,894.67,508.67,130.94,43.03,3.69,46.72,84.22,7.28,-9.2812,,0.0335,0.022,,,,,,2.54,
,2020-06-03,,72871,30244,19012,674,30244,19686,10558,1555.83,909.67,31.17,940.83,615.0,108.72,51.64,2.72,54.36,54.36,-5.7014,-9.7101,,0.0342,0.0223,,,,,,2.41,
,2020-06-04,,73040,31762,19952,695,31762,20647,11115,1792.17,958.33,38.5,996.83,795.33,107.92,55.72,3.56,59.28,48.64,-16.2639,-9.184,,0.0337,0.0219,,,,,,2.3,
,2020-06-05,,73225,33697,20939,718,33697,21657,12040,1903.33,1028.0,41.33,1069.33,834.0,95.78,59.44,4.25,63.69,32.08,-24.6944,,,0.0332,0.0213,,,,,,2.17,
,2020-06-06,,73359,35616,21979,772,35616,22751,12865,1867.0,1105.0,40.17,1145.17,721.83,65.89,63.17,3.53,66.69,-0.8056,-29.4514,,,0.0339,0.0217,,,,,,2.06,
,2020-06-07,,,38057,23087,835,38057,23922,14135,1941.0,1164.67,45.83,1210.5,730.5,9.94,64.25,2.31,66.56,-56.6111,-21.3194,,,0.0349,0.0219,,,,,,,
,2020-06-08,,,40068,24330,877,40068,25207,14861,1978.0,1225.33,51.5,1276.83,701.17,-9.8889,58.53,2.86,61.39,-71.2778,-14.75,,,0.0348,0.0219,,,,,,,
,2020-06-09,,73751,41446,25642,915,41446,26557,14889,1951.17,1288.67,52.33,1341.0,610.17,10.5,51.47,3.44,54.92,-44.4167,-1.9722,,,0.0345,0.0221,,,,,,1.78,
,2020-06-10,,,43408,26940,970,43408,27910,15498,1851.83,1343.83,52.33,1396.17,455.67,6.89,47.89,3.08,50.97,-44.0833,,,,0.0348,0.0223,,,,,,,
,2020-06-11,,,45565,28291,1027,45565,29318,16247,1844.0,1379.17,58.5,1437.67,406.33,2.06,44.36,2.64,47.0,-44.9444,7.2,,,0.035,0.0225,,,,,,,
,2020-06-12,,,47323,29711,1086,47323,30797,16526,1930.0,1413.83,60.83,1474.67,455.33,17.89,38.42,4.36,42.78,-24.8889,11.98,,,0.0353,0.0229,,,,,,,
,2020-06-13,,,49168,31150,1149,49168,32299,16869,1982.33,1452.0,64.33,1516.33,466.0,39.31,35.94,4.64,40.58,-1.2778,10.96,-2.2222,,0.0356,0.0234,,,,,,,
,2020-06-14,,,51132,32605,1228,51132,33833,17299,1990.33,1491.5,67.33,1558.83,431.5,54.81,35.97,4.44,40.42,14.39,4.25,-4.6962,,0.0363,0.024,,,,,,,
,2020-06-15,,,53026,34125,1280,53026,35405,17621,2058.5,1519.17,78.5,1597.67,460.83,45.89,36.31,5.42,41.72,4.17,-1.6875,-2.4566,,0.0362,0.0241,,,,,,,
,2020-06-16,,74699,55302,35652,1356,55302,37008,18294,2087.67,1559.5,80.17,1639.67,448.0,34.89,36.97,5.08,42.06,-7.1667,-6.8056,,,0.0366,0.0245,,,,,,1.35,
,2020-06-17,,74842,57507,37240,1431,57507,38671,18836,2172.83,1595.0,85.17,1680.17,492.67,32.56,35.97,5.42,41.39,-8.8333,1.13,,,0.037,0.0249,,,,,,1.3,
