Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
,2020-01-22,,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-23,,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-24,,,3,0,0,3,0,3,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-25,,,3,0,0,3,0,3,1.17,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-26,,,4,1,0,4,1,3,1.17,,,,,,,,,,,,,0.0,0.0,,,,,,,
,2020-01-27,,,5,1,0,5,1,4,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
,2020-01-28,,,8,1,0,8,1,7,1.17,,,,,-0.1389,,,,,,,,0.0,0.0,,,,,,,
,2020-01-29,,,8,2,0,8,2,6,1.0,0.5,,,,-0.1111,,,,,,,,0.0,0.0,,,,,,,
,2020-01-30,,,9,2,0,9,2,7,0.833,0.5,,,,-0.1111,,,,,,,,0.0,0.0,,,,,,,
,2020-01-31,,,10,3,0,10,3,7,0.333,0.667,,,,-0.0278,,,,,,,,0.0,0.0,,,,,,,
,2020-02-01,,,10,4,0,10,4,6,0.5,0.5,,,,1.69,0.0,,,,,,,0.0,0.0,,,,,,,
,2020-02-02,,,10,4,0,10,4,6,0.333,0.667,,,,1.75,0.194,,,,,,,0.0,0.0,,,,,,,
,2020-02-03,,,10,5,0,10,5,5,1.0,0.5,,,,1.94,0.306,,,,0.549,,,0.0,0.0,,,,,,,
,2020-02-04,,,11,5,0,11,5,6,11.17,0.5,,,,3.86,0.472,,,,0.75,,,0.0,0.0,,,,,,,
,2020-02-05,,,11,6,0,11,6,5,11.33,1.67,,,,3.89,0.722,,,,-0.1458,-0.1215,,0.0,0.0,,,,,,,
,2020-02-06,,,16,6,0,16,6,10,12.0,2.5,,,,4.75,1.06,,,,-0.3403,-0.3455,,0.0,0.0,,,,,,,
,2020-02-07,,,77,7,0,77,7,70,23.67,3.33,,,,1.36,1.42,,,,0.0625,,,0.0,0.0,,,,,,,
