Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
,2020-01-22,,64.0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,64.0,
,2020-01-23,,134.0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,134.0,
,2020-01-24,,191.0,3,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,63.67,
,2020-01-25,,282.0,3,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,94.0,
,2020-01-26,,399.0,4,1,0,4,1,3,1.0,1.0,0.286,0.0,0.286,0.714,,,,,,,,,0.0,,,,,,99.75,
,2020-01-27,,522.0,5,1,0,5,1,4,1.14,1.14,0.286,0.0,0.286,0.857,,,,,,,,,0.0,,,,,,104.4,
,2020-01-28,,617.0,8,1,0,8,1,7,1.0,1.0,0.429,0.0,0.429,0.571,,,,,,,,,0.0,,,,,,77.12,
,2020-01-29,,723.0,8,2,0,8,2,6,1.0,1.0,0.571,0.0,0.571,0.429,-0.0571,0.0571,0.0,0.0571,-0.1143,,,,0.0,,,,,,90.38,
,2020-01-30,,823.0,9,2,0,9,2,7,0.857,0.857,0.429,0.0,0.429,0.429,-0.1429,0.0571,0.0,0.0571,-0.2,,,,0.0,,,,,,91.44,
,2020-01-31,,916.0,10,3,0,10,3,7,0.714,0.714,0.571,0.0,0.571,0.143,-0.1143,0.0286,0.0,0.0286,-0.1429,,,,0.0,,,,,,91.6,
,2020-02-01,,1003.0,10,4,0,10,4,6,0.429,0.429,0.571,0.0,0.571,-0.1429,0.0,0.0,0.0,0.0,0.0,0.371,,,0.0,,,,,,100.3,
,2020-02-02,,1067.0,10,4,0,10,4,6,0.429,0.429,0.571,0.0,0.571,-0.1429,1.74,0.0286,0.0,0.0286,1.71,0.423,,,0.0,,,,,,106.7,
,2020-02-03,,1198.0,10,5,0,10,5,5,1.0,1.0,0.571,0.0,0.571,0.429,1.8,0.171,0.0,0.171,1.63,0.823,,,0.0,,,,,,119.8,
,2020-02-04,,1301.0,11,5,0,11,5,6,9.57,9.57,0.571,0.0,0.571,9.0,1.97,0.343,0.0,0.343,1.63,0.771,-0.0217,,0.0,,,,,,118.27,
,2020-02-05,,1458.0,11,6,0,11,6,5,9.71,9.71,1.43,0.0,1.43,8.29,4.0,0.457,0.0,0.457,3.54,0.309,-0.064,,0.0,,,,,,132.55,
,2020-02-06,,1535.0,16,6,0,16,6,10,10.29,10.29,2.29,0.0,2.29,8.0,3.86,0.771,0.0,0.771,3.09,0.263,-0.2309,,0.0,,,,,,95.94,
,2020-02-07,,1734.0,77,7,0,77,7,70,20.43,20.43,2.86,0.0,2.86,17.57,3.29,1.06,0.0,1.06,2.23,0.103,-0.136,0.0224,0.0,,,,,,22.52,
,2020-02-08,,1959.0,78,14,0,78,14,64,20.29,20.29,4.43,0.0,4.43,15.86,3.11,1.29,0.0,1.29,1.83,-0.3314,-0.032,0.0555,0.0,,,,,,25.12,
,2020-02-09,,2087.0,82,20,0,82,20,62,26.0,26.0,5.86,0.0,5.86,20.14,2.49,1.4,0.0,1.4,1.09,0.0914,0.0903,0.0955,0.0,,,,,,25.45,
,2020-02-10,,2292.0,153,25,0,153,25,128,25.29,25.29,7.86,0.0,7.86,17.43,2.34,1.54,0.0,1.54,0.8,0.149,0.214,0.019,0.0,,,,,,14.98,
,2020-02-11,,2460.0,153,36,0,153,36,117,22.71,22.71,9.29,0.0,9.29,13.43,4.31,1.57,0.0286,1.6,2.71,0.714,0.247,-0.024,0.0,,,,,,16.08,
,2020-02-12,,2588.0,193,47,0,193,47,146,32.14,32.14,10.57,0.0,10.57,21.57,4.03,1.83,0.0286,1.86,2.17,1.17,-0.0411,-0.1154,0.0,,,,,,13.41,
,2020-02-13,,2703.0,193,61,0,193,61,132,41.86,41.86,12.29,0.143,12.43,29.43,6.69,2.03,0.0286,2.06,4.63,0.903,-0.152,-0.2034,0.0,,,,,,14.01,
,2020-02-14,,2775.0,236,72,0,236,72,164,46.14,46.14,15.0,0.143,15.14,31.0,8.34,2.46,0.0286,2.49,5.86,-0.1143,-0.4869,-0.2105,0.0,,,,,,11.76,
,2020-02-15,,2864.0,303,88,0,303,88,215,58.71,58.71,18.0,0.143,18.14,40.57,6.86,2.91,0.0857,3.0,3.86,-0.6114,-0.8034,-0.0928,0.0,,,,,,9.45,
