key,group_name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),loss_7_days,loss_14_days
Abreu e Lima_PE,All,100990.0,0.04766,0.2222,0.09091,0.02165,0.00683,,0.03208,0.00072,,0.5243,0.1997,7.237,7.237
Alhandra_PB,All,19784.0,0.07369,0.2222,0.09971,0.00542,0.03233,0.4756,0.0148,0.00062,545.729,0.739,0.3423,1.863,1.863
Alto Alegre do Maranhão_MA,All,27324.0,,,0.09091,0.00577,,,0.03538,0.00042,,,,,
Altos_PI,All,40929.0,0.1177,0.2222,0.1667,0.0014,0.02681,0.2855,0.01574,0.00024,867.267,0.7064,0.1741,1.894,1.894
Alvarães_AM,All,16201.0,0.001,0.2222,0.09091,0.00193,0.111,0.1259,0.05045,8.0e-5,1294.04,0.011,1.221,1.368,1.368
Amarante do Maranhão_MA,All,41849.0,0.05589,0.2128,0.09091,,0.03719,,0.02595,,,0.6148,0.4451,,
Amaturá_AM,All,11651.0,0.001,0.2222,0.09091,0.00176,0.02919,0.9394,0.06221,7.0e-5,5842.891,0.011,0.3212,6.325,6.325
Anapurus_MA,All,15889.0,0.1027,0.2222,0.1135,,0.00018,0.5713,0.02532,,1056.55,0.9043,0.2017,,
Anchieta_ES,All,29556.0,0.04111,0.2222,0.09091,0.00196,0.00075,0.2065,0.02771,0.00017,789.756,0.4522,0.1381,1.385,1.385
Angra dos Reis_RJ,All,205823.0,0.09274,0.2222,0.09632,0.00562,0.01947,0.3314,0.02165,0.00024,2893.106,0.9628,0.2961,1.673,1.673
Anori_AM,All,21220.0,0.1385,0.2222,0.09234,0.00113,0.00491,0.2467,0.0058,0.0001,1453.472,1.5,0.1081,1.473,1.473
Anápolis_GO,All,390792.0,0.1705,0.2222,0.1563,0.00184,0.01951,0.6451,0.0647,0.00033,631.423,1.091,0.4684,1.532,1.532
Aparecida de Goiânia_GO,All,583961.0,0.09932,0.2222,0.137,0.00373,0.01839,0.3437,0.01428,0.00039,1636.938,0.725,0.1541,1.752,1.752
Aracaju_SE,All,663583.0,0.1074,0.2222,0.113,0.00332,0.00544,0.1802,0.01142,7.0e-5,3957.218,0.9511,0.1075,2.364,2.364
Aracruz_ES,All,102232.0,0.1537,0.2222,0.1667,0.00959,0.02593,1.265,0.03816,0.00106,554.965,0.9222,0.2623,2.253,2.253
Arapiraca_AL,All,234064.0,0.1821,0.2222,0.1667,0.00463,0.0551,1.508,0.08144,0.00113,5868.927,1.093,0.628,1.462,1.462
Araranguá_SC,All,68910.0,0.06795,0.2222,0.09091,0.00146,0.01521,,0.02101,0.00011,,0.7475,0.2405,3.913,3.913
Araraquara_SP,All,238433.0,0.1355,0.2222,0.1648,0.00258,0.00857,0.5357,0.00919,0.00031,580.416,0.822,0.0693,2.403,2.403
Araçatuba_SP,All,198986.0,0.08758,0.2222,0.1034,0.00651,0.00598,0.4026,0.01983,0.00043,247.286,0.8472,0.1725,2.681,2.681
Arujá_SP,All,90722.0,0.03116,0.1724,0.09091,0.0148,0.02004,0.4756,0.02774,0.00085,973.236,0.3427,0.244,4.277,4.277
Atalaia_AL,All,47657.0,0.08834,0.2222,0.1281,0.00326,0.02259,0.4884,0.01192,0.00036,1135.614,0.6898,0.1877,1.426,1.426
Autazes_AM,All,39961.0,0.09294,0.2222,0.09091,0.00248,0.0063,1.467,0.02231,9.0e-5,9800.804,1.022,0.2602,3.33,3.33
Açailândia_MA,All,113569.0,0.06193,0.2222,0.1329,0.00215,0.03739,0.2244,0.05496,0.00056,1916.74,0.4661,0.3411,2.032,2.032
Bacabal_MA,All,105998.0,0.2204,0.2222,0.1667,0.0022,0.059,0.6888,0.1421,0.00052,3415.043,1.322,1.182,1.094,1.094
Balneário Camboriú_SC,All,143718.0,0.0855,0.2222,0.09624,,0.02966,1.099,0.00959,,14832.129,0.8884,0.3207,,
Balsas_MA,All,95836.0,,,,,,,,,,,,,
Barcelos_AM,All,27777.0,0.1705,0.2222,0.1035,0.00232,0.00246,,0.00672,0.00017,,1.646,0.1095,1.105,1.105
Barra Mansa_RJ,All,186256.0,0.1437,0.2222,0.1364,0.01358,0.01685,0.7492,0.03806,0.0018,1239.021,1.053,0.3188,1.47,1.47
Barra de São Francisco_ES,All,45096.0,0.04008,0.2222,0.09091,0.00514,0.00328,1.544,0.02691,0.00074,1110.112,0.4409,0.1354,4.315,4.315
Barra do Corda_MA,All,89094.0,0.07535,0.2222,0.09091,0.00256,0.00239,,0.00861,0.0002,,0.8289,0.08282,1.193,1.193
Barra do Piraí_RJ,All,101378.0,0.241,0.2222,0.1667,0.01307,0.02065,0.5318,0.05239,0.00251,791.551,1.446,0.4711,0.5302,0.5302
Barra dos Coqueiros_SE,All,30711.0,0.06336,0.2222,0.09091,,0.01843,0.955,0.01113,,908.878,0.697,0.22,,
Barras_PI,All,47537.0,0.0964,0.2222,0.1229,,0.00565,0.1152,0.00786,,1329.16,0.7844,0.06807,,
Barreirinha_AM,All,32361.0,0.08109,0.2222,0.09351,,0.04459,0.9341,0.02179,,5567.63,0.8672,0.5179,,
Barretos_SP,All,123319.0,0.09074,0.2222,0.1094,0.00786,0.01963,0.2921,0.02732,0.00059,446.562,0.8295,0.2741,1.91,1.91
Barueri_SP,All,276924.0,0.05183,0.2121,0.09091,0.01976,0.01242,,0.02055,0.0005,,0.5701,0.1878,3.842,3.842
Batalha_PI,All,27126.0,0.05767,0.2222,0.0973,0.0013,0.00525,0.6708,0.01031,0.00012,1793.151,0.5927,0.08279,2.004,2.004
Bauru_SP,All,380586.0,0.08246,0.2222,0.1052,0.00741,0.02508,0.8003,0.01037,0.00046,807.568,0.7838,0.2506,2.834,2.834
Bayeux_PB,All,97849.0,0.06354,0.2222,0.1087,0.01137,0.02368,20.677,0.0138,0.00079,74180.356,0.5847,0.2302,1.647,1.647
Belford Roxo_RJ,All,516015.0,0.08043,0.2222,0.09572,0.02008,0.01339,0.474,0.00875,0.00097,2492.648,0.8402,0.1595,2.276,2.276
Belo Horizonte_MG,All,2.537191e6,0.09121,0.2222,0.1128,0.00204,0.00272,0.3903,0.01358,0.00016,7563.749,0.8086,0.1002,2.449,2.449
Benjamin Constant_AM,All,43414.0,0.06568,0.2222,0.09091,0.00165,0.04988,0.3794,0.02335,0.00014,3800.797,0.7225,0.5792,3.69,3.69
Bento Gonçalves_RS,All,121659.0,0.03959,0.2222,0.09091,0.00507,0.00142,0.4632,0.04186,0.00027,2166.517,0.4355,0.2011,4.058,4.058
Beruri_AM,All,19876.0,0.001,0.2222,0.09091,,0.2014,0.4283,0.07278,,2187.203,0.011,2.215,,
Betim_MG,All,443733.0,0.1361,0.2222,0.1667,0.00409,0.02984,0.1761,0.05311,0.00049,489.771,0.8168,0.3159,1.616,1.616
Blumenau_SC,All,360771.0,0.04917,0.2222,0.09091,,0.0053,0.6464,0.03416,,8835.668,0.5408,0.2114,,
Boa Vista do Ramos_AM,All,19399.0,0.1772,0.2222,0.1594,0.00146,0.02372,0.3532,0.05038,0.00028,301.575,1.112,0.3816,2.032,2.032
Boca do Acre_AM,All,34651.0,0.0322,0.2222,0.09091,0.00115,0.00572,0.5548,0.03753,5.0e-5,3887.333,0.3542,0.1592,4.74,4.74
Borba_AM,All,41573.0,0.04376,0.2222,0.09091,0.00337,0.01832,0.4306,0.01689,0.00013,1944.481,0.4814,0.2205,2.618,2.618
Botucatu_SP,All,147962.0,0.08615,0.2222,0.09521,0.00458,0.01391,0.3051,0.00823,0.00037,496.361,0.9049,0.1658,1.741,1.741
Bragança Paulista_SP,All,170355.0,0.07741,0.2222,0.09091,0.00815,0.04209,0.9923,0.01758,0.00074,1101.858,0.8515,0.4914,2.497,2.497
Brasília_DF,All,3.045421e6,0.1074,0.2222,0.1509,0.00351,0.02963,0.7365,0.01756,0.00018,41495.225,0.7117,0.2131,2.111,2.111
Braço do Norte_SC,All,33784.0,0.01474,0.2222,0.09091,,0.00326,0.452,0.05578,,228.849,0.1621,0.1057,,
Buriticupu_MA,All,73082.0,0.05852,0.2222,0.09091,,0.00418,0.5156,0.02872,,2528.393,0.6438,0.2085,,
Caapiranga_AM,All,13212.0,0.08562,0.2222,0.09387,0.00127,0.00793,0.7239,0.024,0.00012,664.562,0.9121,0.2481,2.585,2.585
Caaporã_PB,All,22046.0,0.07992,0.2222,0.09487,0.00214,0.00171,0.2059,0.00394,0.00011,669.122,0.8424,0.03933,1.621,1.621
Cabedelo_PB,All,68413.0,0.1002,0.2222,0.1224,0.00138,0.01437,0.1925,0.0075,9.0e-5,2670.187,0.819,0.1277,0.9945,0.9945
Cabo Frio_RJ,All,228790.0,0.1067,0.2222,0.1081,0.00696,0.00979,0.4704,0.0187,0.00064,2038.51,0.9876,0.1934,0.8697,0.8697
Cabo de Santo Agostinho_PE,All,209118.0,0.04119,0.2222,0.09091,0.0256,0.00151,1.017,0.04014,0.00062,3789.549,0.4531,0.2008,5.663,5.663
Cachoeiras de Macacu_RJ,All,59526.0,0.1526,0.2222,0.1615,0.01522,0.01667,,0.03519,0.00294,,0.945,0.2303,1.27,1.27
Cachoeiro de Itapemirim_ES,All,211062.0,0.1459,0.2222,0.1667,0.00387,0.01398,0.185,0.04749,0.00034,618.611,0.8757,0.2632,1.771,1.771
Caieiras_SP,All,102485.0,0.06604,0.2222,0.09091,0.02045,0.00354,0.8649,0.02248,0.00158,1745.652,0.7264,0.1838,1.782,1.782
Cajamar_SP,All,77569.0,0.08836,0.2222,0.1116,0.01342,0.00058,0.9644,0.0113,0.00064,1139.233,0.7919,0.08034,2.531,2.531
Camaragibe_PE,All,159406.0,0.04139,0.2222,0.09091,0.01344,0.00138,2.153,0.04403,0.00038,6817.088,0.4553,0.221,10.156,10.156
Camaçari_BA,All,302123.0,0.1196,0.2222,0.1667,0.00348,0.0262,0.1858,0.02819,0.00047,254.555,0.7177,0.1986,2.107,2.107
Camboriú_SC,All,83819.0,0.113,0.1724,0.1133,0.00158,0.01332,0.5059,0.01023,0.0002,2340.132,0.9975,0.148,1.656,1.656
Campina Grande_PB,All,413828.0,0.1824,0.2222,0.1667,0.00274,0.00965,1.01,0.04764,0.00042,18165.165,1.095,0.3182,1.311,1.311
Campinas_SP,All,1.216114e6,0.1076,0.2222,0.1396,0.00762,0.01295,0.5179,0.00714,0.00015,5193.031,0.7709,0.1008,2.35,2.35
Campo Grande_MS,All,904942.0,0.1794,0.2222,0.1483,0.00327,0.00331,0.519,0.0723,0.00065,916.129,1.21,0.5904,1.37,1.37
Campo Maior_PI,All,47301.0,0.09179,0.2222,0.1207,,0.02042,0.6254,0.02071,,3799.37,0.7604,0.2136,,
Campos dos Goytacazes_RJ,All,512623.0,0.119,0.2222,0.1198,0.0072,0.01142,0.4563,0.01991,0.00044,1977.189,0.9933,0.1907,2.308,2.308
Candeias_BA,All,87947.0,0.04851,0.2222,0.1138,0.00291,0.0417,0.4312,0.01796,0.00033,470.026,0.4261,0.3724,2.499,2.499
Caraguatatuba_SP,All,122747.0,0.09081,0.2222,0.0964,0.0091,0.04473,0.4983,0.01353,0.00055,356.503,0.942,0.4824,2.054,2.054
Carapicuíba_SP,All,404936.0,0.06225,0.2222,0.09091,0.01367,0.00187,0.8072,0.00857,0.00021,3955.501,0.6848,0.06774,2.87,2.87
Carauari_AM,All,28577.0,0.06914,0.2222,0.09091,,0.00307,0.8881,0.00703,,2266.106,0.7605,0.06786,,
Careiro_AM,All,38248.0,0.05307,0.2222,0.09091,0.00123,0.03082,0.5856,0.04372,7.0e-5,4409.49,0.5838,0.4402,8.101,8.101
Cariacica_ES,All,385098.0,0.1148,0.2222,0.1293,0.00637,0.00291,0.1655,0.00588,0.0004,2768.959,0.8882,0.04626,2.299,2.299
Caruaru_PE,All,364729.0,0.08605,0.2222,0.1226,0.0134,0.00238,0.9079,0.00673,0.00051,2874.34,0.702,0.04313,2.176,2.176
Cascavel_PR,All,331739.0,0.08973,0.2222,0.1383,0.00228,0.01237,0.1957,0.00844,0.00018,953.82,0.6488,0.09781,1.998,1.998
Caxias do Sul_RS,All,516015.0,0.08801,0.2222,0.129,0.00377,0.00713,0.5021,0.02038,0.00031,555.825,0.6823,0.1212,2.404,2.404
Chapadinha_MA,All,80472.0,0.06037,0.2222,0.09523,,0.0155,1.883,0.0373,,5116.98,0.634,0.2969,,
Chapecó_SC,All,222571.0,0.02015,0.2222,0.09091,,0.00669,0.5898,0.0578,,5972.18,0.2217,0.159,,
Coari_AM,All,85948.0,0.02409,0.2222,0.09091,0.00222,0.00248,0.2578,0.06309,0.0001,7240.896,0.265,0.1859,6.869,6.869
Codó_MA,All,124088.0,0.001,0.2222,0.09091,,0.04999,0.3004,0.05317,,3062.382,0.011,0.5499,,
Coelho Neto_MA,All,49929.0,0.08563,0.2222,0.1449,0.00193,0.02262,0.2163,0.02332,0.00015,848.149,0.5908,0.1827,1.852,1.852
Colatina_ES,All,123724.0,0.119,0.2222,0.1562,0.0017,0.01265,0.2493,0.01507,0.00039,1390.054,0.7619,0.1094,1.794,1.794
Concórdia_SC,All,75387.0,0.001,0.2222,0.09091,,0.00817,0.2489,0.06445,,8861.974,0.011,0.09018,,
