Country,Date,Latitude,Longitude,Estimated Population,Estimated Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Australia,2020-01-22,-31.99619,141.233,25731295,57374,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,2020-01-23,-31.99619,141.233,25731295,57374,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,2020-01-24,-31.99619,141.233,25731295,57374,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,2020-01-25,-31.99619,141.233,25731295,57374,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,2020-01-26,-31.99619,141.233,25731295,57374,,,4,0,0,0,4,,,,,,,,,,,,,,,0.0,0.1555,0.0,0.0,0.0,0.1555,,
Australia,2020-01-27,-31.99619,141.233,25731295,57374,,,5,0,0,0,5,,,,,,,,,,,,,,,0.0,0.1943,0.0,0.0,0.0,0.1943,,
Australia,2020-01-28,-31.99619,141.233,25731295,57374,,,5,0,0,0,5,,,,,,,,,,,,,,,0.0,0.1943,0.0,0.0,0.0,0.1943,,
Australia,2020-01-29,-31.99619,141.233,25731295,57374,,,6,0,0,0,6,1.333,,,,,,,,,,,,,,0.0,0.2332,0.0,0.0,0.0,0.2332,,
Australia,2020-01-30,-31.99619,141.233,25731295,57374,,,9,2,0,2,7,1.167,,,,,,,,,,,,,0.0,0.0,0.3498,0.0,0.07773,0.07773,0.272,,
Australia,2020-01-31,-31.99619,141.233,25731295,57374,,,9,2,0,2,7,1.167,,,,,,,,,,,,,0.0,0.0,0.3498,0.0,0.07773,0.07773,0.272,,
Australia,2020-02-01,-31.99619,141.233,25731295,57374,,,12,2,0,2,10,1.167,,,,,-0.13889,,,,,,,,0.0,0.0,0.4664,0.0,0.07773,0.07773,0.3886,,
Australia,2020-02-02,-31.99619,141.233,25731295,57374,,,12,2,0,2,10,0.6667,0.0,,,,-0.11111,,,,,,,,0.0,0.0,0.4664,0.0,0.07773,0.07773,0.3886,,
Australia,2020-02-03,-31.99619,141.233,25731295,57374,,,12,2,0,2,10,0.8333,0.0,,,,-0.11111,,,,,,,,0.0,0.0,0.4664,0.0,0.07773,0.07773,0.3886,,
Australia,2020-02-04,-31.99619,141.233,25731295,57374,,,13,2,0,2,11,0.5,0.0,,,,-0.13889,,,,,,,,0.0,0.0,0.5052,0.0,0.07773,0.07773,0.4275,,
Australia,2020-02-05,-31.99619,141.233,25731295,57374,,,13,2,0,2,11,0.5,0.0,,,,-0.05556,,,,,,,,0.0,0.0,0.5052,0.0,0.07773,0.07773,0.4275,,
Australia,2020-02-06,-31.99619,141.233,25731295,57374,,,14,2,0,2,12,0.5,0.0,,,,-0.11111,,,,,,,,0.0,0.0,0.5441,0.0,0.07773,0.07773,0.4664,,
Australia,2020-02-07,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.3333,0.0,,,,-0.08333,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-08,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.3333,0.0,,,,-0.08333,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-09,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.1667,0.0,,,,-0.08333,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-10,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.0,1.0,,,,-0.05556,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-11,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.0,1.0,,,,-0.05556,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-12,-31.99619,141.233,25731295,57374,,,15,2,0,2,13,0.0,1.0,,,,-0.02778,,,,,,,,0.0,0.0,0.5829,0.0,0.07773,0.07773,0.5052,,
Australia,2020-02-13,-31.99619,141.233,25731295,57374,,,15,8,0,8,7,0.0,1.0,,,,,-0.11111,,,,,,,0.0,0.0,0.5829,0.0,0.3109,0.3109,0.272,,
Australia,2020-02-14,-31.99619,141.233,25731295,57374,,,15,8,0,8,7,0.0,1.333,,,,,-0.11111,,,,,,,0.0,0.0,0.5829,0.0,0.3109,0.3109,0.272,,
Australia,2020-02-15,-31.99619,141.233,25731295,57374,,,15,8,0,8,7,0.0,1.333,,,,,-0.08333,,,,,,,0.0,0.0,0.5829,0.0,0.3109,0.3109,0.272,,
Australia,2020-02-16,-31.99619,141.233,25731295,57374,,,15,8,0,8,7,0.0,0.3333,,,,,-0.08333,,,,,,,0.0,0.0,0.5829,0.0,0.3109,0.3109,0.272,,
Australia,2020-02-17,-31.99619,141.233,25731295,57374,,,15,10,0,10,5,0.0,0.3333,,,,,-0.19444,,,,,,,0.0,0.0,0.5829,0.0,0.3886,0.3886,0.1943,,
Australia,2020-02-18,-31.99619,141.233,25731295,57374,,,15,10,0,10,5,0.0,0.5,,,,,-0.19444,,,,,,,0.0,0.0,0.5829,0.0,0.3886,0.3886,0.1943,,
Australia,2020-02-19,-31.99619,141.233,25731295,57374,,,15,10,0,10,5,0.0,0.5,,,,,-0.02778,,,,,,,0.0,0.0,0.5829,0.0,0.3886,0.3886,0.1943,,
