Country,Date,Latitude,Longitude,Estimated Population,Estimated Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Sweden,2020-01-22,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-23,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-24,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-25,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-26,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-27,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-28,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-29,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-30,63.0,16.0,10331337,54608,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Sweden,2020-01-31,63.0,16.0,10331337,54608,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.09679,0.0,0.0,0.0,0.09679,,
Sweden,2020-02-01,63.0,16.0,10331337,54608,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.09679,0.0,0.0,0.0,0.09679,,
Sweden,2020-02-02,63.0,16.0,10331337,54608,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.09679,0.0,0.0,0.0,0.09679,,
