Country,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Hungary,2020-01-22,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-23,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-24,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-25,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-26,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-27,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-28,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-29,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-30,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-01-31,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-01,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-02,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-03,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-04,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-05,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-06,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-07,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-08,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-09,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-10,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-11,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-12,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-13,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-14,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-15,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-16,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-17,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-18,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-19,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-20,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-21,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-22,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-23,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-24,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-25,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-26,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-27,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-28,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-02-29,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-03-01,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-03-02,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-03-03,47.162,19.503,9728346,16151,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Hungary,2020-03-04,47.162,19.503,9728346,16151,230,samples tested,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.2056,0.0,0.0,0.0,0.2056,115.0,23.642
Hungary,2020-03-05,47.162,19.503,9728346,16151,,samples tested,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.2056,0.0,0.0,0.0,0.2056,,
Hungary,2020-03-06,47.162,19.503,9728346,16151,269,samples tested,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.2056,0.0,0.0,0.0,0.2056,134.5,27.651
Hungary,2020-03-07,47.162,19.503,9728346,16151,319,samples tested,4,0,0,4,0,4,1.167,,,,,,,,,,,,,,0.0,0.4112,0.0,0.0,0.0,0.4112,79.75,32.791
Hungary,2020-03-08,47.162,19.503,9728346,16151,362,samples tested,7,0,0,7,0,7,1.833,,,,,,,,,,,,,,0.0,0.7195,0.0,0.0,0.0,0.7195,51.714,37.211
Hungary,2020-03-09,47.162,19.503,9728346,16151,,samples tested,9,0,0,9,0,9,1.833,,,,,,,,,,,,,,0.0,0.9251,0.0,0.0,0.0,0.9251,,
Hungary,2020-03-10,47.162,19.503,9728346,16151,531,samples tested,9,0,0,9,0,9,2.5,,,,,0.6389,,,,,,,,,0.0,0.9251,0.0,0.0,0.0,0.9251,59.0,54.583
Hungary,2020-03-11,47.162,19.503,9728346,16151,609,samples tested,13,0,0,13,0,13,3.833,,,,,0.7222,,,,,,,,,0.0,1.336,0.0,0.0,0.0,1.336,46.846,62.601
Hungary,2020-03-12,47.162,19.503,9728346,16151,730,samples tested,13,0,0,13,0,13,3.833,,,,,0.9444,,,,,0.0625,,,,0.0,1.336,0.0,0.0,0.0,1.336,56.154,75.038
Hungary,2020-03-13,47.162,19.503,9728346,16151,858,samples tested,19,0,0,19,0,19,5.0,,,,,1.083,,,,,0.1528,,,,0.0,1.953,0.0,0.0,0.0,1.953,45.158,88.196
Hungary,2020-03-14,47.162,19.503,9728346,16151,1014,samples tested,30,1,0,30,1,29,6.167,,,,,0.8889,,,,,0.1944,0.07465,,0.0,0.0,3.084,0.0,0.1028,0.1028,2.981,33.8,104.231
Hungary,2020-03-15,47.162,19.503,9728346,16151,1236,samples tested,32,1,1,32,2,30,7.5,,,,,1.333,,,,,0.2847,0.05035,,0.5,0.03125,3.289,0.1028,0.1028,0.2056,3.084,38.625,127.051
Hungary,2020-03-16,47.162,19.503,9728346,16151,1470,samples tested,39,1,1,39,2,37,9.0,,,,,1.722,,,,,0.3611,0.05382,-0.02561,0.5,0.02564,4.009,0.1028,0.1028,0.2056,3.803,37.692,151.105
Hungary,2020-03-17,47.162,19.503,9728346,16151,1587,samples tested,50,2,1,50,3,47,9.167,0.1667,,,,2.222,,,,,0.3542,0.00868,-0.02387,0.3333,0.02,5.14,0.1028,0.2056,0.3084,4.831,31.74,163.132
Hungary,2020-03-18,47.162,19.503,9728346,16151,1803,samples tested,58,2,1,58,3,55,11.833,1.0,0.5,1.5,10.333,2.333,,,,,0.4097,-0.02778,-0.03472,0.3333,0.01724,5.962,0.1028,0.2056,0.3084,5.654,31.086,185.335
Hungary,2020-03-19,47.162,19.503,9728346,16151,2322,samples tested,73,2,1,73,3,70,15.333,2.5,0.8333,3.333,12.0,2.75,,,,,0.3194,-0.04514,-0.02778,0.3333,0.0137,7.504,0.1028,0.2056,0.3084,7.195,31.808,238.684
Hungary,2020-03-20,47.162,19.503,9728346,16151,3007,samples tested,85,2,3,85,5,80,19.5,2.333,1.0,3.333,16.167,3.361,0.6944,,,,0.25,-0.08507,,0.6,0.03529,8.737,0.3084,0.2056,0.514,8.223,35.376,309.097
Hungary,2020-03-21,47.162,19.503,9728346,16151,3477,samples tested,103,7,4,103,11,92,21.5,3.167,1.333,4.5,17.0,3.5,0.5833,0.08333,0.6667,2.833,0.1736,-0.10243,,0.3636,0.03883,10.588,0.4112,0.7195,1.131,9.457,33.757,357.409
Hungary,2020-03-22,47.162,19.503,9728346,16151,4443,samples tested,131,16,6,131,22,109,25.5,3.167,1.5,4.667,20.833,3.333,0.08333,0.0,0.08333,3.25,0.06944,-0.11806,,0.2727,0.0458,13.466,0.6168,1.645,2.261,11.204,33.916,456.707
Hungary,2020-03-23,47.162,19.503,9728346,16151,5515,samples tested,167,16,7,167,23,144,29.333,4.333,1.167,5.5,23.833,3.444,0.1111,0.0,0.1111,3.333,-0.09028,-0.1059,,0.3043,0.04192,17.166,0.7195,1.645,2.364,14.802,33.024,566.9
